jobTitle,postedDate,jobDescription,jobUrl
Mobile Developer (iOS),22 hours ago,"<p><strong>Your Role</strong></p><p>Electrolux is going through an extensive change in the way we work and develop our solutions. As Software is playing an increasingly greater role in enabling digital consumer experience, we are becoming more consumer-focused and agile, faster to respond to market demands and quicker in identifying new market opportunities.  </p><p><strong>We are looking for ambitious and creative professional Kotlin Multi-platform</strong>,<strong><u> iOS Native application developers</u></strong> who are passionate about mobile apps, the connected appliances, and want to be part of a fast growing set of technology hub in KL to develop ground breaking features in Electrolux flagship mobile apps</p><p><strong>A Typical Day</strong></p><p>In our highly collaborative, multi-functional, and Agile environment,</p><ul><li>You will be involved in all aspects of developing new features including user story elaboration, estimation, analysis, design, programming, unit/integration testing and debugging following Agile development practices such as Scaled Agile and Scrum</li><li> Build industry leading mobile apps for connected appliances on a global scale</li><li> Elaborate, estimate, and design for small increments of work just-in-time</li><li> Commit to completing well-defined work and deliver on those commitments</li><li> Perform technology evaluation and design spikes</li></ul><br /><p><strong>Who You Are</strong></p><ul><li>Bachelor’s Degree in Computer Science, related field, or equivalent work experience.</li></ul><p><strong>iOS</strong></p><p style=""margin-left:30px"">o  3+ years of experience on a team developing native iOS app(s) available in the App Store</p><p style=""margin-left:30px"">o  Experience with SwiftUI and Objective-C in a production application</p><p style=""margin-left:30px"">o  Experience developing apps that interact with web services (REST, JSON)</p><p style=""margin-left:30px"">o  Experience with native iOS HIG and UI development best practices including a deep knowledge of UIKit and AutoLayout</p><p style=""margin-left:30px"">o  Experience with the publishing process for the iOS app store</p>",https://www.jobstreet.com.my/en/job/mobile-developer-ios-5266275
NET / C# Mobile and Web Developer,10 hours ago,"<p><strong><u>Job Description</u></strong></p><ul><li>Write cross platform mobile applications for iOS, Android and hybrid application for MacOS and Windows platform and web.</li><li>Research and suggest new mobile products, application and protocols. Keep up to date with new technology.</li><li>Contribute to all phases of the development lifecycle.</li><li>Solve complex performance problems and architectural challenges.</li></ul><p><strong><u>Requirements :</u></strong></p><ul><li>Candidate must possess at least a Degree in Computer Science / Information Technology or equivalent.</li><li>Any knowledge of Java, Kotlin, C# or Python.</li><li>Able to work in a collaborative environment.</li><li>Good analytical skills with can do problem solving attitude.</li><li>Motivated to learn newly emerging technologies of the future like .Net Maui, Blazor, Blazor WebAssembly, etc.</li><li>Some C# experience (or relevant OO language like Java or Kotlin, C# or Python), including technologies like .NET, MVC Razor. Blazor, Xamarin, Azure, Web API, RESTful services. Experience with Version control tooling (e.g. Git).</li><li>Fresh graduates with extensive experience in various software projects (schools, internship or voluntary) are encouraged to apply as extensive training will be provided.</li></ul>",https://www.jobstreet.com.my/en/job/net-c-mobile-and-web-developer-5251921
Software Engineer (iOS/ Android Native),31-Jan-23,"<ul><li>Designing and developing mobile applications for Android and iOS</li><li>Contribute to the delivery of functional and non-function requirements set out by the business</li><li>Employ appropriate patterns and practises to conform to our software coding standards</li><li>Seek out the best way of achieving the requirements set out by using our existing technology stack whilst challenging convention to implement new technology where appropriate</li><li>Actively work within the development team to share knowledge and contribute towards working groups aimed at improving our skills and knowledge whilst providing support to those less experienced within the team</li><li>Develop relationships with business stakeholders and related business functions to ensure that the development team works constructively with the wider business to achieve our organizational goals</li></ul><p><strong>Knowledge &amp; Experiences:</strong></p><ul><li>A minimum of 2 years’ experience developing commercial apps for Android (Kotlin) and/or iOS  (Swift / ObjectiveC)</li><li>A demonstrable understanding of the build process, continuous integration and delivery</li><li>Exceptional organisation skills and able to manage your own workload</li><li>Working knowledge of commercial cross platform frameworks</li><li>Experience using Source Control, primarily GIT</li><li>Experience in system architecture and design</li></ul>",https://www.jobstreet.com.my/en/job/software-engineer-ios-android-native-5261918
Android Developer (Java/Kotlin) - MNC company in Selangor (Hybrid working model),10 hours ago,"<p><strong>Responsibilities</strong></p><p>•      Develop applications for the Android platform using Java and Kotlin,</p><p>•      Collaborate with cross-functional teams to define, design, and ship new features</p><p>•      Work with 3rd party and internal private APIs</p><p>•      Lead work on bug fixing and improving application performance.</p><p><strong>Requirements</strong></p><p>•      Degree in Computer Science/Multimedia Technology/Engineering or related field.</p><p>•      4 years of experience of Developing Software including Android based applications.</p><p>•      Kotlin experience is a plus.</p><p>•      Has Excellent understanding of production quality software development.</p>",https://www.jobstreet.com.my/en/job/android-developer-java-kotlin-mnc-company-in-selangor-hybrid-working-model-5252517
Android Developer,2-Feb-23,"<p>myFirst is a Kids Tech startup and the main project is to develop an android watch OS launcher. This role will be focus on creating and maintaining the overall watch application and launcher. </p><p><strong>JOB RESPONSIBILITIES:</strong></p><ul><li>Work collaboratively within teams in development of mobile application.</li><li>Design and architect Android mobile apps, and software framework for Android platform using current best practices.</li><li>You will help develop, test, deploy and manage the next generation apps.</li><li>Identify bottlenecks, code complexity and fix bugs.</li><li>Unit-test code for robustness, including edge cases, usability, and general reliability.</li><li>Continuously discover, evaluate, and implement new technologies to maximize development efficiency.</li><li>Maintain and manage change requests based on business requirements.</li><li>Any other ad-hoc task assigned by supervisor.</li></ul><p><strong>JOB REQUIREMENTS:</strong></p><ul><li>Experience in IOT devices development will be a plus.</li><li>Experience in Android application and launcher development.</li><li>Understand Android OS architecture and system device.</li><li>Understand the whole Android OS architecture as need to mod the launcher and setting.</li><li>Deep understanding of design patterns and principles with a broad knowledge of Android techstack.</li><li>Familiar with Jetpack and/or other open-source Android libraries, such as RxJava, Retrofit, Litho, etc.</li><li>Proficiency in Java or Kotlin.</li></ul>",https://www.jobstreet.com.my/en/job/android-developer-5264894
"Mobile Developer (Flutter, Android)",19 hours ago,"<p><strong>Company Profile</strong></p><p>INSCALE is a European offshore development company with offices based in Denmark, Malaysia,</p><p>Portugal, Ukraine and Macedonia. We establish permanent development teams for European and</p><p>Australian companies with ongoing development of software applications. Each team works as an</p><p>integrated part of the customer's organization. We offer our employees an opportunity to work on exciting projects and learn the western development procedures and culture. We have an informal Scandinavian management style where you will have autonomy and responsibility allowing you to develop your skills and grow your value as an IT professional.</p><p>We greatly value what our employees contribute to INSCALE, and always strive to reward our employeeswith challenging work and competitive environment. We are more than 500 employees representing numerous nationalities, which makes our work environment internationally oriented, diverse and encourages collaboration internally and regionally. For more information, see https://www.inscale.net</p><p><strong>Client Profile</strong></p><p>Teletrac Navman Wireless is a global leader in GPS-based fleet optimization products and services,</p><p>including real-time vehicle tracking and analytics. These robust capabilities enable companies to monitor, measure and improve operational costs and efficiencies. Feel free to visit the company’s website at: navmanwireless.com.</p><p><strong>Responsibilities</strong></p><p>We’re looking for a Mobile Developer to join the Teletrac Navman R&amp;D Team. You will be involved in in all phases of software development, from initial concepts, specification development, coding, validation and software release to ensure maintenance and continual enhancement of the Teletrac Navman platforms, business support tools, or other projects.</p><p><strong>Key Accountabilities</strong></p><ul><li>Maintain, develop and enhance Teletrac Navman software solutions</li><li>Maintain, develop and enhance business support and process tools / projects as required</li><li>Assist with analyzing requirements for new products, including liaising directly with end users and product management</li><li>Creates and maintains automated tests for high availability and highly scalable applications.</li><li>Contribute to bug analysis / code review, analyzing development and test impacts, writing test tools and identifying automation opportunities</li><li>Promote and drive a passionate customer driven culture by ensuring a strong focus on delivery, execution and the customer</li><li>Ensure that you maintain proficiency in a wide range of technology products/platforms</li></ul><p><strong>Qualifications</strong></p><p>• At least 3+ years of experience in Android development using Flutter. Experience with Java and Kotlin is</p><p>bonus.</p><p>• Strong understanding with Android Architecture Components and design patterns.</p><p>• Demonstrated ability to deliver high quality applications to Google Play Store.</p><p>• Good knowledge with test automation framework and continuous integration.</p><p>• Knowledge in the location services, GIS, or geospatial industries would be an advantage but not essential.</p><p>• Worked in an agile development environment.</p><p>• Demonstrated strong written and verbal communication skills with the ability to communicate effectively at all levels.</p><p>• Demonstrated ability to solve complex problems and the ability to come up with and communicate quick and creative solutions.</p><p>• Displays professional attitude with high standards in development and documentation.</p><p><strong>Soft Skills:</strong></p><p>• Strong attention to detail and has demonstrated the ability to solve complex problems skills and the ability to come up and communicate quick and creative solutions</p><p>• The ability to work independently and in a team, contributes on improving software quality and being able to share the knowledge with each other</p><p>• Strong desire to succeed with a desire for organisational progression</p><p>• Ability to understand/learn new languages, technologies, and tools</p><p>• Interested in using automation and innovation to help a business run smoothly and grow</p><p>• Professional attitude with high standards in development and documentation</p><p>• Flexibility! Product development requires innovation</p><p>• Willingness to take ownership, be held accountable and achieve a good outcome for all stakeholders</p><p>• Able to work with a diverse array of people, challenging in a non-confrontational way and build successful working relationships</p><p><strong>Education</strong></p><p>• Bachelor’s Degree in Computer Science, Information Technology, or related field</p>",https://www.jobstreet.com.my/en/job/mobile-developer-flutter-android-5266859
Software Engineer - IOS/Android Developer,30-Jan-23,"<ul><li>Responsible to involve all aspects of the software life cycle including gathering requirements for the business, analysis of existing systems/functionality, design and implementation.</li><li>Design, develop, and maintain mobile apps .</li><li>Identify and solve complex problems using all available methods and resources.</li><li>Performs complex data processing and analysis regularly to provide informative report for decision making.</li><li>Work closely with different teams on system integration.</li><li>Handle other ad-hoc tasks as assigned.</li></ul><p><strong>Job Requirements:</strong></p><ul><li>Candidate must possess at least a Bachelor’s Degree in Computer Science/Information Technology or equivalent.</li><li>At least 2 years’ experience in developing android and/or ios apps.</li><li>Experience in uniapp, react native or Ionic framework is an advantage.</li><li>Self-motivated, eager to learn, responsible, able to work in a team.</li><li>Good communication and analytical skills.</li><li>Fresh graduates are welcome if CGPA is higher than 3.8.</li><li>Candidates fluent in mandarin preferred as role requires candidate to deal with mandarin speaking clients.</li></ul><p>What do we provide you to succeed in this role:</p><ul><li>Attractive remuneration and package will commensurate with experience and qualification</li><li>An attractive compensation packages</li><li>Flexi work-life hours - 5 working days.</li><li>Opportunities for growth and advancement awaits the successful candidate.</li><li>Your Medical Claims Are On Us</li></ul><p>Other Benefits</p><ul><li>Festival celebration &amp; gift</li><li>Afternoon teas &amp; soft drink, snack</li><li>so on and so forth</li></ul><p>Are you ready to make that career shift &amp; grow a great portfolio with us? Click the ‘<strong>Apply Now</strong>’ button and we will get in touch with you soon.</p>",https://www.jobstreet.com.my/en/job/software-engineer-ios-android-developer-5259729
Mobile - Android Developer,2-Feb-23,"<p>Love the smell of fresh code in the morning? Are you a passionate and creative mobile developer with a high level of engineering experience and a need to be challenged? Do you want to be part of a team building that develops innovative and lasting products?</p><p>Strands is waiting for you! With over 15 years in the market, you will join our Mobile Team and develop an innovative FinTech software that enables multinational banks to offer personalized digital banking experiences.</p><p>Reporting to the Mobile Technical Lead, the candidate will take responsibility for the mobile user interface and online experience in a rapidly evolving product that is being developed by a fast-paced and dynamic team.</p><p>You will work with our offices – Barcelona, Miami, Buenos Aires and Kuala Lumpur – and well-known customers around the world!!</p><p>Your qualifications should be...</p><p>· Minimum 3 years of mobile native applications development.</p><p>· At least involved and deliver 2 projects or show at least 2 customer apps in play store, developed either solo or in a team</p><p>· Strong knowledge of Java and Kotlin</p><p>· Experience building complex user interfaces for mobile devices purely using Android framework (No third party libraries) i.e Asynctask e.tc</p><p>· Advanced knowledge of Android Studio and Android SDK.</p><p>· Excellent analytical skills with a good problem-solving attitude and can work either solo or in a Team.</p><p>· Fluency in English.</p><p>· A bachelor degree in Software Engineering or relevant field.</p><p>· Familiar with REST APIs and JSON data exchange format.</p><p>· Experience with Software design patterns</p>",https://www.jobstreet.com.my/en/job/mobile-android-developer-5265002
Mobile App Developer (Android),2-Feb-23,"<p>Responsibilities:</p><p>* Design, develop, and maintain Android and iOS apps.</p><p>* Develop high-quality apps, ensuring proper software design and architecture.</p><p>* Analyze requirements and understand the deliverables.</p><p>* Identify, prioritize, and execute tasks in the app's development life cycle, deliver a technical presentation, and technical documentation.</p><p>* Provide implementation and production support on the in-house build mobile/web applications.</p><p>* Write clean, testable, reusable and well-documented code.</p><p>* Revise, update, refactor, improve, and debug code.</p><p>* Writing and maintain system documentations.</p><p>* Maintain and enhance existing software applications.</p><p>* Keeping up to date with the trends, terminology and best practices for the coding of mobile applications.</p><p>* Able to work in an organized, punctual fashion with proper reporting.</p><p>* Able to work independently and coordinate with teams and other stakeholders, both on-premises and remotely.</p><p>Requirements:</p><p>* Possess at least 3 Year(s) of working experience in the related field is required for this position.</p><p>* Possess at least a Bachelor's Degree/ Post-Graduate Diploma/Professional Degree, Master's Degree in Computer Science and Engineering or any related field.</p><p>* Skills Required: Android, Android application development, Android Studio, Java, Swift, REST API.</p><p>* Experience working with Source Control (Git)</p><p>* Familiarity with native build tools (Android Studio and XCode).</p><p>* Database &amp; Application Architecture design for software solutions.</p><p>* Have strong knowledge of Object-Oriented concepts.</p><p>* Must be analytical and a problem-solver.</p><p>* Be comfortable in applying design patterns and best practices.</p><p>* Strive for quality and is attentive to details and able to improvise and innovate.</p><p>* Able to work with little supervision, result-oriented and multitasking are mandatory </p>",https://www.jobstreet.com.my/en/job/mobile-app-developer-android-5265130
Mobile App Developer (Android / iOS) 手机应用程序员,2-Feb-23,"<p><strong>Job Responsibilities:</strong></p><ul><li>Participate in deployment of system including user requirement scoping, design, coding, testing and implementation.</li><li>Ensure the quality and delivery of the various products and solutions within estimated timeline.</li><li>Provide technical advice and recommendations for software solutions and practices.</li><li>Evaluate and adopt new technologies for company or team efficiency improvement.</li><li>Maintain and support existing system.</li><li>Available positions for both <strong>iOS</strong> &amp; <strong>Android</strong>.</li><li><strong>Senior is preferable, junior / fresh grad is welcome!</strong></li></ul><p> <strong>Required Skills &amp; Qualifications:</strong></p><ul><li>Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post Graduate Diploma/Professional Degree in Computer Science/Information Technology or equivalent.</li><li>At least 2 Year(s) of working experience in full software development and related field is required for this position.</li><li>Required Skill(s):<strong> Swift, Objective-C ,Java and tools to create native app for iOS/Android</strong>. </li><li>Experienced in <strong>Hybrid React/Flutter </strong>is an advantage. </li><li>Experienced in UI/UX is an advantage. </li><li>Creative, self-motivated, dedicated, good team player and able to work independently with minimal supervision.</li><li>Able to work on multiple projects simultaneously with tight timeline.</li><li>Preferably <strong>Senior Executive</strong>, talented Juniors are welcomed.</li><li>Preferably <strong>Mandarin speaking</strong> and <strong>locals Malaysian</strong> (mandarin / dialects speaking is our office culture).</li><li>Able to start work immediately is preferable.</li><li><strong>Attractive remuneration.</strong></li></ul><p><strong>Benefits of this role:</strong></p><ul><li>Reasonable annual leaves entitlement</li><li>Allowances entitlement</li><li>Nice &amp; cozy working environment</li><li>Central location, nearby Kerinchi &amp; Universiti LRT Stations</li><li>Free snack / happy hours</li><li>Open culture</li></ul>",https://www.jobstreet.com.my/en/job/mobile-app-developer-android-ios-%E6%89%8B%E6%9C%BA%E5%BA%94%E7%94%A8%E7%A8%8B%E5%BA%8F%E5%91%98-5249996
