jobTitle,postedDate,jobDescription,jobUrl
"SENIOR LECTURER (FULL-TIME/PART-TIME), FACULTY OF ENGINEERING AND COMPUTING",1-Feb-23,"<p><strong>Areas of Specialization:</strong></p><ul><li>Natural Language Processing</li><li>Artificial Intelligence/Intelligent System</li><li>Data Warehousing and Data Mining</li></ul><p><strong>Job Descriptions:</strong></p><ul><li>Responsible for the teaching and learning aspects of the subjects including, but not limited to, teaching materials, preparing assessments, setting examination questions and papers, marking examination scripts and other associated projects that relate to the subjects being offered.</li><li>Review, update and develop lesson plans, schemes of work, lectures/practicals, tutorials, assignments, and class discussions in compliance with the syllabus and curriculum.</li><li>Initiate small group tutorials for students in need.</li><li>Nurture student talents and potential through extracurricular activities.</li><li>Perform any other tasks that might be assigned from time to time.</li></ul><p><strong>Requirements:</strong></p><ul><li>Candidate must possess at least a Master's Degree in a related discipline, preferably in Computer Science.</li><li>Candidates with PhDs are preferred. Fresh graduates with PhDs are also encouraged to apply.</li><li>At least 2 years of lecturing experience in tertiary education. Relevant industrial experience is considered as an added value.</li><li>Experience in developing teaching methodologies and materials, including the effective use of IT technologies in facilitating teaching and learning.</li><li>Possess good written and spoken communication skills in English.</li><li>Good interpersonal and presentation skills.</li><li>Able to work independently.</li></ul><p>Prospects for advancement are excellent for the right candidate. Salary will be commensurate with qualifications and experience. Only shortlisted candidates will be notified.</p>",https://www.jobstreet.com.my/en/job/senior-lecturer-full-time-part-time-faculty-of-engineering-and-computing-5263124
CEO (Data),2-Feb-23,"<p><strong>you future employer</strong></p><p>Over the years, our client has expanded through a number of strategic mergers and acquisitions, supported by a very well-capitalized traditional brick and mortar firm (based on providing essential services in different continents - generating sustainable revenue to the entire group). This offers the digital economy's upside potential as well as the stability of the traditional economy. They possess numerous lucrative commercial operations and portfolios around the APAC area, some of which are well-known brands and important companies to our economy.</p><p><strong>about the job</strong></p><ul><li>Take on a strategic leadership role in building and assuring the data science department's maximum capabilities. regionally assisting the group's operations</li><li>In charge of managing personnel and ensuring that they carry out their responsibilities in accordance with the company's overarching vision.</li><li>Work together and offer departmental heads across the region/group advice in order to develop advanced analytic data modelling systems.</li><li>Provide general direction and planning for the creation and application of big data capabilities, including the coordination of cross-functional analytic projects.</li><li>Making use of local resources to develop data analytics, data warehousing, data engineering, data modelling, business insights, and intelligence capabilities in order to develop big data applications that use both structured and unstructured data, design the best possible data architecture, and test out novel machine learning and artificial intelligence (AI) algorithms.</li></ul><p><strong>Requirements</strong></p><ul><li>Minimum 15 years of experience in technology, data science, or analytics required of the successful applicant (compulsory)</li><li>A minimum of 5 years of management or leadership experience in a division that leads in technology, data science, or analytics</li><li>Knowledge of how to build an outstanding Data Science/Analytics team, including the ability to serve as a deputy and to duplicate success on a different scale or structure based on organisational needs.</li><li>Strong business sense and the capacity to comprehend the data requirements of business stakeholders, including the ability to provide macro, strategic, and operational insights and intelligence.</li><li>The ability to move or travel (regional job) as the team grows and expands, with the possibility to become a global centre in local or other countries.</li></ul>",https://www.jobstreet.com.my/en/job/ceo-data-5264803
"Internship (IT, Software developer/Telecommunications/Electronics/Accounting & Finance/Business Administration/F & B/Culinary/Marketing)",20 hours ago,"<strong>Job Description:</strong><ul><li>Undergraduate</li><li>Applicants can intern at Plaza Sentral, KL Sentral/Nu Sentral and Empire Subang</li><li>No work experience required.</li><li>Good communication and interpersonal skills.</li><li><strong> 11 Internship positions available.</strong></li><li><strong>The internship is open to candidates enrolled in programs in business administration/managenment, marketing, HR, accounting &amp; finance, telecommunications, IT, software engineering, graphic design and other fields including culinary arts/food &amp; beverage management.</strong></li><li>A good environment to learn and build skills and confidence levels.</li><li>Fresh graduates are also encouraged to apply. </li><li>Monthly allowance and food subsidy is being offered.</li></ul><p><strong>Qualification:</strong> Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree</p><p><strong>Note: Agensi Pekerjaan Paneagle is conducting the search for internship candidates on behalf of a diversified group of companies and its profile/overview is as follows:</strong></p><p><strong><u>Brief Overview</u></strong></p><p>""Our core businesses are in Telecommunications, Telco Infra, Construction, AI (Artificial Intelligence)/ R&amp;D and related projects, F&amp;B/Restaurants, Investment Holding, etc.</p><p>As a dynamic, growing and vibrant organization that encourages innovation, creativity and efficiency in our activities, we do believe our people are passionate, committed and capable in doing excellant work for our Clients, Community and Nation. And, we believe our vision is limitless and your potentials are boundless, so you are welcome to join us now. Find out how you can be a part of something exciting and be the agent of change in the industry.""</p>",https://www.jobstreet.com.my/en/job/internship-it-software-developer-telecommunications-electronics-accounting-finance-business-administration-f-b-culinary-marketing-5266794
Software Engineer,1-Feb-23,"<p>FeedMe's Software Engineers develop next-generation technologies that change lifestyles for millions of users. Our products need to handle transactions at a massive scale and extend well into the offline world. We're looking for engineers who bring fresh ideas from all areas, including but not limited to information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, and mobile; the list goes on and is growing every day.</p><p>What you'll do:</p><ul><li>Work on various product criteria to meet FeedMe product needs.</li><li>Design highly scalable, testable, and maintainable solutions</li><li>Collaborate closely with different teams to deliver high-quality features that enhance our user lifestyle.</li><li>Uphold excellent engineering practices and principles.</li><li>Be versatile and enthusiastic about taking on new challenges across the full stack as we continue to push technology forward.</li></ul><p>What you need for the role:</p><ul><li>At least 2+ years of experience in Software Engineering.</li><li style=""margin-left:30px"">Junior - Mid level: 1-4 years of experience</li><li style=""margin-left:30px"">Senior level: 4-8 years of experience</li><li>Experience in Javascript development environment.</li><li style=""margin-left:30px"">NodeJS / NestJS / VueJS / NuxtJS</li><li style=""margin-left:30px"">Good to have: Flutter / Dart / MongoDB / CouchDB / AWS / GCP</li><li>Effective communication in English</li><li>Good team player</li><li>FRESH GRADUATES are welcome to apply as well.</li></ul><p>What we have for you:</p><ul><li>Competitive salary package and benefits.</li><li>Internal transfer opportunities as we are growing</li><li>Hybrid-mode work arrangement</li><li>Casual dress code practice.</li><li>Career development, in-job training, and progression opportunities</li></ul>",https://www.jobstreet.com.my/en/job/software-engineer-5263372
Machine Vision Engineer,1-Feb-23,"<p><strong>Job Description/ Responsibilities:</strong></p><ul><li>Design, develop and debug software for machine vision systems such as Automated Optical Inspection (AOI) machines that use for wide range of industrial applications.</li><li>Develop new optics hardware or software features to enhance the current system.</li><li>Research in big data analysis and artificial intelligence for its implementation in vision system.</li><li>Perform sample evaluation to study machine vision/system integration feasibility.</li><li>To analyze and implement customer requirements and resolve software issues towards the feasibility of design within time.</li><li>Collaborate with mechanical and machine handler team on system integration jobs from design stage until system setup.</li><li>Perform onsite system setup, troubleshooting and provide technical assistance to customers when necessary.</li></ul><p><strong>Requirements:</strong>            </p><ul><li>Candidate must possess at least Bachelor's Degree/Post Graduate in Engineering (preferably Electrical/Electronic, Mechatronics), Computer Science/Information Technology or equivalent.</li><li>Must possess knowledge in C++ or C#.NET programming.</li><li>Knowledge in machine vision/image processing/motion control is an added advantage.</li><li>Experience in using vision library such as Halcon, Euresys or others is an added advantage.</li><li>Knowledge in SECS/GEM communication is an added advantage.</li><li>preferable at least 2-3 Years of working experience in the related field</li><li>Able to travel oversea.</li></ul>",https://www.jobstreet.com.my/en/job/machine-vision-engineer-5263354
Software Engineer (AI),20-Jan-23,"<p><u>Requirement</u></p><ul><li>Minimum 2 years of working experiences in software development, fresh graduate are encourage to apply</li><li>Familiar with multiple OS environments. Windows and Linux are a must. (Mac OSX will be added advantage)  </li><li>Willing to work in Artificial Intelligence project</li><li>Have programming C, C++ experience</li><li>Have experience in writing &amp; debugging Python scripts</li><li>Setup of Raspberry pi with other hardware</li><li>Familiar with Open Vino toolkit or any AI framework will be added advantage</li><li>Have knowledge in Tensor flow</li><li>Knowledge with virtual machine and docker will be added advantage</li><li>Possess strong analytic and troubleshooting skill</li><li>Strong communication skills (Speaking &amp; Writing)</li><li>Willing to work in shift - day/evening/night</li></ul>",https://www.jobstreet.com.my/en/job/software-engineer-ai-5253611
R&D Software Engineer,19-Jan-23,"<p>Make the best career decision ever by joining ViTrox as an R&amp;D Software Engineer. Be part of a visionary team of engineers to design, develop and implement new and existing vision application tools. Put on your ‘Einstein’ thinking hat where you have the golden opportunity to engage in R&amp;D projects and feasibility studies on vision application-related techniques. Expand your people skills by engaging directly with global customers who will challenge you to produce visionary ideas and projects. If you are ready to take on the challenge, join us <strong>TODAY</strong>!</p><p><strong>Responsibilities:-</strong></p><ul><li>Algorithms comprehension, planning, development, testing, and monitoring practical runs in customer sites. On the following fields: Image Processing, Basic Machine Learning, Basic Optimization</li><li>Data analysis on data collected from customer sites for various purposes (e.g. repeatability &amp; reproducibility study, trend observation)</li><li>Develop inspection algorithm/coding for company products by using C &amp; C++</li><li>Responsible for developing new features and applying them at customer sites to ensure the success of implementation</li><li>Work together with internal &amp; external customers on issues that required R&amp;D Engineer assistance</li></ul><p><strong>Requirements:-</strong></p><ul><li>Degree in Computer Science / Engineering (Software / Computer / Mechatronics / Electronic &amp; Electrical) or equivalent</li><li>1 or 2 years of related experience and/or training in programming is an added advantage</li><li>Programming experience required especially in C, MS Visual C++6.0 (MFC)</li><li>Experience &amp; knowledge in vision system development / Image Processing / Optics / Artificial Intelligence / Neural Network / vision control / basic mechanical / machine automation are an added advantage</li><li>Good general knowledge of data processing system design methods, techniques &amp; standards</li><li>Technically inclined in software development or programming</li><li>Possess knowledge of Object Oriented Design and UML</li><li>Good analytical and problem solving skills</li><li>Fresh graduates are encouraged to apply</li></ul>",https://www.jobstreet.com.my/en/job/r-d-software-engineer-5252431
AI Engineering (MLOps) Intern,1-Feb-23,"<p><strong>Job Description</strong></p><ul><li>Develop and deploy microservices serving the machine learning lifecycle</li><li>Maintaining and optimizing existing computer vision training pipelines</li><li>Research, implement and maintain orchestration frameworks like Metaflow, Flyte, Prefect, etc..</li></ul><p><strong>Job Requirements</strong></p><ul><li>Advanced understanding of Python and ability to write clean code</li><li>Good understanding of the machine learning lifecycle</li><li>Background in machine learning and artificial intelligence with expertise in one or more of: <strong>computer vision, NLP, speech, optimization, deep learning, reinforcement learning, time series, generative models, signals, and distributed systems</strong>.</li><li>Knowledge of common ML frameworks like PyTorch, TensorFlow etc.</li><li>A passion for making ML methods robust and scalable</li><li>Experience with Amazon Web Services</li><li>Strong knowledge of GIT version control software</li><li>Excellent at creating and maintaining cross-functional working relationships. </li><li>Excellent written and verbal communication skills</li><li>Must be self-motivated, passionate, resourceful, adaptable, flexible, and able to manage multiple parallel-path projects</li></ul>",https://www.jobstreet.com.my/en/job/ai-engineering-mlops-intern-5263585
BI Manager,27-Jan-23,"<p><strong>We are looking for a dynamic and creative person to join our team.</strong></p><p><strong>You will play an important role in:-</strong></p><ul><li>Responsible to define and overseeing the data analytics strategies and framework for the organization</li><li>Define and Manage Group Data Analytics strategies and framework in end to end data journey</li><li>Plan, Coordinate, Supervise all activities related to data analytics which include design, development and support</li><li>Manage group and site BI development</li><li>Explore, Define and Implement data journey (Descriptive to Diagnostics to Predictive to Prescriptive)</li><li>Interact with business users at all levels of the Organization</li><li>Define and Manage data warehouse and BI dashboards etc</li><li>Understand business needs and objectives to develop strategies for effective data analysis and reporting.</li><li>Oversee all analytics operations to correct discrepancies and ensure quality</li><li>Implement both short-term and long-term strategies to achieve the data strategies</li><li>Explore and keep up to date on latest technology trend and offering in the market and provide recommendation on relevancy to the organization</li><li>Coach, develop, appraise and planning for BI resources</li></ul><p><strong>To be successful in this role, you will need to have:-</strong></p><ul><li>Bachelor’s degree in business analytics, statistics, mathematics or computer science</li><li>Minimum 5 years in analytics and leadership role</li><li>Expert level in Azure data stack (eg. Azure Databricks, Blob Storage, SQL, Synapse, Data Factory etc)</li><li>Expert level in Power BI</li><li>Expert in ETL and data engineering processes</li><li>Strong business acumen, analytics and good storytelling skill</li><li>Goal oriented and can execute without close supervision</li><li>Positive mental attitude, high energy, high integrity, strong work ethic, enthusiasm and commitment to deliver as promised</li><li>Hands-on experience in manoeuvring and deriving insight from large datasets</li><li>Experience in with Machine Learnings and Artificial Intelligence is an added advantage</li><li>Excellent communication skills in English and Mandarin is preferred as need to support China Plant stakeholders.</li><li>Ability to manage effectively cross geographical resources</li><li>Team oriented: strong interpersonal skills and ability to work collaboratively with all stakeholders</li><li>Willing to travel (30-50%)</li></ul>",https://www.jobstreet.com.my/en/job/bi-manager-5243862
Artificial Intelligence Software Engineer,13-Jan-23,"<p><strong>Job Description</strong></p><p>Emerico is at the forefront of digital reinvention, helping clients reimagine how they serve their connected customers and operate enterprises. We are looking for an experienced AI specialist to join the revolution, using deep learning, neuro-linguistic programming (NLP) computer vision, chatbots, and robotics to help us improve various business outcomes and drive innovation. You will join a multidisciplinary team helping to shape our AI strategy and showcasing the potential for AI through early-stage solutions. This is an excellent opportunity to take advantage of emerging trends and technologies to a real-world difference.</p><p><strong>Objectives of this Role</strong></p><p>·Manage and direct research and development (R&amp;D) and processes to meet the needs of our AI strategy</p><p>·Understand company and client challenges and how integrating AI capabilities can help create solutions</p><p>·Lead cross-functional teams to identify and prioritize key areas of the partner’s business where AI solutions can drive significant business benefit</p><p>·Analyze and explain AI and machine learning (ML) solutions while setting and maintaining high ethical standards</p><p>·          </p><p><strong>Daily and Monthly Responsibilities</strong></p><p>·Advise C-suite and business leaders on a broad range of technology, strategy, and policy issues associated with AI</p><p>·Work on functional design, process design (including scenario design, flow mapping), prototyping, testing, training, and defining support procedures, working with an advanced engineering team and executive leadership</p><p>·Document and articulate solution architecture and lessons learned for each exploration and accelerated incubation</p><p>·Manage a team to conduct assessments of the AI and automation market and competitive landscape</p><p>·Serve as liaison between stakeholders and project teams, delivering feedback and enabling them to make necessary changes to product performance or presentation</p><p><strong>Required Skills and Qualifications</strong></p><ul><li>Bachelor’s degree in computer science or MSc in Computer Science</li><li>Experience in applying AI to practical and comprehensive technology solutions</li><li>Proven experience with ML, deep learning, Tensorflow, Python, NLP</li><li>Experience with program leadership, governance, and change enablement</li><li>Knowledge of basic algorithms, object-oriented and functional design principles, and best practice patterns</li><li>Experience with REST API development, NoSQL design, RDBMS design and optimizations</li><li>Experience with Cloud environments</li><li>Expats are encouraged to apply</li></ul>",https://www.jobstreet.com.my/en/job/artificial-intelligence-software-engineer-5246650
