jobTitle,postedDate,jobDescription,jobUrl
Cloud Architect,2-Feb-23,"<p>iZeno was founded in 2003 to provide enterprises with custom-built technology solutions they need to keep their business running seamlessly. Logicalis Asia, part of the Logicalis Group, a leading international IT solutions and managed services provider, has acquired a majority stake in iZeno, a company specializing in digital transformation, application modernization, DevOps, customer experience and hybrid cloud solutions.</p><p>With a team of 120+ in-house innovators, we have delivered over 500 Enterprise Solutions, implemented, and optimized to enable smarter insights. Our team draws on industry experiences in accomplishing a portfolio of mission-critical applications, integrating Cloud, CRM, Data Analytics, and other leading technologies with our clients’ existing IT frameworks.</p><p>With leading presence in the region, headquartered in Singapore and operation in Malaysia, Indonesia, Thailand and Philippines, no project is too complex for us, and our team is always ready for a new challenge.</p><p><strong>The Role</strong></p><p>As a Cloud Architect in iZeno Sdn Bhd you will lead a team of engineers providing them the technical leadership to achieve high service delivery standards in the implementation.</p><p>In this role you will provide the solution and design to meet customer requirements and also mentor the team to execute on the implementation.</p><p><strong>What We Are Looking For</strong></p><ul><li>Strong technical skills in Redhat Linux, Openshift container platform, ansible or similar technologies</li><li>Good understanding of application infrastructure such as Apache, Ngnix, JBoss and middleware or similar technologies</li><li>Possess good troubleshooting and problem-solving skills.</li><li>Able to put together solution based on customers' requirements for AWS or GCP or private cloud.</li><li>Demonstrate experience in solutioning for cloud.</li><li>Build executive relationships with customers, influence their long-term strategic direction &amp; act as a trusted advisor.</li><li>Good presentation skills</li><li>Effectively communicates across all organizational levels.</li><li>Fluent English skills</li><li>Redhat certification and any public cloud certification</li><li>Bachelor’s degree in Computer Science, related technical field, or equivalent practical experience.</li></ul><p><strong>What We Have to Offer</strong></p><ul><li>An exciting job with latest technology</li><li>Continuous training &amp; development of soft and hard skills</li><li>A competitive salary, in line with your profile</li><li>A package of benefits including healthcare insurance</li><li>Hybrid Working Arrangement</li><li>An awesome team of colleagues &amp; regular team building activities.</li><li>The ability to work with the world’s leading companies in technology and innovation.</li><li>An environment where we embrace openness, transparency and grab every opportunity to have fun, while always doing what is right for our customers and partners.</li></ul><p>We regret that only shortlisted candidates will be notified.</p>",https://www.jobstreet.com.my/en/job/cloud-architect-5255172
IOT Solution Architect,23 hours ago,"<p><u>Responsibilities</u></p><p>·     Setup and maintain multiple IoT cloud Dev/QA/Staging/production environments</p><p>·     Establish and enforce reference solutions to support various industry use cases</p><p>·     Work closely with development teams, Product Management, Sales &amp; Marketing</p><p>·     Support customers around the globe</p><p>·     Integrate the IT and appliance technologies in support of product development to achieve the company’s product plan</p><p>·     Align the Technology and IT functions with development requirements for future Connected products</p><p>·     Guide and provide the iterative development of a system, based on risk management and knowledge acquisition</p><p>·     Serve as technical design and execution lead on Connected Technology programs</p><p>·     Lead the design process for enterprise solutions, ensuring they meet availability, scalability, security, and business continuity goals</p><p><u>Requirements</u></p><p>·      BSc or MSc or an IT/EE (or equivalent)</p><p>·      Excellent Italian and English, both oral and written</p><p>·      Knowledge of cellular 3GPP / LPWAN/ radio technology, with an understanding of communication protocols (MQTT, COAP, LWM2M, etc) aspects for IoT applications</p><p>·      Knowledge of data communication, network, software application, web-based and service-based architectures (REST/SOAP), cloud and IT technologies</p><p>·      Prior Experience/Knowledge of IoT Business Arena, technology trends and competitive landscape (preferred)</p><p>·      Consistent track record in technical / pre-sales capacity</p>",https://www.jobstreet.com.my/en/job/iot-solution-architect-5266222
IT Solution Architect (In Johor Bahru / Penang),30-Jan-23,"<p><strong>Work location: Johor Bahru (Setia Business Park II) <em>OR </em>Penang (Suntech at Cybercity, Bayan Baru)</strong></p><p><strong>Working hours: 8.00am - 5.00pm</strong></p><p><strong>Job Details:</strong></p><ul><li>Understanding Customer/Partner Technical Environment. Gathers customer/partner insights (e.g., feedback around technical preferences, environments, business needs, competitive landscape), and maps architecture and digital transformation solutions to customer/partner business outcomes.</li><li>Leads architecture design, resiliency reviews, and technical optimization that result in production deployment and increase customer business value. Drives efforts to ensure that the customer's environment and applications are well-architected.</li><li>Receives and synthesizes data about customer/partner business and technical requirements, addresses them with technical architecture(s), and demonstrates and proves those solutions capability and business value through design collaboration sessions with the customer/partner.</li><li>Applies broad technical knowledge across various architecture solutions to meet business and information technology (IT) requirements and resolve identified technical constraints. helps to shape and enhance customers' requirements.</li><li>Leads customer/partner projects that implement technical architecture(s). Provides thought leadership for technical architecture design, development, and deployment and supports/drives the customer/partner throughout pre-sales and/or implementation.</li><li>Identifies, escalates, and works to resolve technical blockers (e.g., changing configurations, sample coding) to accelerate architecture implementations and routes non-technical issues for removal by the appropriate party. Willing and able to do code review to better understand the existing functions and workflow.</li><li>Adapts methodology and applies governance to identify, communicate, and minimize business and technical risks (e.g. Well-Architected Framework, Enterprise Scale Landing Zone, Cloud Adoption Framework). Defines customer/partner conditions of success, adheres to quality assurance, and calculates risks while designing and/or delivering solutions.</li><li>Develops and expands existing impactful relationships with customer and partner/MCS architects and technical specialists, technical decision makers (TDMs), and business stakeholders.</li><li>Respectfully challenges customers/partners when going in the wrong direction and escalates appropriately. Willing and able to manage customer expectations.</li><li>Shares ideas, insight, and strategic, technical input with technical teams, internal communities across the field. Acting as a Lead to drive the whole team move forward heading the right direction.</li><li>Acts as a mentor to junior colleagues to educate them on technical and non-technical concepts.</li></ul><p><strong>Requirements:</strong>  </p><ul><li>Bachelor's Degree in Computer Science, Information Technology, Engineering, or related field, with:</li><li style=""margin-left:30px"">8+ years hands-on working experience in the configuration, customization, and implementation of Cloud (Azure) based applications;</li><li style=""margin-left:30px"">And 6+ years’ experience in technology solutions, practice development, architecture, consulting, and/or cloud/infrastructure technologies.</li><li><strong><em>OR </em></strong>Master's Degree in Computer Science, Information Technology, Engineering, or related field, with:</li><li style=""margin-left:30px"">6+ years hands-on working experience in the configuration, customization, and implementation of Cloud (Azure) based applications;</li><li style=""margin-left:30px"">And 4+ years’ experience in technology solutions, practice development, architecture, consulting, and/or cloud/infrastructure technologies.</li><li>Certification in one of the following technologies preferred: Cloud, mobile, web application development, cloud-native application architecture (i.e., containers, microservices, API management), modern software development techniques like DevOps and CI/CD tool chains (i.e. Jenkins, Spinnaker, Azure developer services, GitHub) and container orchestration systems (i.e. Docker, Kubernetes, Cloud Foundry, Azure)</li><li>Able to communicate well in both written and spoken English.</li><li>Able to work both independently as well as with a team.</li><li>Organized, with high attention to details and a positive attitude.</li><li>Good problem-solving skills, and comfortable with hands-on approach.</li></ul>",https://www.jobstreet.com.my/en/job/it-solution-architect-in-johor-bahru-penang-5260851
Solution Architect (Outsourcing),31-Jan-23,"<p>Position: <strong>Solution Architect</strong></p><p><strong>Job Responsibilities:</strong></p><p>1. Take charge of technical communication and insight into key customers' opportunities in the pre-sales phase.</p><p>2. Based on the capabilities of cloud products and solutions, take charge of requirement analysis, solution design, POC verification, and solution design of traditional IT migration to the cloud for public cloud projects.</p><p>3. Be responsible for the migration and online delivery of public cloud products and solutions. Participate in and guarantee the delivery of key projects.</p><p>4. Provide general requirement input for products and solutions based on the characteristics of the region and industry, and support competitiveness improvement.</p><p><strong>Expertise:</strong></p><p>1. Have a basic command of the functions, principles, and architecture of one or more domains of the public/private cloud. Basic programming or development experience is preferred.</p><p>2. Have experience in migration methods and processes on and off the cloud. Complete project experience is preferred.</p><p>3. Experience in public cloud solutions in one or more industries, such as finance, Internet (gaming and video), manufacturing, energy, education, healthcare, and government, is preferred.</p><p>4. Experience in planning, implementing, and maintaining virtualization and cloudification projects of IT departments in related industries is preferred.</p><p><strong>Business skills:</strong></p><p>1. Be able to support projects and communicate with customers on technical solutions.</p><p>2. Have relevant experience in the business and IT of a specific industry and region.</p><p>3. Strong technical background and good understanding of data, platforms, and technologies.</p><p>岗位：<strong>解决方案架构师</strong></p><p><strong>岗位职责：</strong></p><p>1、 负责关键客户售前阶段的技术交流及关键客户机会洞察工作；</p><p>2、 基于云产品与解决方案能力，负责公有云项目的需求分析、方案设计、POC验证、传统IT上云方案设 计等工作；</p><p>3、 负责公有云产品与解决方案的迁移、线上交付；参与和保障重大项目的交付；</p><p>4、 结合所在区域及所在行业特点，为产品与解决方案提供通用需求输入，支撑竞争力提升；</p><p><strong>专业知识：</strong></p><p>1. 熟悉公有云/私有云的一个或多个领域的功能、原理、架构；有一定编程基础或者开发经验优先；</p><p>2. 对云上云下迁移方法、过程有一定经验；具备完整项目经验优先；</p><p>3. 有金融/互联网行业（游戏，视频领域）/制造/能源/教育/医疗/政府等一个或多个行业公有云解决方案 经验者优先；</p><p>4. 有相关行业的IT部门虚拟化、云化等项目规划、实施、运维经验优先 业务</p><p><strong>技能：</strong></p><p>1. 具备项目支撑和客户技术方案交流能力；</p><p>2. 对某一行业区域领域业务及IT有相关经验；</p><p>3. 技术背景较强，对数据，平台，技术有较好的理解力;</p>",https://www.jobstreet.com.my/en/job/solution-architect-outsourcing-5262400
"Japanese Bilingual Solutions Architect | Manila, Philippines",31-Jan-23,"<p><strong>Upon clicking on Apply Now, you will receive an SMS which contains a link to an online form that you need to complete for us to fully process your application. Thank you!</strong></p><p><strong>​The work:​</strong></p><ul><li>Work with client/stakeholders to assess current state processes and tools, identify ServiceNow platform solution options, define ServiceNow solution requirements, determine and define integration requirements, and develop overall architecture and implementation plans.</li><li>Drives the sign off on the technology solution and acts as an interface with the delivery organization to ensure effective transition, shape services and determine appropriate service delivery locations and related costs</li><li>Facilitate critical incident management</li></ul><p><strong>What’s in it for you?</strong></p><ul><li>You will be part of a diverse, vibrant, global Accenture/Advanced Technology Center community, continually pushing the boundaries of business capabilities.</li><li>At Accenture you will work on meaningful and innovative projects, powered by the latest ATCP technologies. You’ll be immersed in industry best practices such as event-driven architectures and domain-driven design.</li><li>Accenture will continually invest in your learning and growth. You'll work with Accenture’s certified practitioners, and Accenture will support you in growing your own tech stack and certifications.</li></ul><p><strong>Here's what you’ll need: ​</strong></p><ul><li>A bachelor's degree in Information Technology, Computer Science, Computer Engineering, or other relevant fields. Undergraduates with language proficiency are welcome to apply</li><li>Fluent in Japanese and English language with strong oral and written communication skills</li><li>Japanese Language Proficiency Test (JLPT) N3-certified</li><li>Experience in any of the following:</li><li style=""margin-left:30px"">ITSM/CMDB/ITOM/</li><li style=""margin-left:30px"">ITSM/CSM/FSM</li><li style=""margin-left:30px"">ITAM (HAM and SAM)</li><li style=""margin-left:30px"">ITSM/SecOps</li><li style=""margin-left:30px"">Project Portfolio Management/Application Portfolio Management</li><li style=""margin-left:30px"">Cloud Provisioning &amp; Governance</li><li>Willing to work on holidays, weekends, shifting schedules, and extended working hours</li></ul><p><strong>What we believe:</strong></p><p>All our leaders are committed to building a better, stronger, and more durable company for future generations to create positive, long-lasting change. Inclusion and diversity are fundamental to our culture and core values. Our rich diversity makes us more innovative and creative, which helps us better serve our clients and our communities.</p><p>Our position as partner to many of the world’s leading businesses, organizations and governments affords us both an extraordinary opportunity and a tremendous responsibility to make a difference. Sustainability is one of our greatest responsibilities, which we embed it into everything we do and for everyone we work with.</p><p>Accenture is committed to providing equal employment opportunities for persons with disabilities. Please let your recruiter know if you require reasonable accommodation to enable your participation in the recruitment process, they will be happy to assist you.</p>",https://www.jobstreet.com.my/en/job/japanese-bilingual-solutions-architect-%7C-manila-philippines-12758156/origin/ph
Solution Architect,31-Jan-23,"<p><strong>Requirements:</strong></p><ul><li> Minimum 10 years of experience in a relevant role</li></ul><p><strong>Technical Knowledge:</strong></p><ul><li>Java EE, Java 8+, Spring Framework, JUnit</li><li>Microservices Architecture and SpringBoot</li><li>Database Technology: SQL and NoSQL</li><li>Docker, Kubernetes</li><li>HTML5, CSS3, JavaScript (ES6), JQuery</li><li>Familiar with Git technology and GitHub</li><li>Bonus: Distributed Application</li><li>Bonus: Angular2</li><li>Bonus: Amazon Web Service (AWS) or Microsoft Azure Cloud Computing Certification</li><li>Bonus: iOS and Android mobile app development</li></ul><p><strong>Project Experience:</strong></p><ul><li>Manage a team of at least 5 people in a previous project</li><li>At least build and deliver 2 enterprise system project</li><li>Familiar with Agile Development</li><li>Experience with CRM system, Logistic system, and Banking system is a bonus</li><li>Experience with ERP system like SAP (SD Module) and integration to SAP is a plus</li><li>Experience with Business Intelligence solution is a plus</li></ul><p><strong>Duties and Responsibilities:</strong></p><ul><li>Comprehend business strategies and requirements and develop necessary designs and plans to ensure projects and solutions satisfy those needs</li><li>Design, develop, test solutions as well as integrate into an external system</li><li>Work with team members to develop effort estimation, budgets, and timelines</li><li>Work with the team to develop and test modules and features</li><li>Act as a contributing member of the project team from project inception to completion</li><li>Actively listen to requirements, pain points, problems and needs to implement that information when creating solution plans</li><li>Assess and evaluate risk as required</li><li>Keep skills updated and remain proactively aware of happenings and current events in the industry</li><li> Research new technologies and provide advice and recommendation for use in various projects or situation</li><li>Comfortably communicate professionally with team members, partners, and clients</li><li>Confidently speaking in front of a group of people to explain the idea and solution</li><li> Mentor, educate, and train junior colleagues as requested</li></ul>",https://www.jobstreet.com.my/en/job/solution-architect-5261037
Solution Architect - ICT Industry (Hong Kong Market) - Hybrid Working - Bangsar South,30-Jan-23,"<p><strong>JOB RESPONSIBILITIES:</strong></p><ul><li>Participating in business process redesign, roadmap planning, and identifying touchpoints in multi-cloud implementations</li><li>Developing solution architecture designs to meet business core requirements, target state business processes and UI &amp; UX refinements</li><li>Working closely with our customers to understand the current business processes at a detailed level.</li><li>Developing strong client relationships by building trust, rapport, and positive working relationships with both internal and external stakeholders and team members.</li><li>Facilitating workshops and showcases with both internal stakeholders and external customers</li><li>Identifying business process improvements and opportunities for automation.</li><li>Working with internal and customer stakeholders to create prototypes, proof of concepts, and sample mockups as a means of eliciting and defining business requirements.</li><li>Creating and owning user stories/business requirements documents as an outcome of the requirements gathering sessions, and detailing out the user stories in the agile sprints for the scrum team to work upon.</li><li>Analyzing the data requirements, structures, and integration points of the process, and creating mapping to Salesforce objects or external REST endpoints</li><li>As required, participating in the UAT and Go-Live process, including test planning, development of test scripts, testing logistics, test execution, and status reporting.</li><li>Documenting work using flow charts, written descriptions, screenshots, and videos.</li></ul><p><strong>JOB REQUIREMENTS:</strong></p><ul><li>Minimum 5-7 years working as a Solution Architect within the Salesforce ecosystem with a proven track record of delivering complex large-scale projects</li><li>Proven track record of working with medium to large organisations, implementing software design patterns, development standards and application frameworks</li><li>Solution design experience within Sales, Service and Experience Cloud</li><li>Good knowledge with designing and building Salesforce APIs and integration to enterprise integration platforms</li><li>Excellent understanding of the Salesforce data model and experience in data migration from source systems</li><li>Hands on experience in Salesforce Administration, configuration and customisation</li><li> Experience working with Agile project delivery methodology and within a DevOps culture</li><li> Experience in supporting Salesforce CI/CD software engineering practices</li><li>Any Salesforce Certification a plus</li><li>Bachelor degree or higher in Information Technology, Computer Science, Software Engineering or equivalent</li><li>Fluent in English, Cantonese and Mandarin</li><li>Excellent communication skills both written and verbal</li></ul>",https://www.jobstreet.com.my/en/job/solution-architect-ict-industry-hong-kong-market-hybrid-working-bangsar-south-5259932
Network Architect (Technical Integration),3-Feb-23,"<p>Logicalis is an international multi-skilled solution provider providing digital enablement services to help customers harness digital technology and innovative services to deliver powerful business outcomes.</p><p>Our customers span across industries such as financial services, TMT (Telecommunications, Media and Technology), Education, Healthcare, Retail, Government, Manufacturing and Professional services. Our focus is to engage in the dynamics of our customers’ vertical markets and apply the skills of our employees in modernising key digital pillars, Data centres and Cloud services, Security and Network Infrastructure, Workspace communications and collaboration, Data and information strategies, and IT operations modernisation.</p><p>Logicalis Group has an annualised revenue of over $1.7 billion, from operations in Europe, North America, Latin America, Asia Pacific and Africa. It is a division of Datatec Limited, listed on the Johannesburg Stock Exchange, with revenues of over $4 billion.</p><p>As we continue to grow as a business, our people are our key differentiator with our competitors, and developing and retaining our talent is a key priority for all of our businesses. We will recommend that you watch this short video with input from our employees around the world.</p><p>Logicalis - A Great Place to Work</p><p><strong>Role Description:</strong></p><ul><li>Lead customer project delivery engagements by providing design and solution consultancy for large scale solutions and complex issues, related to data centre networking &amp; security</li><li>Consult and work with customers to plan, design, install, configure, integrate and/or optimize the solution &amp; services to accelerate business outcomes.</li><li>Translate business requirements into data centre networking solution design. Drives customer technology transitions, influencing solution architectures and services.</li><li>Participate in services presales activities which include helping create statement of work, scoping of efforts, propose right services &amp; solutions, articulate the value and expertise of the Logicalis’ professional services as part of a comprehensive outcome-based solution.</li><li>Conceptualize (Customer Requirements Document), plan (Implementation Strategy Plan), design (High &amp; Low Level Design) and advise cross-functional teams across multiple technical, operational and enterprise architecture domains.</li><li>Provides leadership capabilities and insight for creation and sharing of best practices to improve service quality and efficiency.</li><li>Provides technical expertise and escalation support in resolving technical problems within the professional services team</li><li>Mentor and develop junior network engineers</li><li>Create and deliver training and/or mentorship programs for technical resources within the professional services organization.</li><li>Partner with the presales team to improve the quality and accuracy of the Scope of Work and cost estimates</li></ul><p><strong>Requirements:</strong></p><ul><li>Degree in Computing or Engineering discipline</li><li>CCIE (Routing &amp; Switching) and/or CCIE (Data Centre)</li><li>At least 10 years’ experience in project deployment for complex network infrastructure for data centre/cloud and campus, including at least 3 years in a solution architect role</li><li>Advanced knowledge of Software Delivered Data Centres in general and Software Delivered Networks in particular.</li><li>Should have acumen for emerging technologies in the networking world.</li><li>Advanced skills about data centre networks and protocols (Unicast, Multicast, Anycast).</li><li>Advanced skills in network protocols: IP, TCP, UDP, and other common protocols.</li><li>Advanced skills in network routing protocols: IGP and EGP like OSPF, IS-IS, BGP and others.</li><li>Advanced skills in Ethernet fabric technologies: Fabric Path, Cisco ACI and EVPN VXLAN</li><li>Advanced skills in software defined networks especially for Cisco ACI and/or VMware NSX-T/V</li><li>Advanced skills on how to implement network protocols within a Cisco Nexus network.</li><li>Advanced skills in analyze network problems via wireshark or any other tool set.</li><li>Advanced skills in network services like IPAM, DNS, SMTP, NTP, Load Balancing and others.</li><li>Advanced skills in how to integration various systems inside a data centre</li><li>Advanced skills in designing, implementing &amp; migrating data centre firewalls/IPS/IDS</li><li>Intermediate skills in project management (waterfall &amp; agile) and supplier management.</li><li>Basic skills in physical cable management systems, optics, fibres and data centre facility.</li><li>Basic skills in data centre facility architectures and setups</li><li>Customer satisfaction is your focus and accordingly you have a strong service mentality</li><li>Flexibility and willingness to learn new technologies, scale quickly and adapt situationally to different requirements</li><li>Excellent analytical skills and problem solver mentality</li><li>Creative thinking in designing and implementing service improvements</li><li>Deep experience in customer handling and stakeholder management.</li><li>Ability to handle escalations, be a trusted advisor for the customer and work closely with customers in defining solutions</li></ul><p>Interested Application kindly please submit your application with your expected salary and notice period to be considered for the role.</p><p>We regret that only shortlisted candidates will be notified.</p><p>As part of any recruitment process, we collect and processes personal data relating to job applicants. We are committed to being transparent about how we collect and use that data and to meeting our data protection obligations. By applying to this post and sending us your resume, you agree to the collection, use and/or disclosure of your personal data in the manner as set out in our Data Protection Notice for Job Applicants which can be found</p><p>Logicalis is committed to protecting your privacy. Click below to view the data protection notice.</p><p>Link : CLICK <u>HERE</u></p><p>https://ap.logicalis.com/sites/default/files/2022-10/PIMS-A7.3-01%20Attachment%20I%20DP%20Notice%20for%20Job%20Applicants_updated9sept22.pdf.</p>",https://www.jobstreet.com.my/en/job/network-architect-technical-integration-4209623/origin/id
Information Security Consultant (Pen Tester),1-Feb-23,"<p><strong>About the role:</strong></p><p>We are looking for an experienced and passionate Information Security Consultant, to join our Information Security Services team! </p><p>The team’s mission is to predict and prevent incidents by identifying and helping to remediate security threats and weaknesses within DPDHL IT portfolio, emphasizing on applications &amp; services.</p><p>Being part of this team, you will provide end-to-end security consultancy on application layer, building security into our IT solutions from very beginning. The projects will seek your advice and support along the risk position of the service in its lifecycle. </p><p>Your work is essential to protect DPDHL group’s information assets in a dynamic threat landscape by secure design. To achieve this, you will be interacting with our business colleagues, our solution architects and developers, to name a few. </p><p><strong>Team introduction:</strong></p><p>Information Security Services cooperates with all division under the IT Security, Risk and Compliance Management team to meet business partner's requirements to maintain the confidentiality, integrity and availability of the IT infrastructure and assets. Services provided are but not limited to:</p><p> • Penetration Testing</p><p> • Threat Intelligence</p><p> • Vulnerability Management</p><p> • Support topics on compliance assessment on ISO readiness and data protection</p><p>The team also provides consulting services by reviewing &amp; approving the security aspects of the existing network setup (Link Request Approvals) as well as system/software architectures (Application Build Recommendations &amp; Change Requests). We believe the recommendation provides the best way to move forward to both strengthening existing security mechanisms and compensating for any inherent security weaknesses. </p><p><strong>Your work:</strong></p><p> • Support our projects along the secure development lifecycle in all security related matters</p><p> • Provide consultancy and review on secure architectures</p><p> • Run penetration tests and facilitate risk based decision making, propos mitigation for issues identified</p><p> • Be subject matter expert for secure development within application security consultancy</p><p> • Participate on change and external link management processes by doing technical security reviews</p><p> • Participate on change and configuration management by doing technical security reviews</p><p> • Assist and train junior team members</p><p><strong>Application you will use:</strong></p><p> • Prior knowledge in penetration testing tools such as Burp Suite, HCL App Scan &amp; OWASP ZAP</p><p><strong>You should have:</strong></p><p> • At least 7 years of experience in end to end application consultancy</p><p> • Up-to date knowledge about current architecture patterns and application stacks used in application development</p><p> • Experienced in application penetration testing</p><p> • Communication and time-management skills</p><p> • Ability to adapt to dynamic threat landscape in a global environment</p><p> • Ability to work unsupervised, under pressure and meet deadlines</p><p> • Excellent communication and leadership skills</p><p> • Creative with strong commitment to quality and excellence</p><p> • Organizational and time-management skills</p><p> • Decision-making skills</p><p> • Educated to degree level in IT Security, Engineering or equivalent</p><p> • Strong analytical skills and efficient problem solving</p><p> • Fluency in English</p><p><strong>What is a plus point(s):</strong></p><p> • Certifications like GIAC family, CISSP, CISA, CEH, CompTIA Security+ or similar</p><p> • DevSecOps experience related to application deployments</p><p> • Experience with cloud technologies</p><p> • Mobile application framework</p><p><strong>What you will get: </strong></p><ul><li>Great team of IT professionals with global working exposure</li><li>On-going professional and technical training and certifications </li><li>Global internal job opportunities available within DPDHL</li><li>A multicultural environment </li><li>Flexible Benefits – customized according to individual needs</li><li>Choose any day for your vacation from earned public holiday (Saturday and ad hoc)</li><li>Smart casual dress code </li><li>Company Outpatient Medical  </li><li>Home office possibilities</li></ul><p>Sounds good? Start your application now!</p>",https://www.jobstreet.com.my/en/job/information-security-consultant-pen-tester-5263400
Managed Services Manager,3-Feb-23,"<p><strong><u>Job Summary</u></strong></p><p>The Managed Services Manager is responsible for managing the Day Two operations including Managed Services, Support Services and Helpdesk with a view to increase services revenue, customer satisfaction and optimize resources.</p><p><strong>Job Responsibilities:</strong></p><ul><li>Demonstrate hands-on knowledge in datacenter solutions/technology and managed services.</li><li>Designing, provisioning and administration using best practices for these services in larger organization.</li><li>Coordinate with other group of companies for support and small deployment.</li><li>Manage IT Services (Network, System and Security) for clients, provide standard procedures for operations and ensure functionality and efficiency.</li><li>Lead &amp; deliver operational excellence with focus on the service management and agile approach to achieve agility, speed, scale, and efficiency.</li><li>Recognize and take action when escalation and de-escalation is required for critical and urgent cases and follow designated procedures.</li><li>Assist in implementation planning and capacity management, optimizing the platform for performance, reliability, and cost.</li><li>Prepare Weekly/Monthly status report for clients.</li><li>Attend monthly performance review with clients.</li><li>Prepare standby schedule for support engineers.</li><li>Prepare managed services and support proposal and pricing for RFQ, RFP, RFI for company and group of company.</li><li>Coordinate with 3rd party vendor for support.</li><li>Develop, track, and control the development of annual operating and capital budgets for purchasing, staffing and operations.</li><li>Main point of contact for clients.</li><li>Able to articulate, demonstrate present and support all managed services portfolio to/for clients.</li></ul><p><strong>Required Qualifications:</strong></p><ul><li>Candidate must possess at least a bachelor’s degree in Computer Science/Information Technology.</li><li>At least 10 years of relevant experience in IT infrastructure, and at least 5 years as an IT infrastructure architect in a large IT organization and 5 years of experience in managing a team to support managed services.</li><li>Hands-on knowledge with both design and operations of IT Infrastructure (including but not limited to network, storage, compute, virtualization, and cloud systems) and IT Services (i.e. collaboration applications, communications suites and productivity tools)</li><li>Specialist certifications in programs such as ITIL (Information Technology Infrastructure Library), Agile or equivalent.</li><li>Excellent communication, facilitation, conflict resolution and negotiation skills with a focus on superior customer service through the development of effective working relationships across and external to the organization.</li><li>Extensive practical experience in all aspects of implementing and supporting enterprise IT technology such as Windows, Linux, SAN, NAS, Networking, Clustering/High Availability, virtualized systems, networking, and network security.</li></ul>",https://www.jobstreet.com.my/en/job/managed-services-manager-4209006/origin/id
