jobTitle,postedDate,jobDescription,jobUrl
Vision Development Engineer,14-Jan-23,"<p>OVS (Oritronic Vision &amp; Solution Sdn Bhd) is originated from <strong>ORITRONIC SDN BHD</strong> which was first incorporated in <strong>August 10, 1998</strong> to market Malaysia from supplying Hitachi Ink Jet Printer as one of the<em> marking solution providers</em>. We have wide experiences in various industries like Food and Beverages, Toiletries, Cosmetics, Pharmaceutical, Engineering, Automotive and many more.</p><p>At OVS which are still inside Oritronic are setup during 2014 to focusing on vision system application on providing additional solutions and support required from the ever-changing market. Main task of OVS are in application involving quality vision inspection and vision automation. We strive to provide innovation solution and good technical services to ensure customers satisfactory.</p><p>Here, OVS are currently welcome those who are interested on the followings: -</p><p>Responsibilities</p><ul><li>Participate in customer sample evaluation and provide technical solutions.</li><li>Develop solution for the vision application received.</li><li>Develop software programming according to application requirement.</li><li>Onsite and outstation servicing at customer during set-up.</li><li>Required to work with sales team on application demonstration, exhibitions, seminar.</li><li>Collaborate cross-functionally with suppliers, customers, and other engineers to achieve elegant solution.</li><li>Expectation to travel to supplier/customer site to meet project needs.</li></ul><p>Requirement:-</p><ul><li>Bachelor’s degree in engineering, physical science, IEEE or computer science.</li><li>Literature in .Net Software programming language ( JAVA, .net VB, or .Net C#)</li><li>Demonstrated experience in 3D development, Computer Vision, Image Processing and Embedded Vision.</li><li>Demonstrated experience in working on imaging/camera systems.</li><li>Experience in machine learning, deep learning, recommendation algorithm would be advantage.</li><li>Good communication, interpersonal skill, proactive and independent.</li><li>Ability to carry out tasks according to objective and targets;</li><li>Good teamwork at all time.</li><li>Fresh Graduate are encourage to apply.</li><li>1-2 years of relevant professional working experience will add to advantage.</li><li>Must post own transportation.</li></ul>",https://www.jobstreet.com.my/en/job/vision-development-engineer-5236195
Vision System Engineer,2-Feb-23,"<p><strong>Job Description:</strong></p><ul><li>Develop and Manage standard Software Platform for Vision Systems.</li><li>Integrate Imaging Systems, Optics, Lighting Solutions, etc. into optimized Vision Solutions.</li><li>Communicate and Coordinate with customers to develop and implement Customized Vision Solutions together with the project team.</li><li>Perform Evaluation and Testing with customer product(s) with Documented Analytical Report backed by a “Data-Driven” approach.</li><li>Test, Run, Debug, and Implement vision solution to ensure the system is “Foolproof”.</li><li>Prepare reports, manuals, and instructions for Vision Solutions.</li><li>Perform ad hoc tasks assigned by superiors.</li></ul><p><strong>Requirements</strong>:</p><ul><li><strong>Bachelor's Degree/MEng./MSc. in Computer Science, Engineering </strong>(Electrical/Electronics/Mechatronics/Electromechanical/Mechanical/Computer) <strong>or equivalent</strong> with <strong>minimum 2 years experience </strong>in the related field.</li><li>Programming skill in <strong>C#</strong>is needed (C++, OOP, MVC, SQL, SEG/GEM, TCP/IP will be an added advantage)</li><li>Possess technical skills in <strong>Image Processing</strong>, <strong>Imaging or Vision Systems</strong>, <strong>Optics, </strong>and <strong>Lighting Solutions</strong>.</li><li>Fresh Graduates are encouraged to apply.</li></ul>",https://www.jobstreet.com.my/en/job/vision-system-engineer-5250255
Senior Vision Application Engineer,2-Feb-23,"<p><strong>Responsibilities:</strong></p><ul><li>Liaise with customer or oversea representative.</li><li>Work with development team to perform feasibility study on customers’ samples and provide report for capability comparison</li><li>Prepare, schedule, coordinate and monitor the assigned engineering projects.</li><li>Cooperate and communicate effectively with project manager and other project participants to provide technical support.</li><li>Troubleshoot, technical training and system documentation to customer.</li><li>Hands-on and assist in the factory manufacturing, installation, buyoff, supporting of projects internally and at customer sites, and other technical activities when required</li><li>Assist in monitoring of projects, prepare reports on project progress, and ensure project schedule is being met.</li><li>International travel is required.</li></ul><p><strong>Requirements:</strong></p><ul><li>Candidate must possess at least a Bachelor's Degree in Engineering (Computer, Mechatronic, Mechanical, Electrical or equivalent) with <u>minimum 3-4 years working experience and above</u></li><li>Experiences with vision systems, installation, integration project, or mechanical design background is preferred.</li><li>Able to work independently, as a team player, commitment, and sense of ownership is necessary</li><li>Good interpersonal, management and decision-making skills</li><li>Excellent oral and written communication skills in English</li></ul>",https://www.jobstreet.com.my/en/job/senior-vision-application-engineer-10399410/origin/sg
Vision Development Engineer (Based in Taiwan/China/Malaysia),31-Jan-23,"<ul><li>Vision software design &amp; hardware configuration (optic, camera, lens &amp; lighting), programming and development for automated inspection system</li><li>Research in vision technology solution and sourcing for related hardware &amp; software library</li><li>Manage vision project, establish project schedule and plans</li><li>Coordinate and run vision evaluation, characterization and investigation for customer samples and request</li><li>Translate customer’s requirement into design specification, evaluate design feasibility and provide technical expertise to exceed customer expectations</li><li>Accountable for vision software and hardware buyoff qualification and reporting</li><li>Provide support to production team for machine build issues related to vision</li><li>Perform proper engineering documentation including DCN, SOP, user manual and guideline</li><li>Undertake other duties and responsibilities which may be assigned by the Company from time to time with on time full closure</li></ul><p> <strong>Job Requirements:</strong></p><ul><li>Degree in Engineering or Science in Electronics/ Electrical/ Mechatronics/ Computer/ Optical/ Photonics with second upper class or above</li><li>At least 2 - 5 years working experience in related field</li><li>Well versed in Visual C++, Visual C#, VB.NET programming language</li><li>Strong in software programming, optical inspection &amp; image processing</li><li>Experience in using vision library e.g. Halcon, Euresys</li><li>Good semiconductor process knowledge or IR technology is an added advantage</li><li>Good project management skills</li><li>Positive thinking and willing to provides extended support to customer</li><li>Enjoy learning new things and willing to accept new challenges</li><li>Good working relationship and positive work attitude, self-motivated with ability to work independently and in team environment</li><li>Innovative, creativity and hardworking</li><li>Strong technical leadership, analytical &amp; problem-solving skills</li><li>Excellent written and verbal communication skills</li><li><strong>Available work locations: Taiwan/China/Malaysia</strong></li></ul>",https://www.jobstreet.com.my/en/job/vision-development-engineer-based-in-taiwan-china-malaysia-5247144
Senior Software Engineer,14-Jan-23,"<p><strong>SENIOR SOFTWARE ENGINEER (Machine Vision/ Semiconductor/ Image Processing)</strong></p><p><strong>Type: Permanent position</strong></p><p><strong>Work Location: Singapore</strong></p><p>Our client is a leading organisation specialised in developing Semiconductor machines and Machine Vision. One of their divisions currently has opening for Senior Software Engineer (Vision Department)</p><p>Responsibilities</p><ul><li>Design and develop PC based automated vision inspection system for automation machines. Develop image processing algorithms.</li><li>Continuous improvements on existing and new products</li><li>Support fieldwork to upgrade and resolve customer issues</li></ul><p>Requirements</p><ul><li>Masters/Bachelor Degree in Electrical and Electronic Engineering or Computer Science</li><li>1-5 years relevant Computer Vision and Image processing experience.</li><li>Experience in 3D Vision techniques, GUI design and Computer Graphic would be a distinct advantage</li><li>Proficient in C++ Programming Language and Windows programming skill</li></ul><p>Interested candidates, please e-mail resume in Word document (indicating your current salary and expected salary) to:</p><p>Joey</p><p>Recruitment Manager</p><p>FA Search Pte. Ltd.</p><p>120 Robinson Road #15-01 Singapore 068913</p><p>Reg : R1103523</p><p>Licencee No: 07C4794</p>",https://www.jobstreet.com.my/en/job/senior-software-engineer-10345708/origin/sg
Vision Engineer,19-Jan-23,"<p><strong><em>Job Responsibilities:</em></strong></p><ul><li>Carry out the evaluation, verification and development of machine vision application system.</li><li>To analyse and implement customer requirements and resolve software issues towards the feasibility of design within time.</li><li>Participate in the wiring and configuration of vision modules, automation equipment, and jigs and fixtures.</li><li>Analyses needs and specifications to produce preliminary vision product concepts based on techno-economic factors and technological restrictions.</li><li>Involved in the conceptual/architecture/platform design on the early stage of development.</li><li>Develop vision hardware and software for vision modules, automation, and jigs and fixtures.</li><li>For design verifications, perform engineering calculations and simulations.</li><li>Participate in a team for on-site equipment setup, commissioning, and buyoff.</li></ul><p><strong><em>Job Requirements:</em></strong></p><ul><li>Candidate must possess at least Bachelor Degree/Post Graduate in Engineering (preferably Electrical/Electronic/Mechatronics/Mechanical), Computer Science/Software, Automation or equivalent.</li><li>Knowledge in machine vision is an added advantage.</li><li>Have the ability to prioritize, multitasking and work under pressure.</li><li>Possess good communication skill.</li><li>Required language(s): English, Bahasa Malaysia, Mandarin (will added advantage).</li></ul><p>We're also looking for Field Support Engineer, Software Engineer and RnD Mechanical/Electrical Engineer. Apply now and be a part of our team!</p>",https://www.jobstreet.com.my/en/job/vision-engineer-5252654
Associate Product Owner,31-Jan-23,"<p><strong><u>Position Summary</u></strong><u>:</u></p><p>As an Associate Product Owner at Astoria Solutions, you will work closely with Senior Product Owners to plan and coordinate the execution and delivery of your product roadmap Agile environment. Your main duties include determining the overall vision of products under the guidance from the Senior Product Owner, managing various backlog items, and prioritizing with guidance on which features each product will have by incrementing the value of the product.</p><p><strong><u>Main Responsibilities:</u></strong></p><p> As a member of an Agile Release Train (ART), the Associate Product Owner is responsible for: </p><ul><li>Knowledge of Scrum and Agile Software Development Methodology</li><li>Basic knowledge of product development architecture</li><li>Work with leadership to define product KPIs aligned with broader business goals</li><li>Collaborating with prospective users and clients to understand and anticipate their needs and translate them into product requirements</li><li>Defining the vision and strategy along with the Product management team for the team’s product</li><li>Creating a product road map based on this vision along with the guidance from the seniors</li><li>Managing the product backlog and prioritizing them based on changing requirements</li><li>Overseeing all stages of product creation including design and development</li><li>Developing and explicitly communicating the product goal </li><li>Helps the team understand the business needs and the customer perspective </li><li>Responsible for breaking down the features into stories in collaboration with the team </li><li>Maintain and prioritize the product backlog while managing the clients’ expectations by adopting prioritization framework</li><li>Validate user stories according to the acceptance criteria and Definition of Done </li><li>Demonstrate a willingness to experiment, iterate, innovate, and fail quickly.</li></ul><p><strong><u>Skills Requirements:</u></strong></p><ul><li>University degree in Computer science, Computer engineering, Electronics, or comparable </li><li>1-3 years of experience in working in agile SW development (SCRUM) </li><li>Minimum 0-2 years of work experience as Product owner or similar role in Product Management.</li><li>Experience in DevOps and Infrastructure related automation</li><li>Interpersonal communication skills, influence and inspiring, capable of dealing with complex situations </li><li>Able to work with cross-functional teams to manage product releases.</li><li>A passionate commitment to user-centered design and development</li><li>Strong technical background and good problem-solving skills </li><li>Fluent English language skills, written and spoken </li><li>Experience in Scaled Agile Framework (SAFe) is a plus </li><li>Relevant courses include the Professional Scrum Product Owner (PSPO), or Certified SAFe Product owner, will be an advantage. </li></ul>",https://www.jobstreet.com.my/en/job/associate-product-owner-5262121
Python Software Engineer (Senior or Mid-level),30-Jan-23,"<p>We are looking for a motivated, innovative and responsible Python Software Engineer (Senior or Mid-level) to join our team. You will have the opportunity to make significant contributions to the company. You are passionate about software development and enjoy solving difficult technical problems. You are able to work independently, pay attention to details, take initiatives and responsibilities, be able to adapt quickly to changes, and you are a self-learner.</p><strong>Responsibilities</strong><ul><li>Building applications and components across various parts of our systems</li><li>Building tools to automate processes and maintaining automated processes according to changing needs</li><li>Developing more features to existing applications with care of performance and also future scalability</li><li>Writing clean code that is well documented, tested, and easy to maintain</li><li>Taking complete end to end responsibility for the services you owns, from conception to production operation</li><li>Documenting development and important design and updating relevant documents after changes</li></ul><strong>Required Skills/Experiences</strong><ul><li>At least 3 years of experience programming in Python</li><li>Strong knowledge in Numpy</li><li>Brilliant problem-solving abilities</li><li>Understands low-latency requirements and can write efficient, high-performance code</li><li>Ability to write high-quality Python code</li><li>Experienced working in a Linux environment</li><li>Demonstrated good communication (verbal and written) in English, as well as interpersonal skills</li></ul><strong>Qualifications</strong><ul><li>Minimum Bachelor’s degree in Computer Engineering, Computer Science or other related fields</li></ul><strong>Package</strong><ul><li>Competitive salary RM8k-20k monthly or more (based on relevant experiences)</li><li>Performance-based bonuses</li><li>EPF, SOCSO and EIS</li><li>Medical, vision and dental coverage</li><li>Car park subsidy</li><li>Lunch will be provided</li></ul>",https://www.jobstreet.com.my/en/job/python-software-engineer-senior-or-mid-level-5260049
C++ Software Engineer (Senior or Mid-level),30-Jan-23,"<p>We are looking for a motivated, innovative and responsible C++ Software Engineer (Senior or Mid-level) to join our team. You will have the opportunity to make significant contributions to the company. You are passionate about software development and enjoy solving difficult technical problems. You are able to work independently, pay attention to details, take initiatives and responsibilities, be able to adapt quickly to changes, and you are a self-learner.</p><strong>Responsibilities</strong><ul><li>Building applications and components across various parts of our systems</li><li>Developing more features to existing applications with care of performance and also future scalability</li><li>Writing clean code that is well documented, tested, and easy to maintain</li><li>Taking complete end to end responsibility for the services you owns, from conception to production operation</li><li>Documenting development and important design and updating relevant documents after changes</li></ul><strong>Required Skills/Experiences</strong><ul><li>At least 3 years of experience in C/C++ programming in a Linux environment</li><li>A strong background in data structures, algorithms, and object-oriented programming in C/C++</li><li>Brilliant problem-solving abilities</li><li>Good knowledge of programming low-level, high-performance, clean and high-quality code</li><li>Demonstrated experience in low-latency programming or real-time systems</li><li>Understands concepts such as cache-friendly code, costs of allocation/deallocating memory</li><li>Good understanding of various build systems such as g++ , make and cmake</li><li>Demonstrated good communication (verbal and written) in English, as well as interpersonal skills</li></ul><strong>Preferred Skills/Experiences</strong><ul><li>Exposure to Python or a willingness to quickly become proficient</li><li>Understands shared memory, low-level network card API</li><li>Good knowledge in STL and modern C++ such as smart pointers and etc</li></ul><strong>Qualifications</strong><ul><li>Minimum Bachelor’s degree in Computer Engineering, Computer Science or other related fields</li></ul><strong>Package</strong><ul><li>Competitive salary RM8k-20k monthly or more (based on relevant experiences)</li><li>Performance-based bonuses</li><li>EPF, SOCSO and EIS</li><li>Medical, vision and dental coverage</li><li>Car park subsidy</li><li>Lunch will be provided</li></ul>",https://www.jobstreet.com.my/en/job/c-software-engineer-senior-or-mid-level-5260047
SOFTWARE PROGRAMMER,28-Jan-23,"<ul><li>Participate in all phases of software development life cycle, all aspects of requirement gathering, analysis, design, development, testing, deployment and maintenance.</li><li>Responsible for research &amp; development, design, development, test and maintenance of our existing products and applications.</li><li>Work closely with customer to develop detailed requirement with project objective, deliverables and timelines.</li><li>Carry out research on new technologies.</li><li>Trouble shoot and resolve system software and applications in events of system failure.</li><li>Enhance and improvise system software and applications.</li><li>Conform to standard development convention and good design practices.</li></ul><p><strong>REQUIREMENT</strong></p><ul><li>Candidate must possess at least Bachelor's Degree/Post Graduate Diploma/Professional Degree in Engineering (Computer/Telecommunication), Computer Science/Information Technology or equivalent.</li><li>At least 2 years of software development experience in the related field.</li><li>Required Skill(s): C#, ASP.net core, React.JS, JavaScript, Web API, MSSQL, Postgres, Entity Framework, SQL.</li><li>Experience in Mobile App and Windows Application will be added advantage.</li><li>Preferred language(s): English, Bahasa Malaysia, Bahasa Cina</li><li>Able to work independently, proposing viable technical solutions through self-study and in-depth understanding of the existing code base.</li><li>Proactive in learning new things and creative in providing solution for issues encountered during development.</li><li>Good analytical, troubleshooting and problem solving skills.</li><li>The job might require the candidate to travel locally.</li><li>Excellent team player.</li></ul><p><strong>3 FULL TIME POSITION (JUNIOR and SENIOR)</strong></p>",https://www.jobstreet.com.my/en/job/software-programmer-5245960
