jobTitle,postedDate,jobDescription,jobUrl
.Net Solution Architect ( Manager),15 hours ago,"<p><strong>Position Objective:</strong></p><p>As Solution Architect (SA), you will be responsible and accountable for bridging the gap between business problems and technology solutions. Finding the best tech solution among all possible to solve the existing business problems. Describing the structure, characteristics, behaviour, and other aspects of software to project stakeholders. Defining features, phases, and solution requirements. Providing specifications according to which the solution is defined, managed, and delivered.</p><p>You will lead and provide the detail and end-to-end solution design for Business case, Project, Change Request (CR), Operation fixes and Strategic Fixes to ensure solution designs are addressing and aligned with business or technical user requirements. In providing architecture assurance that is aligned with the target blueprint architecture, roadmap and standards. What you produce will be used as a reference for development and operational team.</p><p><strong>Roles and Responsibilities:</strong></p><p>·      Based on Azure Cloud to provide solution planning and architecture design, build competitive solutions, help the main customer on the cloud, and use cloud computing technology to help the customer business development. Provide high level solution design (HLD) to address end-to-end technical requirement which align to business requirement with high level information in the related TBP section for further development of low-level design (LLD) reference by development team.</p><ul><li>Understand customer business, insight into industry trends, be able to analyze the core demands of public cloud from industry development, understand and grasp customer needs, and have the innovation ability of public cloud industry solutions</li></ul><p>·      Lead and translates business requirement into technical requirement to ensure accuracy and quality of solution are covered on all aspects of the business and technical requirements.</p><p>·      Owning the ARB process and leading the team to produce the required architectural and solution design diagrams to address business case approval and end-to-end development requirement which align to high level design requirement in related TBP and ADR section for development and testing reference.</p><p>·      Identify, present and demonstrate innovation and emerging information technology systems and applications to Technology Council and Community.</p><p>·      Provide input to the strategic direction of technology investments to assist in the development of the enterprise architecture and maximize the return on technology investment.</p><p>·      Within the agreed enterprise architecture, define and design technology solutions to assist the business in meeting their business objectives.</p><p>Participate in meetings to obtain the work group perspective and share information. Resolve and provide solutions to issues and develop the necessary technical designs and artefacts.</p><p><strong>Job Requirement</strong></p><p>· At least 8 years’ experience in large-scale distributed software development and architecture design is preferred and 3 years' working experience in Azure Cloud architecture</p><p>·    Have 10 million level cloud platform architecture design and development experience, proficient in Java/.Net programming; Proficient in design patterns, Refactor project, performance tuning.</p><p>·   Familiar with Dynamics 365 online, rich experience architecture design, implementation, performance tuning.</p><p>·  Familiar with Devops, Docker container technology and Service Mesh technology;</p><p>·  Familiar with and proficient in Redis, Kafka, Solr/ES, MQ and other open source components;</p><p>·    Familiar with MSSQL or Oracle or Azure Cloud database;</p><p>·    Relevant experience in micro-service system design (based on Dubbo or Spring Cloud, etc.), development, operation and maintenance.</p><p>·  Limited experience in leading the digital transformation of large enterprises, IT architecture planning, development and implementation, data integration, etc</p>",https://www.jobstreet.com.my/en/job/.net-solution-architect-manager-5267071
Senior Manager - Enterprise Solution Architect,15 hours ago,"<ul><li>Contribute to overall architecture planning and roadmap </li><li>Working closely with business to identify and mitigate existing business risk or risks associated with solution architecture.</li><li>Validate the proposed architecture building prototypes.</li><li>Manage the balance between tactical needs and longer-term architectural strategy</li><li>To articulate the cost and benefits of particular solutions and being able to translate technology into business language and value.</li><li>Work closely with Business Analyst, Project Management, Business Owners and the development stakeholders and quality to provide the input to drive the right roadmap mix of technology enhancements, strategic improvements and business features to maximize revenue</li><li>Responsible for designing and building system architectures that are highly scalable, available, resilient, secured and cost optimized.</li><li>Design and implement solutions based on architectural best practice, technology standards and relevant policies, procedures and frameworks.</li><li>Able to develop migration strategy, roadmap and implementation plan</li><li>Understands performance, operations, delivery and infrastructure architecture, to influence a design that reflects all</li></ul><p><strong>Requirements:</strong></p><ul><li>Master Degree or Bachelor Degree in Computer Science, Information Technology, Computer Engineering or equivalent.</li><li>At least 5 years of working experience in the related field.</li><li>Strong background in software and enterprise technology</li><li>Ability to seamlessly move between software design, coding patterns, technology and enterprise architecture and hold their own in all domains</li><li>Understanding of Application and Infrastructure cloud architecture design patterns and best practices.</li><li>Experience in high performance, multithread and microservices architecture applications.</li><li>Able to develop business case to justify for new architecture planning</li><li>Excellent written and verbal communication skills in English.</li></ul>",https://www.jobstreet.com.my/en/job/senior-manager-enterprise-solution-architect-5267058
Solution Architect (Presales),10 hours ago,"<p><strong>SOLUTION ARCHITECT</strong></p><p><strong>Job Description</strong></p><p>The Solution Architect is to design, build and implement enterprise-class security systems for end user environment. As a subject matter specialist, you will identify and communicate current and emerging enterprise, networking and security threats. Be an integral part of our sales team towards achieving revenue goal by supporting innovative technical programs and working on day-to-day pre-sales activities, working with partners and customers.</p><p>Ultimately, create solutions that balance financial objective and business requirements with concise technical information. </p><p><strong>Role &amp; Responsibilities</strong></p><ul><li>Work closely with the sales team on proposals and pitches for business</li><li>Attend meetings with business development managers and acting as a technical expert</li><li>Put together business cases for sales teams to support their proposals</li><li>Help sales team to sell more and increase the company revenue by utilizing your technical sales skills to convince prospect to purchase our solution and services</li><li>Query prospects to qualify sales opportunities in conjunction with sales team in order to accurately determine product suitability, size and probability of success</li><li>Conduct presentation with customers with the goal of getting them buy our proposed services and solutions</li><li>Help expand and maximize the sales opportunities</li><li>POC (Proof Of Concept) to match the customer’s enterprise requirements</li><li>RFP/RFI/Proposals preparation, solution architecting and design, training, project management, guidance and planning</li><li>Conduct in-depth needs analysis with prospect’s technical staff to determine technical requirements and solutions</li><li>Address high-volume of prospect’s questions in quality driven, comprehensive manner to ensure satisfaction</li><li>Conduct internal product training to sales and channel team</li><li>Be the “go-to” person with regards all technical support queries and questions</li></ul><p><strong>Relevant Experience</strong></p><ul><li>Minimum 3 - 5 years of experience in the capacity as Solution Architect</li><li>Strong preference for experience and exposure with respective IT solutions</li><li>Competent product knowledge &amp; presentation skillset</li><li>Good customer relationship management skills</li><li>Ensure end-to-end and success of POC cycle</li><li>Analytical skills to a situation and challenge</li><li>Collaborating skills to work with different department to ensure success of a project</li><li>Strategic thinking and organizing skills in crafting winning sales proposals</li><li>Team player in managing expectations of sales team and prospect</li></ul><p> * Note: This Job Description is subjected to change by the Management or Reporting Manager as deem fit.</p>",https://www.jobstreet.com.my/en/job/solution-architect-presales-5255984
Solution Architect,30-Jan-23,"<p>This job position is suitable for individuals who are constant learners, problem solvers and multi-taskers. Candidates who thrive in a fast-paced environment, steps up to face challenges, and are able to deliver results, are welcome to apply. We are looking for candidates who are well versed in modern development methodologies and cloud architectures.</p><p><strong>Responsibilities</strong></p><ul><li>Introduce technical vision for a solution, and develop technical solutions</li><li>Understand client’s requirements and convert them into an architecture and design blueprint for solution creation</li><li>Understand business and technical challenges, and functional and non-functional needs of proposed solution</li><li>Provide accurate specifications according to which solution is defined, managed and delivered.</li><li>Deliver MVP and POC implementations to customers</li><li>Provide leadership and mentoring to development teams.</li><li>Able to dive deep into technical solution and troubleshoot difficult problems</li></ul><p><strong>Requirements</strong></p><ul><li>Bachelor’s Degree in Computer Science/Computer Engineering or Information Technology related field </li><li>5 years of experience in one or more areas in the IT industry</li><li>Have software and cloud development background</li><li>Experience in database servers such as MySQL, MSSQL, Oracle </li><li>Experience in designing complex web-based applications </li><li>Good communication skills</li><li><strong>Willing to work in Singapore for a mandatory assignment of 1 year</strong></li></ul><p>By submitting your resume/CV, you consent and agree to allow the information provided to be used and processed by or on behalf of Xtremax Pte Ltd for purposes related to your registration of interest in current or future employment with us and for the processing of your application for employment.</p><p>You also represent to us that you have obtained the consent of your referees when you disclose to us their personal data for the purpose of conducting reference checks.</p><p>The personal data held by us relating to your application will be kept strictly confidential and in accordance with the PDPA. You may also refer to our Privacy Policy for more details here: https://www.xtremax.com/privacy-policy</p><p>We regret to inform you that should you not consent to providing the necessary data required for us to process your application, your application will be considered void.</p>",https://www.jobstreet.com.my/en/job/solution-architect-5232478
Software Architect (Hybrid Working),27-Jan-23,"<p><strong>The Role</strong></p><p>The Software Architect (SA) is a hands-on technology leadership role. As a senior technology leader, SA’s are accountable for the technical alignment, health, capability, and effectiveness of SEEK’s systems. SAs are active thought and people leaders driving continuous improvement and customer outcomes.</p><ul><li>Reporting to Chief Technology Officer - Asia</li><li>Key stakeholders include:</li><li style=""margin-left:30px"">Chief Technology Services Officer</li><li style=""margin-left:30px"">Chief Technology Officer – Engineering</li><li style=""margin-left:30px"">Chief Product Officers</li><li style=""margin-left:30px"">Head of Product</li><li style=""margin-left:30px"">Head of Delivery</li><li style=""margin-left:30px"">Senior Principal / Principal Developers</li><li style=""margin-left:30px"">Practice teams &amp; Platform Engineering</li><li style=""margin-left:30px"">Security teams</li></ul><ul><li>Key accountabilities include:</li></ul><ul><li style=""margin-left:30px"">Leading SEEK’s technology strategy and aligning systems with that strategy.</li><li style=""margin-left:30px"">Contributing to organisational design to align our teams to the systems they build.</li><li style=""margin-left:30px"">Ensuring systems are fit for purpose, well architected and follow current SEEK development practices.</li><li style=""margin-left:30px"">Supporting platform health by ensuring that our systems are reliable, resilient and cost effective.</li><li style=""margin-left:30px"">Driving a strong customer focus to ensure that we are delivering great outcomes for our customers.</li><li style=""margin-left:30px"">Growing the architectural capabilities of technical leaders through coaching and mentoring.</li></ul><p><strong>So, what we are looking for?</strong></p><p><strong>Experience</strong></p><ul><li>Leading technical change across multiple teams &amp; disciplines</li><li>Architecting, building and operating highly scalable, available, performant and secure solutions</li><li>Building solutions in multiple languages and stacks</li><li>Managing costs on a cloud platform</li><li>Designing service-oriented solutions</li></ul><p><strong>Personal Skills</strong></p><ul><li>Identifies and harnesses opportunities</li><li>Identifies and mitigates risks</li><li>Focuses on outcomes over output</li><li>Influences and motivates others</li><li>Uses data to drive decision making</li><li>Takes responsibility for systems and teams</li><li>Self-aware and proactive on continuous improvement and continual learning</li><li>Positive attitude and a clear sense of initiative</li><li>Comfortable dealing with ambiguity</li><li>Breaks problems down, analyses constituent parts, proposes and delivers creative solutions</li><li>Open minded collaborator with a growth mindset</li><li>Clear communicator who is able to manage stakeholder expectations, facilitate groups and resolve conflicts</li><li>Comfortable presenting to a large audience</li><li>Comfortable delivering workshops &amp; training</li></ul><p><strong>Technical Skills</strong></p><ul><li>Creates and maintains continuous delivery pipelines using current practices, patterns &amp; tooling</li><li>Designs and develops cloud-native software</li><li>Creates software in at least two modern software development languages</li><li>Uses domain driven design, design patterns and data modelling to build software products</li><li>Uses current technical practices such as writing clean, testable code and pair programming</li><li>Creates software using secure coding practices and mitigates common vulnerabilities</li></ul><p><strong>Desirable Experience, Skills and Competencies</strong></p><p><strong>Experience</strong></p><ul><li>Service Reliability Engineering</li><li>Previous experience in transforming legacy datacentre systems into cloud first systems</li><li>Previous experience with companies that create consumer facing products</li><li>Driving transformational change in a technical organisation</li><li>Building platforms and tools to enable product engineering teams</li></ul><p><strong>Personal Skills</strong></p><ul><li>Builds trust, safety and inclusion in teams</li></ul><p><strong>Technical Skills</strong></p><ul><li>Creates software in two of the following languages (C#, TypeScript, JavaScript, Go, Scala, Swift, Kotlin)</li></ul><p><strong>Additional Information</strong></p><p>At SEEK, the health and safety of our people is our highest priority. For this reason, SEEK has a policy requiring all new employees to be fully vaccinated for COVID-19, unless a formal medical exemption applies. On this basis, as part of the application process you will be asked to confirm that you have read and understood this policy, and would like to continue with the hiring process. Further details about this policy will be shared during the hiring process, as required.</p>",https://www.jobstreet.com.my/en/job/software-architect-hybrid-working-5232064
Solution Architect,31-Jan-23,"<p><strong><u>Job Summary</u></strong></p><p>We are looking for a Solution Architect who can <strong>solves complex problems in an organization by designing or modifying technology architecture and testing the integration of software in these designs for correct functionality</strong>.</p><p><strong>Responsibilities Include:</strong></p><ul><li>Responsible for assisting in the establishment of an IT Architecture practice, and the adoption of an architecture and standards methodology.</li><li>Manages activities that take place during solution ideation, solution design, and solution implementation.</li><li>Reviews business context for solutions to company challenges as well as defining the vision and requirements for the solution, recommending potential options, selecting the most optimal option, and the development of a roadmap for the selected solution.</li><li>Communicates the architecture to the stakeholders and collaborates and coordinates with existing domain architects in the formalization and adoption of IT standards and procedures.</li><li>Champions a structured approach to business application solutions.</li><li>Directly assists in the development of a solutions architecture program including departmental roadmaps and project portfolios for IT systems architecture.</li><li>Assures solutions not only are a fit for the specific purpose but also closely align with the standards guidelines of technology solutions.</li><li>Influences changes to standards when necessary.</li><li>Assists domain architecture team on solutions management and timing of financial spend for application solutions.</li><li>Supports the architectural aspects of all application projects in peer IT portfolios.</li><li>Directs the identification and recommendation of appropriate solutions, upgrades, replacements, or decommissioning options incorporating business and technology productivity, usability, and total cost of ownership.</li><li>Develops and executes solutions which further reduce the percentage of time spent on reactive work.</li><li>Provides analysis of security protection technologies as necessary.</li></ul><p><strong>Requirements</strong></p><ul><li>Proven work experience as a Solution Architect or similar role</li><li>Previous project management experience is advantageous</li><li>In-depth understanding of coding languages</li><li>Sound knowledge of various operating systems and databases</li><li>Efficient communication skills</li><li>Strong organizational and leadership skills</li><li>Bachelor’s degree in information technology or computer science is preferred</li></ul><p><strong><u>Benefits</u></strong></p><ul><li>Hospitalization</li><li>Medical Outpatient</li><li>Term Life and Personal Accident</li><li>Parking Subsidy &amp; Handphone Claim</li><li>5 Working Days and 20 days annual leave</li><li>Fix-Term Contract of 2 Years and will be renewable</li></ul>",https://www.jobstreet.com.my/en/job/solution-architect-5256153
Solution Architect,28-Jan-23,"<p><strong><u>Job Description</u></strong></p><ul><li>Market and project planning, systematically and professionally analyze the target market, customers, and business opportunities, in order to plan for current and medium-and-long-term product market strategies.</li><li>Support sales work, arrange and reasonable allocate the resources.</li><li>Participate and organize in marketing campaigns, leading various resources to complete tender, compile and publicize solution materials, track business opportunities, assist sales persons in sales actions to smoothen the signing of contracts.</li><li>Organize and advance stock management, including but not limited to regular customer care, analysis of customer operating situations, and solution of customer pain points.</li><li>Carry out business innovation for high-value customers and key countries, such as innovation of products and cooperation modes.</li><li>Connect product lines, marketing, and sales teams, enhance the communication between product lines and salespeople, and ensure a complete understanding of the latest product R&amp;D output and major operational projects.</li><li>The team grows together and shares knowledge, experience and skills.</li></ul><p><strong><u>Requirement</u></strong></p><ul><li>Bachelor degree or above, with relevant working experience of more than 3 years.</li><li>Expert in BSS business knowledge in the telecommunication industry and profound insight into the development of the carrier industry.</li><li>Excellent English communication and presentation skills.</li><li>Excellent market planning ability, explore business opportunities actively and promote them effectively.</li><li>Cross-organization resource coordination, effectively integrating multiple resources and accelerating work progress.</li><li>Can accept long-term business trips</li><li>Due to company culture, candidates with Mandarin speaking will be an added value</li></ul>",https://www.jobstreet.com.my/en/job/solution-architect-5246592
Webmethod Solution Architect #BAI14#,18-Jan-23,"<p>We are currently assisting our Client to source for potential candidate to fill in the roles as <strong>Webmethod Solution Architect </strong>to be based in our client office in Kuala Lumpur</p><p><strong>This position is to support the architecture design and lead application development, including system design, programming, unit testing, system &amp; integration testing and UAT support Roles and</strong></p><ul><li><strong>Help the Company Business Units to transform the business in API, ESB and Integration areas</strong></li><li><strong>Help the Company Business Units to solve complex technical problems.</strong></li><li>Work as technical leader, serving as a PIC among application teams, technical resources and project stakeholders.</li><li><strong>Coach developers to improve their technical skills</strong></li></ul><p><strong>Job Requirements:</strong></p><ul><li><strong>5+ years’ experience in Java</strong></li><li><strong>3+ years’ J2EE/J2SE experience</strong></li><li><strong>3+ year’s WebSphere/WAS experience</strong></li><li><strong>4+ year’s database and SQL experience (e.g. DB2, SQL server and etc.)</strong></li><li><strong>Familiar with Object Orientated Design and development skills</strong></li><li>Good English in reading/writing/speaking</li><li>Able to work independently and efficiently to meet deadlines</li><li>Able to promptly answer support related emails, phone calls and other electronic communications</li><li>It’s a plus if the candidate has insurance knowledge</li></ul><p>Please note that only shortlisted candidates will be notified.</p>",https://www.jobstreet.com.my/en/job/webmethod-solution-architect-bai14-5251564
Senior Architect,18-Jan-23,"<p><strong>Company background:</strong><br /><br />German software house with more than 50 years on the market that focuses on developing IT solutions for their clients across different industries globally e.g. Logistic, Supply Chain, Transportation, etc.<br /><br /><strong>What are the responsibilities?</strong><br /><br /></p><ul><li>Responsible in designing, developing, and continuously improving the system / software</li><li>Understand user requirements and drive continuous improvements based on usage and user feedbacks</li><li>Perform PROBE study / data analytics to understand user behaviour and to propose relevant enhancement</li><li>Work closely with other architects to design reusable components</li><li>Select the best algorithms and technologies for the team to work on</li><li>Perform code review regularly for continuous improvement on existing code to make it lean</li></ul><p><strong>What are the requirements?</strong><br /><br /></p><ul><li>Experienced working as Technical Architect and familiar with architecture (Microservices, Software) designing</li><li>Strong knowledge of DevOps technologies / processes related to cloud solutions</li><li>Solid technical knowledge on Java, JSF, JPA, JTA, Spring frameworks, HTML/CSS or Javascript, typescript</li><li>Familiar with containerization - Kubernetes / OpenStack / Docker</li><li>Good understanding of software engineering processes e.g. Jenkins, Git, Maven</li><li>Good communication and stakeholder management</li></ul><p><strong>How to Apply?</strong><br /><br />Contact Vimmal on +(60)3 9213 1673 or APPLY NOW by clicking the button below. Please send your updated CV to Vimmal@ambition.com.my quoting ref no. #248752. For similar opportunities, please visit www.ambition.com.my. Data provided is for recruitment purposes only.<br /><br />Due to the volume of applications received, we regret to inform you that only shortlisted candidates will be notified.<br /><br />JTK Number: <strong>JTKSM 995</strong> | Company Registration Number: <strong>201301019088 (1048918-T)</strong><br /><br /></p><p>If this job isn't quite right for you, but you know someone who would be great at this role, why not take advantage of our referral scheme? We offer MYR500 in shopping vouchers for every referred candidate who we place in a role. Terms &amp; Conditions Apply. https://www.ambition.com.my/refer-a-friend</p>",https://www.jobstreet.com.my/en/job/senior-architect-5250702
Solution Architect,5-Jan-23,"<p><strong>Solutions Architect</strong></p><ul><li><strong>Promising Career Growth</strong></li><li><strong>Hybrid Environment</strong></li><li><strong>Attractive employee benefits</strong></li></ul><p><strong>About our client:</strong></p><p>Our client is one of the leading banking solution provider in Asia, who is currently in search of dynamic and capable talent to take up the role of Solutions Architect to participate in full software development cycle and provide technical solutions to resolve business problems.</p><p><strong>Responsibilities:</strong></p><ul><li>Assess system architectures that are currently in place and work collaboratively with technical specialist to develop software solutions that are high quality, secured, scalable based on the business and technical requirements/specifications.</li><li>Ensure the identified solutions are delivered timely and budget/resources are managed effectively.</li><li>Foster collaborations across teams consisting of network, storage, compute, security.</li><li>Lead planning, designing, and delivery of Future State Architecture (FSA). FSA covers product selection of compute, fiber-channel storage arrays, enterprise backup appliances, physical and logical placement of system elements, design and implementation of ancillary tools and services such as Jenkins, Spinnaker, Terraform, Vagrant, Postgres + Corosync, ELK, Grafana, Prometheus, Postfix, DHCP, anycast DNS, NTP, and log forwarders among others.</li><li>Keep abreast on emerging systems and technologies, identify opportunity for adoption to drive agility and strengthen foundation to execute business strategy speedily.</li><li>Build and enhance systems monitoring capability: capacity, response, and service degradation</li><li>Maintain an accurate record reflecting the current and historical systems settings including decision-making rationale for configuration.</li><li>Participate in projects with regards to Systems Architecture &amp; Design.</li><li>Drive application re-engineering effort remove legacy constraints and bottlenecks to achieve projected business growth.</li></ul><p><strong>Requirements:</strong></p><ul><li>Bachelor’s Degree in Computer Science.</li><li>Experience in the IT banking and Telecommunications sector would be an added advantage.</li><li>Minimum 7 years’ experience of relevant work experience working in a high-pressured System Integrator Environment.</li><li>Experience in the Financial Services and Technology sectors would be an added advantage.</li><li>Strategic in planning and organizing, effective interpersonal and project management skills </li></ul>",https://www.jobstreet.com.my/en/job/solution-architect-5235889
