jobTitle,postedDate,jobDescription,jobUrl
Data Engineer,22 hours ago,"<p><strong>about the company</strong></p><p>Multi-award winning data technology leader, specializing in analytics and big data management. We are looking for a Data Engineer who is hungry to learn more on big data stacks &amp; enjoy working in a dynamix and high energy environment!</p><ul><li>Hybrid work model</li><li>Covering global projects</li><li>Scaling up big data stacks and solutioning skills</li></ul><p><strong>about the job</strong></p><ul><li>Using big data technology to design and develop big data solutionings</li><li>Perofrm large and complex data collection from various data structures</li><li>Carry out data cleansing activities to ensure data meets accuracy and integrity compliance</li><li>Provide technical support and collaboration with data scientist and product development team</li><li>Opportunity to work with international clients which mainly cover JAPAC, US, UK and Europe region.</li></ul><p><strong>skill/experience</strong></p><ul><li>Bachelor degree in Computer Science, Analytics or Statistic</li><li>Python/SQL is a MUST</li><li>Strong hands-on experience with data cleansing activities</li><li>Experience with Google Big Query</li><li>Enjoys working in an agile environment</li></ul><p>To apply online, please click on the appropriate link. Alternatively, please send your resume to <strong>samara.kweh@randstad.com.my </strong>(with <strong>subject title: Data Engineer - Big QUery) </strong>or call Samara at <strong>019 328 3726</strong> if you are interested with the job)</p><p>Samara Kweh</p><p>Recruitment Consultant - Data, Emerging Technology</p>",https://www.jobstreet.com.my/en/job/data-engineer-5266251
Data Engineer,31-Jan-23,"<p><strong>Your new company</strong></p><p>A global IT solutions provider is looking for a Data Engineer to join their dynamic team.</p><p><strong>Your new role</strong></p><p>In this business-critical role, you will be responsible to:</p><ul><li>Maintain and build pipelines for optimal ETL of data from various data sources.</li><li>Build analytical tools to utilise the data pipeline, providing actionable insight into key business performance metrics.</li><li>Collaborate with data scientists, developers and key stakeholders on analytical projects.</li></ul><p><strong>What you'll need to succeed</strong></p><ul><li>Proficiency in SQL, ETL &amp; Python.</li><li>Demonstrated ability to write clear code that is well-documented and stored in a version control system such as Gitlab.</li><li>Experience working with cloud infrastructure services like AWS is preferred.</li></ul><p><strong>What you'll get in return</strong></p><ul><li>Attractive remuneration and development opportunities.</li><li>Opportunities to work with global stakeholders.</li></ul><p><strong>What you need to do now</strong></p><p>If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV. If this job isn't quite right for you but you are looking for a new position in the data space, please contact Joshua Tang at 60327868600 or email for a confidential discussion on your career.</p><p>Finding the right role takes careful consideration - and we're just the life-long partners that can help you on your journey towards success. Here with you every step of the way - we can connect you with opportunities that match your priorities and goals. Because at Hays, we're Working for your tomorrow.</p>",https://www.jobstreet.com.my/en/job/data-engineer-5262293
"Manager, Data Engineer",31-Jan-23,"<p>·       Collaborate effectively with project manager and project team for the development, implementation, and maintenance of Data Warehouse Project.</p><p>·       Evaluate business needs and objectives. Analyze, organize raw data, and build data systems and pipelines.</p><p>·       Acquire new data sources to develop and build a large-scale dataset for a wide range of consumer needs.</p><p>·     Combine raw information from different sources. Identify opportunities for data acquisition.</p><p>·      Assist in building scalable data pipelines to extract, transform, load, and integrate data.</p><p>·      Assist in the integration of data systems with existing infrastructure.</p><p>·   Hand-on technical expertise in data design, data engineering, data migration, and data administration.</p><p><strong>Job Requirement:</strong></p><p>·       Bachelor’s Computer Science or equivalent, in any related field.</p><p>·       Preferably specializing in Banking / Financial Services or equivalent.</p><p>·       Well verse in various ETL approaches, methodologies, and tools.</p><p>·       Minimum 5 years of working experience in similar field.</p><p>·       Experienced in constructing Data Warehouse solutions.</p><p>·       Experienced in Microsoft SSIS and MS SQL.</p><p>·    Experienced in data transformations, monitoring and orchestration of data pipelines.</p>",https://www.jobstreet.com.my/en/job/manager-data-engineer-5261474
Digital Excellence Specialist (ETL & Infra),20 hours ago,"<p>Summary of Job Content:</p><ul><li>IT Infrastructure and end user support</li><li>Design, build and implement ETL Processes</li><li>Collaborate with frontend developers.</li><li>Troubleshoot and debug ETL Program</li><li>Learn About new technologies.</li><li>Stay up to date with the current best practices.</li></ul><p>Key Accountabilities:</p><ul><li>IT Infrastructure, system and end user support</li><li>Design, implement and continuously expand data pipelines by performing extraction, transformation and loading activities.</li><li>Gather requirements and business process knowledge to transform date in a way that geared towards the needs of the business.</li><li>Maintain and improve existing processes.</li><li>Ensure that the date architecture is scalable and maintainable.</li><li>Work with the business in designing and delivering correct high-quality data.</li><li>Investigate data to identify potential issues within ETL pipelines, notify end users and propose adequate solutions.</li><li>Prepare documents for reference.</li><li>ETL Development, implementation and maintenance, System integration, MES Support &amp; Reporting and Digital Excellence related infrastructure support &amp; Maintenance</li></ul><p>Skills and Experience required:</p><ul><li>VMWare, window server and computer networking</li><li>Data warehousing and BI</li><li>Enterprise data architecture, integration and analytics</li><li>ETL tools (SSIS, Talend etc)</li><li>Data extraction with REST API's</li><li>RDBMS (Oracle &amp; MSSql) and command of SQL &amp; PL SQL</li><li>Phyton, VBA and .net programming</li></ul>",https://www.jobstreet.com.my/en/job/digital-excellence-specialist-etl-infra-5266570
Solutions Engineer (Data Centre) [Job Code 1807313A],2-Feb-23,"<p>Due to expansion of our client's business, we continue to look for suitable candidates to work at our client's office and data centre site. Write to us if you are an individual who has experience in the activities listed below, and is keen to take up new challenges!</p><p>Responsibilities:</p><ul><li>Understand scope of project, invite vendor quotations, collate and evaluate vendor quotes</li><li>If required, conduct site survey and data gathering at site</li><li>Review costing for project, prepare sales proposals and provide pre-sales support in client’s requirement analysis</li><li>Draft tender and project documents to assist in the preparation of technical and commercial bids for company projects</li><li>Interpret and review system drawings to identify any difference to tender requirements and raise queries against specification</li><li>Build relationships and liaise with internal customers and external suppliers/vendors and manage daily correspondence for quantities, cost and specifications</li></ul><p>Requirements:</p><ul><li>Degree/Diploma in Electrical Engineering</li><li>Possess strong technical knowledge</li><li>A team player with strong individual drive, sense of responsibility and task ownership, ability to plan and organize, willing and capable of multi-tasking functions</li><li>Excellent presentation, communication and interpersonal skill with ability to interact with people at different levels</li><li>Proactive, resourceful, independent with good problem solving and analytical skills</li><li>Excellent presentation, communication and interpersonal skill with ability to interact with people at different levels</li><li>Proficient in Microsoft Office</li></ul><p>Please send your cv</p><ul><li>in word document;</li><li>listing your personal particulars, education qualification and work experience;</li><li>listing your current and expected salary details.</li></ul><p>As we are hiring this position urgently, we do look forward to hearing from you VERY SOON!</p><p>Only shortlisted candidates will be notified.</p><p>EA Licence No: 22C1055</p><p>EA Personnel Registration No: R1980530</p>",https://www.jobstreet.com.my/en/job/solutions-engineer-data-centre-%5Bjob-code-1807313a%5D-10400145/origin/sg
M&E DESIGN SENIOR ENGINEER (DATA CENTRE) (REF:JO),19 hours ago,"<p><strong>About the Company</strong></p><p>A Japanese-based Construction Company</p><p><strong>Job Responsibilities:</strong></p><ul><li>MEP/M&amp;E design for data centre.</li><li>Working with the design team through initial design stage and the operation team until the completion stage.</li><li>Providing role specific technical expertise in design management and act as focal point for all technical design related matters on projects.</li><li>Conduct functional analysis and supports defining facility/center design requirements.</li><li>Research and document operations and limits from the review of design and basis documents and from discussions with designer.</li><li>Responsibility for continuous improvement through design lessons learned and sharing best practice and lessons both internally and externally.</li><li>Developing a detailed design programme with all relevant parties to satisfy design, procurement and construction requirements.</li><li>Assisting the construction managers in all design issues as and when required.</li><li>Ensuring design is compliant with statutory requirements and applicable standards.</li><li>Representing the project team at client review meetings</li></ul><p><strong>Job Requirements:</strong></p><ul><li>Minimum of bachelor’s degree/master’s in Electrical Engineering/Mechanical Engineering or equivalent</li><li>Prefer candidate with minimum 5 years in MEP design, and prefer candidate experienced in data centre project.</li><li>Excellent communication skills, both written and spoken English</li><li>Able to demonstrate leadership quality, teamwork spirit and communication skills.</li><li>Possess problem solving skills within the knowledge.</li></ul><p><strong>Additional Information:</strong></p><p>Industry: Construction</p><p>Location: KL Centre Area</p><p>Working Hours: Mondays - Fridays, 8:30AM - 5:30PM</p><p>If you're interested in this position, click ""APPLY NOW""</p><p>Thank you for your application. For those who shortlisted will be contacted. Stay tuned!</p>",https://www.jobstreet.com.my/en/job/m-e-design-senior-engineer-data-centre-ref%3Ajo-5266840
Data Scientist,30-Jan-23,"<p><strong>Requirements</strong></p><ul><li>Bachelor's Degree in Computer Science, Statistics, Mathematics or related field</li><li>Minimum 5 years of relevant work experience in the analytical, statistical and marketing fields. Working experience in the e-commerce business is advantageous.</li><li>Solid experience using various data tools – e.g., Qlikview, Dynamic, Open BI, SQL, SAS, Python is advantageous.</li><li>Experienced in using digital marketing tools – e.g., Google Analytics, Google Adwords, Google BigQuery, Google Data Studio, Facebook Analytics, DCM, and Social Media listening tools</li><li>Knowledge of data analytics, digital marketing technologies, tools, and platforms</li><li>Ability to convert data and findings into understandable tables, graphs, and written reports</li><li>Ability to present research and analytics findings in a creative and storytelling way</li><li>Good command of written and spoken ENG and CN</li></ul><p><strong>Responsibility</strong></p><ul><li>Data mining, interpreting data and working with various types of data sources (e.g. e-commerce platform, web analytics, RM, ERP)</li><li>Analytical skills to consolidate data, analyze various metrics and convert them into meaningful insights, strategies and action plans</li><li>Transfer data into dashboard, presentations, create reports and provide actionable recommendations</li><li>RM data management, remain fully informed on CLV, demographic/behavioural segmenting, retention, shopping behaviour, and market trends</li><li>Support digital marketing and online sales objectives to optimize marketing performance and achieve sales targets</li><li>Provide recommendations on new ways to process data more efficiently</li></ul>",https://www.jobstreet.com.my/en/job/data-scientist-5260585
Senior Data Engineer (52827) (JH),31-Jan-23,"<p><strong>Business Nature: </strong>This company is a leading IT services company, an outsourcing partner of choice for clients in all industries throughout the global.</p><p><strong>Working Location:</strong> Bangsar, Kuala Lumpur</p><p><strong>Working Hours:</strong> Monday to Friday (Flexible working hour, 9 hours)</p><p><strong>Job Responsibilities</strong>:</p><p>• Building required pipeline for optimal ETL of data from various data sources using AWS and SQL technologies</p><p>• Assisting the collection of complex data sets from various systems to meet the business requirement</p><p>• Building analytical tools to utilize the data pipeline, providing actionable insight into key business performance metrics</p><p>• Collaborate with data scientists, developers, and stakeholder (e.g., risk manager) on analytical projects</p><p>• Perform metadata and data management</p><p><strong>Requirements:</strong></p><p>- Education Background : Degree in Computer Science or equivalent</p><p>- Experience : Minimum <strong>3 years of relevant experience as a Data Engineer</strong></p><p>- Require Skill : Experience in data warehouse, ETL pipeline design, implementation, and maintenance</p><p>- Excellent SQL skill, proficient in at least one programming language such as Python, Java or C++;</p>",https://www.jobstreet.com.my/en/job/senior-data-engineer-52827-jh-5261703
Junior Engineer - Data Analytics,1-Feb-23,"<p><strong>Duties &amp; Responsibilities</strong></p><ul><li>Analyst data from the site team and detect various defects and severity. </li><li>Deliver daily report to the client as per state demand.</li><li>Communicate with the site team on delivery reports.</li><li>Conduct thorough technical inspection of all assets and prepare technical reports per project requirements. </li><li>Identify and highlight real-time problems and maintain quality standards on analysis and reports before delivery to clients. </li><li>Carrying out assigned responsibilities in a timely, diligent, safe &amp; professional manner. </li><li>Gain a level of readiness and knowledge on the solution methodology per project requirements. </li><li>Ensure the company equipment is secure, safe, and treating it responsibly. </li><li>Meet daily targets for an assigned task.</li><li>Ensure quality standards on analysis and reports before solution delivery and high accuracy of data Processing. </li><li>Participate in internal training as required.</li><li>Perform other duties as assigned by company/management/immediate superior.</li></ul><p><strong>Required Skills</strong></p><ul><li>Diploma/Bachelor’s degree in Engineering or equivalent (e.g; electrical, mechanical, civil, telecommunication, etc)​ with less than 2 years of experience in a related industry if any​.</li><li><strong>Fresh graduates are welcome to apply.</strong></li><li>Good foundation in Microsoft Office, database management, and data visualization​.</li><li>High interest and passion for digital transformation​.</li><li>Ability to work independently and be a phenomenal team player​.</li><li>Excellent interpersonal, communication, and presentation skills​ and 100% operation capability.</li><li>Adaptable to any situation and eager to learn and explore new things.</li></ul>",https://www.jobstreet.com.my/en/job/junior-engineer-data-analytics-5263628
Solution Architect - Big Data,20 hours ago,"<p><strong>Responsibilities:</strong></p><p>1. Marketing and project planning: Competent in analyzing and digging customer pain points and needs, improve solutions based on customer's needs, guide the communication with customer to promote solution in clarification and presentation., advance business opportunities as well as planning and implementation.</p><p>2. Pre-sales project support: include pre-sales project bidding, technical solution preparation, solution clarification, technical presentation, and organizing POC and Demo.</p><p>3. Market analysis: include analysis on competitor's product, understanding BI, CDP (Customer Data Platform) and Marketing Cloud platforms and solutions.</p><p>4. Solution packaging: market-oriented big data solution packaging, including product functions, business scenarios, promotion methods, advantages and highlights, and providing various market-oriented documents.</p><p><strong>Requirements:</strong></p><p><strong></strong>1. Good sense of responsibility and teamwork, aggressive, communicative with coordination skills, and analyzing the development trend and direction of the industry on the basis of in-depth understanding of the product and business background.</p><p>2. Introduce products and solutions fluently in Mandarin and English.</p><p>3. Able to learn new knowledge quickly and find relevant information rapidly based on the needs of market planning.</p><p>4. Three years or more working experience in telecom BSS/ big data/marketing cloud platform, familiar with domestic and foreign telecom services and big data applications.</p><p>5. Familiar with the methodology of data-driven business growth, and experienced in driving CSP's business growth through data operation analysis.</p>",https://www.jobstreet.com.my/en/job/solution-architect-big-data-5266579
