jobTitle,postedDate,jobDescription,jobUrl
Web Developer,12 hours ago,"<p><strong><u>Responsibilities</u></strong></p><ul><li>Collaborating with other designers and developers</li><li>Improve our inhouse code base</li><li>Optimize codes for high volume transaction</li><li>Test and debug applications</li><li>Research on new technologies (a better and easier way to solve the same problem)</li></ul><p><strong><u>Requirements</u></strong></p><ul><li>Possess<strong> at least a Diploma</strong> in Computer Science / Information Technology or equivalent, </li><li>Knowledge of <strong>programming language</strong> and interest in coding</li><li>Love to solve problems with coding</li><li>Like to brainstorm for better solutions and able to develop ideas</li><li>A high degree of <strong>independent judgment</strong><strong> </strong>and a <strong>result-oriented</strong> person</li><li>At least <strong>2 years experience</strong> in some of; and willing to learn more about these skills: PHP, Laravel, HTML, CSS, JavaScript, VueJS, MySQL</li><li>Prefer who has a good command of <strong>Mandarin</strong> and <strong>Englis</strong>h language</li></ul><p>To succeed in this role, you must be passionate about technology and open to learning new things in a fast-paced environment.</p>",https://www.jobstreet.com.my/en/job/web-developer-5266798
Front-end developer-Fulltime Remote,30-Jan-23,"<p>Job Responsibilities:</p><ol><li>Responsible for the coding, maintenance and testing of the front-end code of the front-end and back-end separation projects;</li><li>Use react/angular/vue to develop and maintain front-end projects;</li></ol><p>Job Requirement:</p><ol><li>Overall with 3+ years’ experience in HTML, CSS and JavaScript</li><li>2+ years' experience working with any JavaScript framework/library, preferably React, VueJs</li><li>In-depth understanding of JavaScript, HTML5, CSS3 (pre-processors LESS/SASS) and relevant concepts</li><li>Proficiency with browser based debugging</li><li>Understanding of progressive web apps</li><li>Experience with a testing framework </li><li>Experience using Git</li><li>Experience with REST API.</li><li>Experience in API layer like security, custom analytics, throttling, caching, and logging.</li><li>Good eye for aesthetics: layout, grid systems, color theory and typography.</li><li>Experience in developing highly interactive/responsive web applications</li></ol>",https://www.jobstreet.com.my/en/job/front-end-developer-fulltime-remote-5260733
Front-End Web Developer UI/UX,18 hours ago,"<p><strong>Benefits:</strong></p><ul><li>Group medical insurance </li><li>Medical, Dental, Optical </li><li>Company Trip</li><li>Team bonding</li></ul><p><strong>Job Responsibilities:</strong></p><ul><li>Translate mock-up designs or wireframes into front-end code.</li><li>Responsible for PC and mobile website layout design and optimization.</li><li>Matching product and procedures to design website renderings as well as Frontend development.</li><li>Resolve any main stream web browsers’ compatibility to optimize the visual effect of the website.</li><li>Solid understanding of UI and confident for user trial.</li><li>Collaborate with back-end developers to improve usability..</li></ul><p><strong>Job Requirements:</strong></p><ul><li>Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post Graduate Diploma/Professional Degree in Computer Science/Information Technology or equivalent.</li><li>Strong skill in frontend language such as HTML, CSS, and JavaScript.</li><li>Familiar with responsive code writing without the use of bootstrap framework.</li><li>Have knowledge and/or experience with PHP, VueJS framework is an advantage.</li><li>At least 2 Year(s) of working experience in the related field is required for this position</li></ul>",https://www.jobstreet.com.my/en/job/front-end-web-developer-ui-ux-5266924
Frontend Developer,3-Feb-23,"<p><strong>How does this career will benefit you?</strong></p><ul><li>Fast paced and growing environment</li><li>Competitive salary &amp; work benefit package</li><li>Extremely skilled team that strive for perfection</li><li>Outstanding career growth &amp; development opportunities</li><li>Provide continuous learning to you by staying ahead with the latest technologies</li></ul><p><strong>The essentials of the role:</strong></p><ul><li>Development of high standard front-end user interface applications with JavaScript framework.</li><li>Responsible to build reusable code and front-end libraries for future use.</li><li>Monitor website performance and feature coding and plan future website upgrades with the development team.</li><li>Assistance to develop of features, and internal functions on the websites.</li><li>Ability to understand business requirements and translate them into technical requirements.</li><li>Work closely with other team members.</li></ul><p><strong>To be successful in this role, you will need to have:</strong></p><ul><li>Candidate must possess at least a Bachelor's Degree in IT / Computer Science / Computer engineering.</li><li>Knowledge of web application structure and program development.</li><li>Knowledge of skills JavaScript, CSS, HTML5, etc.</li><li>Proficient in Angular framework.</li><li>Strong hands-on experience in UI Development using AngularJS.</li><li>Familiarity with RESTful APIs and relational databases</li><li>Strong analytical skills and demonstrate good coding discipline.</li><li>Good knowledge with responsive &amp; adaptive website.</li><li>Fluent communicator with a strong teamwork attitude.</li></ul>",https://www.jobstreet.com.my/en/job/frontend-developer-5265549
"Junior Software Developer (C#, Frontend) / $5000",23 hours ago,"<p>Purpose: Mobile UI development and enhancement of full-stack internal payroll systems for Regional Usage</p><p><strong><u>JD:</u></strong></p><ul><li>Develop Mobile App UI (C#, Typescript, DART) - Frontend</li><li>Full-stack development, enhancement and maintenance of internal payroll systems (C#, Angular)</li><li>Testing of applications before launch</li><li>Recommend improvements</li><li>Full scope from programming from Testing, Launching to Post support</li></ul><p><strong>Requirements:</strong></p><ul><li>Recognized Degree in IT / Computer related</li><li>Possess at least 2 years of programming experience with C#</li><li>Strong desire to learn and excel</li></ul><p><strong>Others:</strong></p><ul><li>Note that all shortlisted candidates will have to reside in Singapore.</li><li>Fully work-in-office arrangement based in Orchard MRT</li><li>Mon - Fri, 8.30am - 5.30pm</li><li>Salary up to $5,000 x 12 + VB</li></ul><p>Interested candidates, kindly send in your latest resume to <strong>joeylee[at]recruitfirst.co</strong></p>",https://www.jobstreet.com.my/en/job/junior-software-developer-c-frontend-%245000-10402743/origin/sg
Junior Frontend Engineer (React),2-Feb-23,"<p>A reputable tech organization with a strong focus on their own in-house sports related web and application projects. They are currently seeking like-minded, hungry, and career-driven individuals to join in their journey to reach greater heights!</p><p><strong>Job Highlights:</strong></p><ul><li>Employee Benefits (Dental &amp; Medical)</li><li>Fun and Casual Working Environment</li><li>Holistic Career Progression Pathways</li><li>Annual Wage Supplement</li></ul><p><strong>Job Description:</strong></p><ul><li>Responsible for the front-end development, debugging and modification of the company’s existing projects and new projects, and independently completing the development tasks of the company’s products and projects</li><li>Writing clean and scalable codes efficiently, based on work arrangements</li><li>Collaborate very closely with backend developers to complete business requirements</li><li>Optimize the overall framework design and basic component development of the project front-end</li></ul><p><strong>Job Requirements</strong></p><ul><li>Proficient in HTML5, CSS/CSS3, JavaScript and other front-end technologies</li><li>Ability to solve mainstream browser compatibility issues, and strong familiarity with page performance optimization, and have a deep understanding of React and Vue</li><li>Familiar with front-end construction tool webpack, SSR, CSR, and related frameworks</li><li>Familiar with front-end engineering and modular development, front-end performance optimization</li></ul><p><strong><u>How to Apply</u></strong></p><p>Please apply along with your personal portfolio which ideally showcases some of the past projects that you have contributed to, and with your latest resume attached.</p><p>Aaron Tan: R22104642</p>",https://www.jobstreet.com.my/en/job/junior-frontend-engineer-react-10400319/origin/sg
Senior Front End Developer,3-Feb-23,"<p>Job descriptions &amp; Requirements:</p><ul><li>Maintain and improve the performance of existing mobile app code</li><li>Integrating user-facing elements designed by the UI/UX designers to the platform</li><li>Test and maintain mobile application implementation to ensure strong functionality and optimization</li><li>Minimum 6 years of experience in mobile application development with one or more device platforms ie. iOS, Android, Huawei</li><li>Experience in Agile development methodologies and deployment of applications to Apple Store, Google Play Store &amp; Huawei App Gallery</li><li>Proficient in application development using: React Native/ JS, XCode, Objective-C, iOS SDK, Java &amp; Android SDK</li><li>Working experience with LAMP stack (Linux, Apache, MySQL, PHP) is essential</li><li>Ability to work independently and multi-task effectively</li><li>Good time management in planning meeting projects datelines</li><li>Knowledge of 3D design and animation tools such as 3DS Max, Maya, Blender etc.</li><li>Experience in AR (Augmented Reality) or VR (Virtual Reality) development is an added advantage</li><li>Experience in Unity is an added advantage</li><li>Experience in designing 3D assets and environment for mobile application is an added advantage</li></ul>",https://www.jobstreet.com.my/en/job/senior-front-end-developer-5265612
Lead Frontend Developer,22 hours ago,"<p><strong>Lead Frontend Developer</strong></p><ul><li><strong>FinTech</strong></li></ul><ul><li><strong>Remote work arrangement</strong></li></ul><ul><li><strong>Exciting products and modern technology</strong></li></ul><p><br /><strong>about the company</strong><br /><br />Your future employer is one of the key players in its industry, with a presence in Asia Pacific and they're expanding! Your next employer inspires innovation, solutions-driven and upholds is seeking for the right talent to be part of their engineering team!</p><p><br /><strong>about the job</strong><br /><br />The position entails the responsibilities for the frontend development for their in-house products and platforms; constant collaboration with the global team, ensuring code best practices. You will be the team lead and technical mentor of one of the Agile team(s).</p><p>Key Responsibilities</p><ul><li>Develop and optimise front-end applications and tools</li><li>Involved in the development and maintenance of the web and mobile application platform, with the understanding of both demands and business requirements</li><li>Code review</li><li>Guide, grown and mentor young developers and your team</li><li>Set technical direction and standard of the product(s)</li><li>Execute comprehensive unit testing on the modules</li><li>Collaborate with back-end and web designers to improve usability</li><li>Maintain good practices to ensure front-end responsiveness, and implement new standards as needed</li></ul><p><strong>about the manager / team</strong><br /><br />This role is for you if you enjoy and excel in working within a dynamic and driven team, and working in a company where support is given to help employees to achieve their full potential in their career.<br /><br /><strong>skills &amp; experience required</strong></p><ul><li>At least 7 years of professional experience in front-end (Angular) development, with an in-depth understanding of distributed systems</li><li>You possess a Bachelor's degree in Computer Science, Engineering, or relevant field.</li><li>Added-advantage skills: Good knowledge of NodeJS, Nextjs, Typescript, Jest and Rest API; Java for backend development</li><li>Knowledge of implementing and running CI / CD</li><li>Experienced in automation testing</li><li>Experience leading or managing an agile team</li></ul><p>If you share the same passion, fun, energetic and would like to work in a progressive and forward thinking environment, kindly send your latest CV to us by applying or give us a call for a confidential discussion.<br /><br /><strong>Desiree Mu | Randstad | 016 805 7070 | desiree.mu@randstad.com.my</strong></p>",https://www.jobstreet.com.my/en/job/lead-frontend-developer-5266197
Web Developer,2-Feb-23,"<p><strong>Web Developer</strong></p><p>Job Responsibilities:</p><p>·        Responsible for website and mobile web analysis, development, testing, bug fixing and deployment.</p><p>·        Ensure website and mobile web are compatible across different browsers.</p><p>·        Work with Designers, Project Team, IT Team to fulfilling user requirements of online projects.</p><p>·        Keep up with current trends in web and mobile web development industry.</p><p>·        Design, develop and support online applications and programs.</p><p>·        Collect user requirement and provide appropriate solutions .</p><p>Requirements:</p><p>·        Higher Diploma / Diploma in Computer Science, Computer Engineering or related disciplines/certificate.</p><p>·        2 years or above in IT application development experience.</p><p>Knowledge in any MVC Framework.</p><p>·        Knowledge in any SQL.</p><p>·        Proficiency in HTML, JQUERY / JAVASCRIPT.</p><p>·        Proficiency in content management system and WordPress is a must.</p><p>·        Hands-on experience in PHP, HTML5, JavaScript and understand basic usage of MySQL.</p><p>·        Experience in php framework such as Laravel / CodeIgniter / Symphony is a plus.</p><p>· Knowledge of wordpress and shopify will be an advantage</p><p>·        Experience in frontend framework such as React / Vue is a plus.</p><p>·        Able to manage and accomplished a systematic project independently.</p><p>·        With Digital Marketing consultancy / agency background definitely as an advantage.</p><p>·        Well-organized, detail-minded, logical and able to work under pressure independently.</p><p>·        A self-motivated, proactive and responsible team player with good interpersonal and communication skills.</p><p>·        Creative, proactive, and passionate with latest technologies.</p><p>Please visit our website www.acudc.com for more details.</p>",https://www.jobstreet.com.my/en/job/web-developer-5264298
Website Front-End Developer,31-Jan-23,"<ul><li>Knowledge in HTML, CSS (sass), Javascript, jQuery, and building responsive design</li><li>Familiar with browser testing and debugging (Developer Console), can code pixel to pixel with provided design</li><li>Familiar with WordPress, ReactJS, Bootstrap Framework, HTML5 &amp; CSS3, AJAX</li><li>Proficient in design tools (e.g., Adobe XD, Photoshop, Illustrator) and able to translate UI/UX design wireframes to actual code</li><li>Diploma in Computer Science or any related field, detail-oriented with a design focus </li><li>Have strong work ethics, is team-oriented &amp; dependable, self-motivated with a positive attitude</li><li>Able to thrive under tight deadlines and manage time efficiently</li><li>Experience in developing responsive web sites for diverse clients across multiple mediums is a plus!</li></ul>",https://www.jobstreet.com.my/en/job/website-front-end-developer-5262122
