jobTitle,postedDate,jobDescription,jobUrl
PHP Full Stack Developer,31-Jan-23,"<p><strong>Why join us:</strong></p><ul><li>Flexi working hours.</li><li>Medical and Optical Claims.</li><li>Internet and mobile postpaid claims.</li><li>Energetic and creative office culture.</li><li>Career advancement opportunities</li></ul><p><strong>Job Responsibilities</strong>:</p><ul><li>Experience in using any PHP MVC framework</li><li>Experience in API development and integration with third-party APIs</li><li>Develop business and enterprise web application</li><li>Analyze, design, program, test, document, and maintain IT systems or applications</li><li>Collaborate with other team members and stakeholders</li></ul><p> <strong>Job Requirements:</strong></p><ul><li> At least Bachelor Degree or professional qualification in Computer Science or a related discipline.</li><li>Minimum of 2 years experience in software development as full stack developer.</li><li>Front-end languages such as HTML, CSS, JavaScript, jQuery</li><li>Server-side languages such as PHP (Yii / Lavarel) or related frameworks</li><li>Database technology such as MySQL</li><li>Proactive, motivated and team player. Able to work both independently as well as with a team, and keen to learn about new technologies and new scope</li><li>Take pride in accountability, ownership of outstanding issues, and establishes a high level of credibility with others in the organization</li></ul>",https://www.jobstreet.com.my/en/job/php-full-stack-developer-5233196
SENIOR LARAVEL PROGRAMMER (FULL STACK),31-Jan-23,"<p><strong>About The Job: 工作详情：</strong></p><p>We are looking for experienced talents that specializes in PHP coding standards,and databases. Multiple positions are available including Front-end, Back-end, or Full-stack developing. You will be working on high load applications and multi-server.</p><p>我们需要拥有资深PHP编码标准与数据经验的专业人士协助处理Front-end, Back-end或Full-stack的高负载应用程序和多服务器上的开发。</p><p><strong>Technologies we use: 我们所使用的科技：</strong></p><p>We work with proven technologies &amp; stacks that allow us to bring value to our customers and satisfy their needs. You may expect to work with using some of these mentioned technologies: 我们使用经过验证的技术栈，以便我们能为客户带来相对利益并满足他们的需求。关于您将碰到的科技，可参考以下列表：</p><ul><li>Web &amp; Back-end: PHP, Laravel, OOP, VueJs</li></ul><p>网络与Backend系统：PHP, Laravel, OOP, VueJs</p><ul><li>Database: MySQL</li></ul><p>数据库：MySQL</p><ul><li>Good understanding of Cloud environment, unit testing and validation is a bonus</li></ul><p>加分项：非常明白Cloud Environment, Unit Testing 以及 Validation</p><ul><li>Software Application: Atlassian Jira, Confluence &amp; Bitbucket</li></ul><p>软件应用： Atlassian Jira, Confluence 与 Bitbucket</p><ul><li>During WFH, we use ""Gather.Town"" as our web conference software to improve our work performance while maintaining interactions between the team</li></ul><p>居家办公时，因此我们经常使用 “Gather Town”作为团队之间的开会软件和维持良好联系的工具。</p><p><strong>In This Position, You Would Be Involved In: 在这职位中您将会：</strong></p><p>* Developing Back-End Web using Laravel; Fixing Front End Web using VueJs, HTML, CSS and JavaScript; Fixing Back-End Web using PHP</p><p>-Backend: 以Laravel开发, 用PHP进行修复 -Frontend Web: 用VueJs, HTML, CSS 和JavaScript进行修复</p><p>* Do several researches and develop new web technologies 进行与了解多项研究和开发新的网络技术</p><p>* Setup web application according to customer requirement 根据客户需求来设定网络应用程序</p><p>* Performing variety of tasks, which includes debugging and system analysis 在所定下的时限内执行各种任务：包括调试与分析系统</p><p>* Providing technical support during software implementation 在系统实施过程中及时提供技术支援</p><p><strong>What Will You Need: 所需资历：</strong></p><p>* Must posses at least a Professional Certificate, Diploma, Degree in Computer Science/Information Technology or equivalent 需要至少大专学历（有关：计算机科学/资讯类程序员文凭）</p><p>* At least 2 Years of working experience in the related field + Had been using Laravel in work projects for at least 2years 至少2年相关工作经验 + 在工作项目中使用 Laravel 至少2年经验</p><p>*<strong> Required skill(s)： PHP, Laravel, OOP, MYSQL</strong></p><p><strong>所需技能: PHP, Laravel, OOP, MYSQL</strong></p><p>* Familiar with Laravel &amp; MVC Web Application Architecture is a major plus 熟悉Laravel 和 MVC Web Application Architecture 是个加分项</p><p>* Possess strong skills in application design, implementation, testing and trouble-shooting</p><p>非常懂得应用程序上的设计,实施,测试与检修故障的技能</p><p>*Possess strong skills in programming and system analysis is an advantage具有较强的编程和系统分析能力者将被优先考量</p><p>* Candidates must be fluent in Mandarin language as role requires candidate to deal with mandarin speaking clients</p><p>由于需要应对中文客户，因此应聘者必须拥有很好的中文会话和理解能力</p><p>* Able to deliver job results under pressure and tight deadlines (Pressure creates motivation!)</p><p>能够在承受压力的情况下在所设定的时限内完成工作任务 （有压力才有动力！）</p><p>* Must have a strong passion for programming and research new technologies 时刻对编程与新技术上的研究充满热情</p><p><strong>Company Culture: 公司文化：</strong></p><p>Communications are very important, no company politics. We are a team and each other’s support, not each other’s opponent.沟通摆第一,杜绝办公室政治。我们是个团队, 是彼此的队友,不是彼此的对手。</p><p><strong>Personality Requirements: 个性要求：</strong></p><p>* Excellent Interpersonal and communication skills 拥有优秀的沟通技巧和能力</p><p>* Self-motivated, able to handle pressure and willing to go extra miles 自动自发，能够扛压，有强烈上进心</p><p>* Have high self disciplinary and independent thinking 拥有高度自律能力, 能够独立思考</p><p>* Sincere and responsible in work 对工作有强烈责任感</p><p>* Open-minded to new solutions, forward-thinking, and strong adaptability 对于新事物/解决方案持以开明态度，并且拥有前瞻性和强烈的适应能力</p><p>* Able to provide useful solutions/suggestions during brain-storming 于开会时勇于发表自己的有用意见</p><p>* Work hard, play hard! 努力工作使劲玩！</p><p><strong>Shoutout: 呼吁：</strong></p><p>If you are currently working as a software developer, you are highly encouraged to apply for this position. Welcome Aboard! 若您目前是一名在职软件开发人员，我们非常欢迎您把履历表申请提交上来~</p>",https://www.jobstreet.com.my/en/job/senior-laravel-programmer-full-stack-5261884
Fullstack Java Developer,31-Jan-23,"<ul><li>Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology or equivalent.</li><li>Required skill(s): JAVA, frontend development, backend development, MYSQL.</li><li>Required language(s): Bahasa Malaysia, English</li><li>At least 3 years (s) of working experience in the related field is required for this position.</li><li>Preferably Junior Executives specializing in IT/Computer - Software or equivalent.</li></ul><p><strong>Who we are?</strong></p><p>At dJava Factory we don’t work, we enjoy Java, it’s our passion and we are driven by it. Our team of consultants has been handpicked over time from around the globe. Our HQ is in Kuala Lumpur, Malaysia; with subsidiaries in Indonesia and Vietnam. We are always looking to deliver the best solutions to our clients at every level as much as we care for the wellbeing of our staff, we care about three things: skills, work ethic, and culture. Currently we are nearly over 60 people delivering solutions at a fast paced environment and constant growing.</p><p><strong>Your Role:</strong></p><p>As a Fullstack Java Developer, you will work hand in hand with our clients, translating necessities into solutions. You will work in collaboration with a team of consultants and/or client personnel. You are able to deliver within deadlines. Foresee roadblocks and possible outcome. You will work in Kuala Lumpur, Malaysia; but projects overseas are constantly in demand, you make have the chance to take part in some of our projects abroad, (Indonesia, Vietnam, Emirates, Sweden, UK).</p><p><strong>Who You Are?</strong></p><p>A self-driven, tech oriented and highly motivated Java expert. You have more than knowledge to offer; you have the passion of a true developer. You go further by day, pushing yourself to deliver only the best. You have at least 3 years working experience in Java Development.</p><p><strong>Essential Skills</strong></p><ul><li>Backend - JAVA </li><li>Frontend - REACT or All ANGULAR</li><li>Java web application development using Spring, Struts2, Spring MVC or JSF frameworks.</li><li>SQL, JDBC and RDBMS, particularly Oracle and/or MYSQL</li><li>Object-Relational Mapping, particularly Hibernate.</li><li>XML and Web Services (WSDL, XSD, SOAP and HTTP)</li><li>Application Servers are: Tomcat, Jetty, JBoss</li><li>Experience with reporting platforms, especially Jasper Reports</li><li>Agile methodologies, particularly Scrum.</li><li>Subversion, GIT</li><li>Clean code and follow standard java software conventions</li></ul><p><strong>Nice to have skills</strong></p><ul><li>System engineering – Deploying and setting up environments</li><li>Microservices</li><li>jQuery, Twitter Bootstrap</li><li>DB2, MSSQL</li><li>RESTful</li><li>Weblogic, WebSphere, Glassfish</li><li>Unit testing - TestNG, JUnit</li><li>Performance Debugging and Testing – JMeter</li></ul><p><strong>Perks &amp; Benefits</strong></p><ul><li>Allowance (travel stipends, transportation, etc.)</li><li>Performance Incentives</li><li>Central location</li><li>Casual dress code</li><li>Free snacks / Happy hours</li><li>Birthday Gift </li><li>Regular team activities</li><li>Medical insurance</li><li>Open Culture</li><li>The flexibility of working from home</li><li>Personal development opportunities</li></ul>",https://www.jobstreet.com.my/en/job/fullstack-java-developer-5261491
"Software Engineer / Programmer (Full-Stack, PHP)",30-Jan-23,"<p><strong>Software Engineer (Full-Stack, PHP)</strong></p><p><strong>Overview:</strong></p><ul><li>You'll need to be a full-stack software engineer - Interpret project specs, design, develop, deploy and maintain business applications.</li><li>Handle both front &amp; back-end development.</li><li>Our clients are diverse across various industries, thus giving you a unique challenge and exposure into different types of projects. </li><li>Grow with us with on-the-job and structured training to enhance your skills. </li></ul><p><strong>Requirements:</strong></p><ul><li>Candidate must possess at least Bachelor's Degree/Post Graduate Diploma/Professional Degree in Computer Science/Information Technology or equivalent.</li><li>You are required to have a 2nd Upper degree or above.</li><li>You will be given the opportunity to join a young and exciting team of developers.</li><li>Individuals with work experience of at least 1 year in PHP and looking for a career advancement will be given the chance to grow with the company and pick up additional skills via organised training programmes.</li><li>High achieving fresh graduates keen on a job challege are welcome to apply.</li><li>Required Skill(s): PHP, JavaScript, MYSQL, CSS, Modern UI Frameworks.</li><li>Alternatively, candidates must be ready to learn these skills on the job if no experience with such programming languages. </li></ul><p><strong>Job Responsibilities:</strong></p><ul><li>Design, develop and maintain business software.</li><li>Interpret project specifications. </li><li>Primarily web-based applications written in PHP.</li></ul>",https://www.jobstreet.com.my/en/job/software-engineer-programmer-full-stack-php-5260980
Senior Backend Developer (NodeJS),2-Feb-23,"<p>Our client is a well-renowned tech solution provider, with several government bodies and other corporate MNC clients under its belt. They are currently looking for a Senior Backend Developer to aid in their journey to enrich lives through smart technology.</p><p><strong>Job Highlights:</strong></p><ul><li>Holistic Career Progression Pathways</li><li>Friendly &amp; Casual Office Culture</li></ul><p><strong>Job Responsibilities:</strong></p><ul><li>NodeJS, .NET Core as main programming languages</li><li>Databases such as but not limited to (PostgreSQL, MSSQL, MySQL for RDBMS, MongoDB for NoSQL)</li><li>Docker, Kubernetes for orchestration tools </li><li>Version Control with Git</li><li>Using the best practice and automation tools to develop and deploy highly scalable backend solutions for both cloud and on-premise infrastructure</li><li>Analyze, Design, Deploy, and take ownership of the features of high quality maintainable and scalable software based on business needs</li></ul><p><strong>Job Requirements:</strong></p><ul><li>Familiar with writing units &amp; integration tests, monitoring code coverages etc.</li><li>DevOps mindset for monitoring and deploying code with versioning tools and CI/CD</li><li>Familiar with container-based applications and orchestration tools (Docker and Kubernetes) for coding and debugging</li></ul><p><strong><u>How to Apply:</u></strong></p><p>Please apply along with your personal portfolio which ideally showcases some of the past projects that you have contributed to, and with your latest resume attached as well.</p><p>Aaron Tan: R22104642</p>",https://www.jobstreet.com.my/en/job/senior-backend-developer-nodejs-10400264/origin/sg
Software Engineer (Full Stack Developer | Remote Work),28-Jan-23,"<p><strong>· Pasir Panjang (Office) | WFH Basis</strong></p><p><strong>· 5 days work</strong></p><p><strong>· Attractive Salary Package</strong></p><p><strong>· Company Benefits &amp; Incentives</strong></p><p><strong>· Company Industry - Software Company</strong></p><p><strong>Interested applicants can also send your resume to (ivy_leo thesupremehr.com) or contact +65 94283063 and allow our Consultant to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.</strong></p><p>Can choose either Backend / Frontend Developer:</p><p><strong><u>Backend Developer:</u></strong></p><ol><li>Creating multi-tiered Web applications and Mobile App applications</li><li>Familiar with Agile Software Development / Scrum practices</li><li>Analyze, design, program, test, troubleshoot, document and maintain IT systems or applications</li><li>Perform and manage stages of the SDLC and involvement in systems review with Project Manager</li><li>Provide maintenance support to customers (internal and/or external)</li><li>Opportunity to involve in various technologies: Signal R, Redis, MongoDB, Reactive Extension (Rx)</li><li>Other ad-hoc duties as assigned</li></ol><p><strong><u>Frontend Developer - Bootstrap, React JS，API</u></strong></p><p><em>Highlight: Combination of design, technology and programming to code a website's appearance, as well as taking care of debugging.</em></p><ol><li>Creating multi-tiered Web applications and Mobile App applications</li><li>Familiar with Agile Software Development/Scrum practices</li><li>Analyze, design, program, test, troubleshoot, document and maintain IT systems or applications</li><li>Perform and manage stages of the SDLC and involvement in systems review with Project Manager</li><li>Provide maintenance support to customers (internal and/or external)</li><li>Opportunity to involve in various technologies: Signal R, Redis, MongoDB, Reactive Extension (Rx)</li><li>Other ad-hoc duties as assigned</li></ol>",https://www.jobstreet.com.my/en/job/software-engineer-full-stack-developer-%7C-remote-work-10385648/origin/sg
SENIOR BACKEND DEVELOPER (NODEJS),2-Feb-23,"<p><strong>Responsibility</strong></p><ul><li>Participate in application development activity ， such as requirement study, coding, analysis ，integration, and testing</li><li>Enhance , maintain &amp; debug existing application</li><li>Write effective API </li><li>Write maintainable &amp; clean codebase</li><li>Perform codes review.</li><li>Provide guidance and direction to junior developers.</li><li>Troubleshoot and resolve issues impacting development</li><li>Communicate the detailed design to the development team.</li><li>Maintain cutting edge knowledge of current and emerging technologies, industry trends and standards.</li></ul><p><strong>Required Skill(s)</strong></p><ul><li>minimum 3 Years Of experience with </li><li style=""margin-left:30px"">Language : (Node.js)</li><li style=""margin-left:30px"">Framework : (Socket.io) (Express.js) (Nest.js)</li><li style=""margin-left:30px"">Database : (MySQL) (Postgresql)</li><li>Familiar to Agile software development environment.</li><li>Proﬁcient understanding of code versioning tools (GIT)</li></ul><p><strong>Benefits:</strong></p><ul><li>Free Parking </li><li>Yearly Increment </li><li>Snacks provided in pantry</li><li>Coffee Machine provided for coffee lovers</li><li>Smart Casual Wear</li></ul>",https://www.jobstreet.com.my/en/job/senior-backend-developer-nodejs-5235706
Software Engineer / Fullstack Developer,22 hours ago,"<p><strong><u>Job Highlights</u></strong></p><ul><li>Startup Company</li><li>Competitive salary</li><li>Impressive learning and career center.</li><li>Young &amp; Vibrant Team. Positive Work Culture.</li></ul><p><strong><u>Job Descriptions :</u></strong></p><ol><li>Develop and maintain front end website architecture</li><li>Design user interactions on web pages</li><li>Develop and maintain back end website applications</li><li>Deploy and maintain servers and databases for backend functionality</li><li>Ensure cross-platform optimization for mobile devices and responsive design across various screen sizes, layouts and platforms</li><li>Design, develop, test and maintain configurable RESTful APIs with different policies exposed to external applications</li><li>Manage source code version control</li><li>Manage staging and production environments</li><li>Build a training framework together with management to unboard incoming junior developers.</li><li>Good to have:○ Develop, test, implement and maintain web3 applications, including writing automated test cases○ Develop, test and implement smart contracts (NFTs, staking, tokenomics) on EVM compatible chains○ Web hosting security, best practices and disaster recovery</li><li>Cryptocurrency private key management and security</li></ol><p><strong><u>Technical Skill Requirements</u></strong></p><p>● HTML</p><p>● Git</p><p>● JavaScript, TypeScript</p><p>● Bootstrap, Tailwind CSS</p><p>● React/Redux/Next.js</p><p>● Node.js, Express, Nest.js</p><p>● RESTful APIs</p><p>● MySQL, PostGreSQL, MongoDB</p><p>● AWS services: ECS, RDS, S3, EC2, etc</p><p>● Good to have:○ Solidity, Smart Contracts, Web3.js</p>",https://www.jobstreet.com.my/en/job/software-engineer-fullstack-developer-5266236
Full Stack Developer (ReactJS / C# / NodeJS / Python) - internship & full time,30-Jan-23,"<p>We are looking for motivated and responsible Senior or Mid-level software developers (<strong>ReactJS / C# / NodeJS / Python</strong>) that’s passionate in <strong>FinTech</strong> and about the latest technology in a team. You will have the opportunity to make significant contributions to the company.</p><p>You will join a team of highly talented Software Developers, and full-time opportunity to involve / handle the development of FinTech projects.</p><p><strong>Job Description</strong></p><ul><li>Building, maintain and scaling user-focused web applications and mobile applications.</li><li>Collaborate with cross-functional teams to define, design, and ship new features.</li><li>Collaborate with fronted and backend developers in order to develop an interactive and scalable web, mobile and desktop application.</li><li>Develop, test and deliver unique creative pieces using the latest technologies.</li><li>Solve complex performance problems and architectural challenges.</li><li>Primary focus will be development of all client-side, integration of server-side APIs, ensuring high performance web application and ultimately ensuring great user experience if you are interested in creating and implementing visual and interactive elements in a web application.</li><li>Multi-task and thrive in a fast-paced, results driven organization.</li></ul><p><strong>Job Requirements</strong></p><ul><li><strong>Attitude is everything.</strong> As long as you are willing to learn, take up challenges and responsibilities, the stage is for you to shine.</li><li>At least 1 years of experience in<strong> ReactJS / C# / NodeJS / Python</strong> programming.</li><li>Willing and excited to learn and explore new technologies.</li><li>Good knowledge of programming low-level, high-performance, clean and high-quality code</li><li>Experience in Fintech is a plus.</li><li>Self-motivated nature and the ability to work autonomously with minimal supervision.</li><li><strong>Primary Language: Mandarin (As require to liaise with Mandarin/Cantonese Speaking Clients due to work nature)</strong></li></ul><p><strong>Internship</strong></p><p>OverWatch is looking for passionate candidates to join our IT trainee program, 4-6 month incubator program gives you a holistic learning experience and builds your career experience in fintech industry. If you’re exceptional at embracing our company values, you’ll get an immediate job offer from OverWatch at the end of the program.</p><p><strong>Who are encouraged to apply</strong></p><ul><li>Highly passionate on coding, software development.</li><li>Highly responsible, self-disciplined, self-managed, and self-motivated.</li><li>Creative, willing to push boundaries and challenge conventional thinking. Dare to make mistakes and learn from it.</li><li>Passionate on Financial Technologies, has a strong willingness to learn it quickly.</li></ul>",https://www.jobstreet.com.my/en/job/full-stack-developer-reactjs-c-nodejs-python-internship-full-time-5260327
Senior Software Engineer - Career and Connect (Hybrid Working),10 hours ago,"<p><strong>The Role</strong></p><p>The Senior Software Engineer is responsible for the development, implementation, maintenance, and support of software solutions. This job requires an active hands-on contributor in the software development life cycle, performing analysis and design as well as a proven team player to achieve project goals.</p><p> <strong>Key responsibilities include:</strong></p><ul><li>Help evolve delivery processes to continuously improve the Seek Asia apps.</li><li>Contributing to SEEK’s overall apps technology strategy and aligning systems with that strategy.</li><li>Ensuring systems are fit for purpose, well architected and follow current SEEK development practices.</li><li>Maintaining platform health ensuring that our systems are highly scalable, available, performant, maintainable, secure and cost effective.</li><li>Driving customer focus to ensure that we are delivering great outcomes for our customers.</li><li>Help facilitate the healthy tension between the desire for immediate delivery and the long-term viability of the code bases.</li><li>Share operational support duties.</li></ul><p><strong>So, what we are looking for?</strong></p><p>We are looking for a full stack senior engineer to help us building some of our green field projects, someone with a start-up background and growth mindset would fit perfectly in our team. </p><p><strong>Experience</strong></p><ul><li>Involve in collaboration with stakeholders to understand business challenges and customer needs, removing bottlenecks and identifying new opportunities for growth. </li><li>Knowledge of industry best practices, regulations and compliance (GDPR, PDPI), and quality assurance techniques. </li><li>Experience working with geo-distributed teams. </li></ul><p><strong>Personal Skills</strong></p><ul><li>Applies relevant technologies knowledge to the development and improvement of software applications, being able to drive better technical decision at the team level.</li><li>Positive attitude and a clear sense of initiative.</li><li>Has a growth mindset - flexible, open, and actively seeking opportunities to improve.</li><li>Continuously learn and understand the business requirements, customer, and end-user feedback to further improve the products.</li><li>Actively investing time in technical growth.</li><li>Manage own time well, being able to support fellow engineers and be critical on inefficiencies. </li><li>Highly self-motivated team player with good analytical and conceptual thinking, results-driven and customer focus.</li><li>Ability to share new knowledge and new tools to cultivate constructive conversations and improve team capabilities.</li><li>Open minded collaborator and clear communicator who can manage stakeholders' expectations well.</li></ul><p><strong>Technical Skills</strong></p><ul><li>Test-driven development and agile software delivery methods.</li><li>Hands-on experience in estimating, planning, designing, implementing, testing and operating highly scalable, available, performant, maintainable, secure and cost effective, being able to implement this independently and able to support other team members with supervision and direction to achieve our team goals.</li><li>Knowledge in JavaScript, Typescript, React and ideally React Native.</li><li>Creates software in at least two modern software development languages.</li><li>Creates and maintains continuous delivery pipelines using current agile practices, patterns &amp; tooling.</li><li>Creates software using secure coding practices and mitigates common vulnerabilities.</li><li>Working knowledge of modern stacks e.g. Node.js, Express, GraphQL, Jest, React, Docker, Apollo.</li><li>Uses current technical practices such as writing clean, testable code and pair programming.</li><li>Knowledge of building solutions deployed on AWS with immutable infrastructure via infrastructure as code.</li></ul><p><strong>The Team</strong></p><p>Our team is responsible for building the next “big thing” for our customers, armed with a startup mindset, trying to experiment in new areas to deliver added values to SEEK customers through green fields projects.</p><p>We operate under the 3 brands of JobStreet, JobsDB and SEEK to help over 150 million candidates find employment.</p><p><strong>Additional Information</strong></p><p>﻿At SEEK, the health and safety of our people is our highest priority. For this reason, SEEK has a policy requiring all new employees to be fully vaccinated for COVID-19, unless a formal medical exemption applies. On this basis, as part of the application process you will be asked to confirm that you have read and understood this policy, and would like to continue with the hiring process. Further details about this policy will be shared during the hiring process, as required.</p>",https://www.jobstreet.com.my/en/job/senior-software-engineer-career-and-connect-hybrid-working-5252197
