jobTitle,postedDate,jobDescription,jobUrl
Executive - IT Project Management,30-Jan-23,"<p><strong>Responsibilities:</strong></p><ul><li>Keeping track and reporting of project progress to the Project Manager.</li><li>Organize, track and maintain all project documents.</li><li>Coordinate and execute daily project tasks to ensure work is done on time and effectively.</li><li>Conducting administrative duties e.g. coordination of project team meetings, setting up meetings, recording meeting action items, etc.</li><li>Researching information as required</li><li>Contribute to the planning and development of projects</li><li>Assist in problem solving and work together with the Project Manager in developing possible solutions</li></ul><p><strong>Requirements</strong>:</p><ul><li>2 years’ working experience in project management or administrative assistance (industry related experience in software development or supply chain is a plus)</li><li>Proficiency in Microsoft Office (especially Excel, PowerPoint and Word)</li><li>Project management knowledge: good fundamental knowledge to general project management areas including the project management tools &amp; techniques, time management, scope management and cost management</li><li>Proven experience: Industry specific knowledge including software development lifecycle, and supply chain management is a plus factor. Proven project management experience in projects, managing deliverables and milestones on time</li></ul>",https://www.jobstreet.com.my/en/job/executive-it-project-management-5259219
IT Project Coordinator,31-Jan-23,"<p><strong>Job Description</strong></p><ul><li>Responsible in coordinating project elements including attending project meeting, planning, requirement capturing, development of project schedules, resources, and ensure execution according to schedule, cost, and third party.</li><li>Coordinate and communicate effectively with high level management, IT development team to ensure all works and services comply with technical specifications.</li><li>Part of the job will require application debugging, database query analysis and optimization (application server and database).</li><li>Prepare and maintain comprehensive project documentation.</li></ul><p><strong>Requirements</strong></p><ul><li>Candidate must possess at least a Diploma in Computer Science / Information Technology or equivalent.</li><li>Possess at least 2 years of related working experience in IT helpdesk / IT admin support, IT Technical Support or relevant.</li><li>Fresh graduates with strong IT knowledge are welcome to apply.</li><li>Good troubleshooting and problem solving skills.</li><li>Intermediate knowledge on software development and networking.</li><li>Strong ability to analyze project data and identifying potential for process improvement.</li><li>Capable of supporting project management including project planning, budget, and cost control.</li></ul>",https://www.jobstreet.com.my/en/job/it-project-coordinator-5262413
PROJECT MANAGEMENT EXECUTIVE,28-Jan-23,"<p>As a <strong>Project Management Executive</strong>, you will be the key contact person between our customers and to our Project Management Team. This position will give you the opportunity to talk and present to numerous people of all levels from different industries. You will be able to grow and groom on your project management skillset and customer relationships in achieving project objectives.</p><p><strong>To be successful in this role, you will need to have:</strong></p><ul><li>Committed, humble, outspoken and friendly.</li><li>Prior working experience in Software Development or Project Implementation for Software Company (min 3 years or above).</li><li>Excellent in time management and coordinating &amp; monitoring multiple tasks.</li><li>A Degree in any field (Information Technology would be great but not necessary). Certification in Project Management Professional (would be a plus but not necessary).</li><li>Able to converse fluently in English.</li></ul><p><strong>To help you succeed in this role, we will assist you by providing:</strong></p><ul><li><strong>Training will be provided to get you moving.</strong></li><li>You will be surrounded by highly positive and helpful people.</li><li>Insurance and Medical coverage (sometimes we may fall sick).</li><li>HP allowance, Meal and Hardship allowance</li><li>EPF, SOCSO, EIS coverage</li><li>Annual Leave, Medical Leave, Hospitalization Leave, Marriage Leave, Maternity Leave, Paternity Leave &amp; Compassionate Leave provided.</li></ul><p><strong>How this career will benefit you?</strong></p><ul><li>You will have various industries project engagement exposure.</li><li>You are remunerated with good basic salary and project incentive and Project Incentive (yes, if we meet the deadline, we will reward you!).</li><li>Have great project coordination experience (your experience and professionalism will represent us).</li></ul><p>Do join us if you have a passion for administering and organising all types of projects, from simple activities to more complex plan, and a desire to complete tasks on time with the highest quality standards.</p><p><strong>If you are currently working as a Software Implementer, IT Coordinator or Project Administrator, you are strongly encourage to apply</strong>.</p>",https://www.jobstreet.com.my/en/job/project-management-executive-5258951
Project Management,27-Jan-23,"<ul><li><strong>2 Immediate vacancies wanted!</strong></li><li><strong>Empowering Employees - Our employees are our greatest asset</strong></li><li><strong>Energetic and Dynamic Working Environment</strong></li><li><strong>Excellent Career Advancement</strong></li><li><strong>Fast-Paced Environment</strong></li></ul><p><strong>The main responsibilities will be responsible on tracking the progress of all orders coming into the Project Office, monitoring progress, coordinating delivery dates, and maintaining systems including budgeting for all project expenditures where applicable.</strong> </p><p><strong>1. Project Planning</strong></p><ul><li> Estimate the size of the project, time and resources it will demand.</li><li> Fully support infrastructure and build projects including administration, organization of meeting and minutes.</li><li> Maintain systems for recording, monitoring, forecasting and budgeting of project expenditures.</li><li>To ensure the consistent application of project planning and control processes on all projects.</li><li>To organize and maintain an organizational repository of project information that has value in planning the future project.</li></ul><p><strong>2. Project Scheduling</strong></p><ul><li>Provide support for project scheduling.</li><li>To ensure all project works are done by following the plan and schedule.</li><li>Fill the gaps in team resources.</li><li>Increase the delivery speed of the project.</li><li>Reduction in project overrun.</li></ul><p><strong>3. Risk Analysis</strong></p><ul><li>Preparation of potential problems, weighing their probabilities, impact and counter-measures.</li><li>Review, collate, maintain and highlight changes to the project plan.</li><li>Track project risk indicators for early warning.</li></ul><p><strong>4. Project Tracking</strong></p><ul><li>Track project progress, monitor progress and co-ordinate delivery dates.</li><li>Responsible for tracking project performance against defined plan.</li><li>Produce a weekly Project Status Report.</li><li>Produce resource and cost allocation reports for finance audit purposes.</li><li>Organize and facilitate the closure of the project and complete benefit analysis at the end of the project.</li></ul><p><strong>Requirements:</strong></p><ul><li>Minimum 3 years of working experience in Information Technology Project Management field.</li><li>A Project Management Professional (PMP) Certification may be advantageous.</li><li>Highly analytical and able to understand business needs.</li><li>Proven experience in managing projects with the ability to multitask and manage multiple and complex projects.</li><li>Good written and verbal communication skills in English and Mandarin.</li></ul>",https://www.jobstreet.com.my/en/job/project-management-5257942
Project Executive,31-Jan-23,"<p>If you're a passionate customer service that strives to create innovative customer experience and build strong relationship with our customer, we want you on board to our team!</p><p><strong>You will play an important role in:-</strong></p><ul><li>Serve customers by providing product and service information</li><li>Resolve product and service problems.</li><li>Attract and retain customers by answering questions and providing suggestions.</li><li>Build lasting relationships with customers and ensuring they feel supported and valued.</li><li>Work effectively across a variety of communication channels: in-person, phone, email, live-chat, social media, etc.</li></ul><p><strong>What will make you successful in this role?</strong></p><ul><li>Candidate must possess at least Professional Certificate, Diploma, Bachelor's Degree in any field.</li><li>Required language(s): English, Mandarin, Bahasa Malaysia</li><li>At least 1 Year(s) of working experience in the related field is required for this position.</li><li>Preferably Junior Executive specialized in Sales / Science / Engineering / IT or equivalent.</li><li>Able to <strong>prioritize and multitask</strong>, with excellent <strong>time management skills</strong>.</li></ul><p><strong>Job Offer</strong></p><ul><li>You will be part of an energetic, fast-paced and dynamic organization.</li><li>You will have the opportunity to climb the corporate ladder in the future.</li><li>High incentive plan bansed on performance.</li><li>Good basic salary based on experience.</li><li>Travel allowance.</li><li>Additional Benefits: Employee Vacation Benefit</li></ul>",https://www.jobstreet.com.my/en/job/project-executive-5261651
"Manager, FTP & Project Management",30-Jan-23,"<p><strong><u>Job Description</u></strong></p><p>1.    FTP REPORTING</p><ul><li>Process all data and FTP calculation for daily and monthly FTP reporting</li><li>Prepare manual computation on SRR/ LA/ FC Loans/other ad-hoc manual adjustment</li><li>Assist to rectify any error from system and prepare for manual adjustments for FTP reporting</li><li>Analyze and ensure FTP numbers are reasonable and to identify the cause for substantial variances</li></ul><p>2.    FTP SYSTEM MAINTENANCE &amp; SUPPORT</p><ul><li>To implement/ operationalize the new/revised FTP methodology in FTP system</li><li>Maintain/configure in FTP system as and when there is a new product created</li><li>Maintain/configure/setup in FTP system for any new/change/revision to FTP methodology approved by GALCO</li><li>To raise change request for new/revision to existing requirement and work with IT/ vendor for UAT and roll out in production for FTP system</li></ul><p>3.    SUPPORT AND SERVICES TO STAKEHOLDERS</p><ul><li>Provide data and analysis to Head of ALCO for annual review of FTP methodology</li><li>Provide support to stakeholder in matters pertaining to FTP</li><li>Attend to FTP enquiries from BFMs/ stakeholders</li><li>Provide guidance to BFMs/ product owner on the product pricing</li><li>Support other applications, BI reporting solutions, data marts and extract, transform, load (ETL) processes under Financial Planning &amp; Performance team, as and when necessary.</li></ul><p><strong><u>Job Requirements</u></strong></p><ul><li>Degree in Accounting, Finance, Economics, Business Studies or Information Systems</li><li>Minimum 3 years of financial/accounting experience at executive level</li><li>Experience in maintaining large and complex database</li><li>Strong analytical and problem solving skills</li><li>Preferably with programming experience in SQL</li><li>Preferably with knowledge on Kamakura Transfer Pricing module</li><li>MS Excel skill is essential</li></ul>",https://www.jobstreet.com.my/en/job/manager-ftp-project-management-5259557
Project Executive (IT),16-Jan-23,"<ul><li>Act as the project management officer to manage the project development especially in business requirement studies and analysis, project communication, project delivery planning, prepare functional specifications, coordinate SIT, UAT and training events between functional teams and the external users or stakeholders.</li><li>Act as a focal person in collaborating between the functional teams internally and liaising with the internal or external stakeholders during the project life cycle.</li><li>Serve as the key personnel in business operation support processes assisting the technical team in terms of functional support, change request management, application versions control, functional documents control etc.</li><li>Provide user guide, training and knowledge transition to internal and external users.</li><li>Act as the key document controller and audit compliance officer.</li><li>Assist in the customer support team to meet the SLA.</li></ul><p>Job Requirement</p><ul><li>Min 1 to 2 years of IT project management experience.</li><li>Experience in Mobile App, Web Development, Wordpress, Google Analytics, Google Adsense are most sought.</li><li>Detailed oriented, discipline, problem solver and demonstrate leadership skill.</li><li>Able to work with minimum supervision and teamwork in a fast-paced and dynamic environment.</li><li>Able to read, write and converse in Mandarin due to project requirement.</li><li>Min Diploma/Degree in information technology, computer science or related fields. Candidates not graduated from IT industry must demonstrate related experiences, strong knowledge and learning capability in web and mobile app project development.</li><li>Talented IT fresh graduate with strong passion in the related works and passions can apply.</li></ul>",https://www.jobstreet.com.my/en/job/project-executive-it-5247939
Project Coordinator - Information Security Management System,29-Jan-23,"<p>Office hours : Monday - Friday (8.30am - 5.30pm)</p><p>Able to work at Kuala Lumpur area office (Jalan Tun Razak / KLCC)</p><p><strong>Summary Of the Position</strong></p><p>The role will report directly to the Senior Manager, Cybersecurity Governance, Risk &amp; Strategy.</p><p>The work is mainly coordination, tracking and reporting on our project progress.</p><p><strong>Roles and responsibilities</strong></p><p>1.      Coordinate meetings and record attendance.</p><p>2.      Draft MoM and follow up on action items.</p><p>3.      Track and update project plan</p><p>4.      Produce weekly, monthly, and ad hoc status reports.</p><p>5. Track, file and safekeeping documentation, artefacts used of the project.</p><p><strong>Required skill and abilities</strong></p><p>1.      Project management skills and good understanding of the processes and stages in a project</p><p>2.      Good command of English (written and spoken)</p><p>3.      Develop and track project plans using Gannt charts,</p><p>4.      Able to establish and update project risk and issue registers.</p><p>5.      Proficient in MS power point and excel</p><p><strong>Education &amp; experience</strong></p><p>1.      Diploma/Degree in any Discipline (Technology or cybersecurity will be an advantage)</p><p>2.      At least 3 years’ experience in project coordination/PMO type work (IT or cybersecurity projects will be an added advantage)</p><p>Basic IT/Tech experience</p>",https://www.jobstreet.com.my/en/job/project-coordinator-information-security-management-system-5259130
PROJECT CONSULTANT (HR IMPLEMENTATION),28-Jan-23,"<ul><li><strong>Focus on Project Implementation</strong></li><li><strong>Focus on Building Customer Relationship and Time Line</strong></li><li><strong>Good working environment and positive culture</strong></li></ul><p>As an <strong>Project Consultant (HR Implementation)</strong>, <strong>you will be the key contact person to</strong> <strong>implement project and collaboration between our customers and to our R&amp;D Team</strong>. This position will give you the opportunity to talk and present to numerous people of all levels from different industries. You will be able to grow and groom on your project implementation technical skillset and customer relationships in achieving company objectives.</p><p><strong>To be successful in this role, you will need to have:</strong></p><ul><li>Excellent in Time Management &amp; Monitoring multiple project implementations.</li><li>Good Communication Skill, Self-Driven, Committed, Result Orientated, Friendly and Outspoken. (Positive attitude are important!)</li><li>Prior working experience in IT Software Solutions (min 3 years or above).</li><li>Willing to travel, possess own transport and implementation at customer office.</li><li>Degree in Computer Science &amp; Information Technology would be great.</li><li>Able to converse fluently in English.</li><li>Experienced in implementing others Software Solutions (HR, Accounting or ERP Solutions) will be advantaged.</li></ul><p><strong>To help you succeed in this role, we will assist you by providing:</strong></p><ul><li><strong>Training will be provided to get you moving (We will train you to be competent!).</strong></li><li>You will be surrounded by highly positive and helpful people. (Yes, we motivate &amp; help each other).</li></ul><p><strong>Attractive Salaries Benefit's:</strong></p><ul><li>Project Incentive</li><li>Performance Incentive</li><li>Insurance and Medical coverage (sometimes we may fall sick)</li><li>Outstation Overnight, Accommodation and Travelling reimbursements (we got you covered!)</li><li>HP allowance, Meal and Hardship allowance</li><li>EPF, SOCSO, EIS coverage</li><li>Annual Leave, Medical Leave, Hospitalization Leave, Marriage Leave, Maternity Leave, Paternity Leave &amp; Compassionate Leave provided.</li></ul><p><strong>How this career will benefit you?</strong> </p><ul><li>You will have various industries project engagement exposure.</li><li>You are remunerated based on individual performance.</li></ul><p><strong>There are few vacancies available</strong></p><ul><li>A few vacancies at Bandar Puteri Puchong, Selangor</li><li>Vacancy available at Jalan Bendehara, Ipoh</li></ul><p>Do join us if you have a passion for implementing and deploying HR software projects, from simple activities to more complex plan, and a desire to complete tasks on time with the highest quality standards.</p><p><strong>If you are currently working as a Software Implementer, IT Solution System or Project Implementer, you are strongly encourage to apply.</strong></p>",https://www.jobstreet.com.my/en/job/project-consultant-hr-implementation-5258945
Project Executive,1-Feb-23,"<p>Agensi Pekerjaan Sun Star is expanding and we're looking for resourceful and highly driven individuals to join us! </p><p>Responsible for setting and implementing the strategies for expending the business to achieve consistent growth. Your key role is in heading the overall strategy by securing new market opportunities, managing people, setting &amp; improving process flow. You will also be involved in driving strategic partnerships, creating impactful marketing strategies and heading in the operations from start till end.</p><p>We invite experienced and qualified candidates to apply for below role</p><p>Responsibilities:</p><ul><li>Leading the marketing projects to secure business opportunities for foreign and local placements</li><li>Leading the administration of documentations and systems </li><li>Accountable for sourcing and assessing job applicants in accordance to clients' needs and requirements</li></ul><p>Requirements:</p><ul><li>Demonstrate ability to work in a fast-paced environment</li><li>A winning mentality</li><li>Resourcefulness and driven</li><li>Good communication and interpersonal skills</li><li>Strong team player</li><li>Degree in Marketing, Business Administration or other related field</li><li>Work experience of minimum 3 years</li></ul><p>Perks &amp; Benefits:</p><ul><li>Basic Salary</li><li>Annual leave</li><li>Variable commission</li><li>Training and Mentorship provided</li><li>Opportunity to travel</li></ul>",https://www.jobstreet.com.my/en/job/project-executive-5249621
