jobTitle,postedDate,jobDescription,jobUrl
Software Engineer (Java),21 hours ago,"<p><strong>Responsibilities</strong></p><ul><li>Work closely with the rest of the software engineers in the team to design, build, test, deploy, maintain and continuously improve the company’s software solutions, including the core mobile point-of-sale (MPOS) system. Additionally, contribute to new product research projects, which may include research and the building of proofs-of-concept.</li><li>Work with the company’s clients in various countries to understand their requirements and help build customizations to the company’s software solutions that will meet their needs.</li><li>Mentor junior software engineers and provide guidance to them for their work as needed.</li></ul><p><strong>Requirements</strong></p><p>1. Required:</p><ul><li>2 to 5 years of Java (core SE 8) experience.</li><li>Experience in DBs and DB manipulation (SQL Server, Oracle, MySQL, SQL).</li><li>Experience in RDMS, writing native SQL query.</li></ul><p>2. Great to have:</p><ul><li>Extensive skills and knowledge of Springboot 2, Vuejs, thymeleaf, JSP/Servlets, Spring, JPA and Hibernate.</li><li>Knowledge of Application Servers / Containers (Apache Web Server, WebSphere, WebLogic, JBoss WildFly, Jetty, Tomcat, Docker).</li><li>Knowledge of payment domain requirements and standards (EMV, PCI for example).</li></ul><p>3. Added Advantages</p><ul><li>Great understanding of software design (patterns) and debugging skills (using Eclipse, Netbeans, IntelliJ IDEA, etc).</li><li>Good communication skills, that is you can probably get along great with our clients and us.</li><li>Above all, great attitude and a deep desire to constantly learn and improve.</li></ul><p><strong>Benefits you might be interested</strong></p><ul><li>Medical &amp; Insurance plan - At Soft Space, we believe in putting our employees first. Rest assured that we’ve got you covered.</li><li>Dental claim - Our dental coverage will take care of your pearly whites for you. After all, your smile is our pride.</li><li>Optical claim - We know designer frames can be pricey which is why we have included it as part of our coverage plan for you.</li><li>Food &amp; Drinks - No one works well with an empty stomach. At Soft Space, we have bottomless drinks and endless array of snacks.</li><li>Parking claim - We understand driving around KL city can be quite expensive and daunting sometimes. We will bear half the cost of your monthly parking fee.</li><li>Cool Gears - Everyone gets the latest and greatest tech gear. You will also get your hands on the latest iOS, Android and Windows devices.</li><li>Company Trip &amp; Teambuilding – Only by binding together as a single force will we remain strong and unconquerable.</li></ul>",https://www.jobstreet.com.my/en/job/software-engineer-java-5266625
Senior Software Engineer (Java),21 hours ago,"<p><strong>Responsibilities</strong></p><ul><li>Work closely with the rest of the software engineers in the team to design, build, test, deploy, maintain and continuously improve the company’s software solutions, including the core mobile point-of-sale (MPOS) system. Additionally, contribute to new product research projects, which may include research and the building of proofs-of-concept.</li><li>Work with the company’s clients in various countries to understand their requirements and help build customizations to the company’s software solutions that will meet their needs.</li><li>Mentor junior software engineers and provide guidance to them for their work as needed.</li></ul><p><strong>Requirements</strong></p><p>1. Required:</p><ul><li>At least 5 years of Java (core SE 8) experience.</li><li>Experience in DBs and DB manipulation (SQL Server, Oracle, MySQL, SQL).</li><li>Experience in RDMS, writing native SQL query.</li></ul><p>2. Great to have:</p><ul><li>Extensive skills and knowledge of Springboot 2, Vuejs, thymeleaf, JSP/Servlets, Spring, JPA and Hibernate.</li><li>Knowledge of Application Servers / Containers (Apache Web Server, WebSphere, WebLogic, JBoss WildFly, Jetty, Tomcat, Docker).</li><li>Knowledge of payment domain requirements and standards (EMV, PCI for example).</li></ul><p>3. Added Advantages</p><ul><li>Great understanding of software design (patterns) and debugging skills (using Eclipse, Netbeans, IntelliJ IDEA, etc).</li><li>Good communication skills, that is you can probably get along great with our clients and us.</li><li>Above all, great attitude and a deep desire to constantly learn and improve.</li></ul><p><strong>Benefits you might be interested</strong></p><ul><li>Medical &amp; Insurance plan - At Soft Space, we believe in putting our employees first. Rest assured that we’ve got you covered.</li><li>Dental claim - Our dental coverage will take care of your pearly whites for you. After all, your smile is our pride.</li><li>Optical claim - We know designer frames can be pricey which is why we have included it as part of our coverage plan for you.</li><li>Food &amp; Drinks - No one works well with an empty stomach. At Soft Space, we have bottomless drinks and endless array of snacks.</li><li>Parking claim - We understand driving around KL city can be quite expensive and daunting sometimes. We will bear half the cost of your monthly parking fee.</li><li>Cool Gears - Everyone gets the latest and greatest tech gear. You will also get your hands on the latest iOS, Android and Windows devices.</li><li>Company Trip &amp; Teambuilding – Only by binding together as a single force will we remain strong and unconquerable.</li></ul>",https://www.jobstreet.com.my/en/job/senior-software-engineer-java-5266635
Senior Software Engineer (JAVA),29-Jan-23,"<p><strong>Job Summary</strong></p><p>Looking for the next step in your CAREER? Hytech Consulting has a current opening for an experienced JAVA Developer. Apply now to get started with us today! The Ideal JAVA Engineer will have 5 years or more of development experience and has a Bachelor’s degree in Computer Science, Computer Engineering, Computer Information System or equivalent.</p><p><strong>Job responsibilities:</strong></p><ul><li>Responsible for independent module development tasks and system interface development;</li><li>Independently completed coding, unit testing and related documents according to the development specification and process.</li><li>Solve the problems existing in the system and ensure the stable operation of the system;</li></ul><p><strong>Job requirements:</strong></p><ul><li>Full-time college degree or above, major in computer software or related;</li><li>More than 3 years of solid development experience;</li><li>Proficient in Java virtual machine tuning and familiar with the memory management principle of Java virtual machine</li><li>Experiences in the current mainstream Java framework (Spring, Spring MVC, a Spring cloud, dubbo, zookeeper, Mybatis, Struts, Hibernate, etc.) the basic principle of.</li><li>Familiar with and equipped with two database systems such as oracle, mysql, sybase and db2, and have certain experience in SQL optimization;</li><li>Proficient in using Tomcat, WebLogic and other web application servers, and familiar with the server configuration principle; Familiar with the management and operation of an operating system (Linux).</li><li>Proficient in HTML, Css, Jquery,bootstrap and other web development technologies; familiar with Json, Xml and other data protocols; familiar with relevant caching technologies such as redis and memcache;</li><li>Experience in Internet finance is preferred.</li></ul><p><strong>What you can expect after join us?</strong></p><p>Leadership – we offer a variety of leadership options to those who have interest, including becoming a team lead and managing releases.</p><p>Learning and development – we have a generous training development budget and encourage you to grow your skills through courses, books and conferences.</p><p>Architecture – we encourage you to develop expertise in the systems they work with, guide their evolution and mentor other developers working on them.</p><p>Engineering effectiveness – we believe in helping each other developers become more effective through tools, practices, cross-team collaborations, and process improvements.</p><p><strong>Do this sound like you? If so, we’d love to hear from you.</strong></p>",https://www.jobstreet.com.my/en/job/senior-software-engineer-java-5253339
Associate Software Engineer (Java),21 hours ago,"<p><strong>Responsibilities</strong></p><ul><li>Work closely with the rest of the software engineers in the team to design, build, test, deploy, maintain and continuously improve the company’s software solutions, including the core mobile point-of-sale (MPOS) system. Additionally, contribute to new product research projects, which may include research and the building of proofs-of-concept.</li><li>Work with the company’s clients in various countries to understand their requirements and help build customizations to the company’s software solutions that will meet their needs.</li></ul><p><strong>Requirements</strong></p><p>1. Required:</p><ul><li>Fresh graduates are encouraged to apply for this position.</li><li>Knowledge of Java (core SE 8) experience.</li><li>Experience in DBs and DB manipulation (SQL Server, Oracle, MySQL, SQL).</li><li>Experience in RDMS, writing native SQL query.</li></ul><p>2. Great to have:</p><ul><li>Extensive skills and knowledge of Springboot 2, Vuejs, thymeleaf, JSP/Servlets, Spring, JPA and Hibernate.</li><li>Knowledge of Application Servers / Containers (Apache Web Server, WebSphere, WebLogic, JBoss WildFly, Jetty, Tomcat, Docker).</li><li>Knowledge of payment domain requirements and standards (EMV, PCI for example).</li></ul><p>3. Added Advantages</p><ul><li>Great understanding of software design (patterns) and debugging skills (using Eclipse, Netbeans, IntelliJ IDEA, etc).</li><li>Good communication skills, that is you can probably get along great with our clients and us.</li><li>Above all, great attitude and a deep desire to constantly learn and improve.</li></ul><p><strong>Benefits you might be interested</strong></p><ul><li>Medical &amp; Insurance plan - At Soft Space, we believe in putting our employees first. Rest assured that we’ve got you covered.</li><li>Dental claim - Our dental coverage will take care of your pearly whites for you. After all, your smile is our pride.</li><li>Optical claim - We know designer frames can be pricey which is why we have included it as part of our coverage plan for you.</li><li>Food &amp; Drinks - No one works well with an empty stomach. At Soft Space, we have bottomless drinks and endless array of snacks.</li><li>Parking claim - We understand driving around KL city can be quite expensive and daunting sometimes. We will bear half the cost of your monthly parking fee.</li><li>Cool Gears - Everyone gets the latest and greatest tech gear. You will also get your hands on the latest iOS, Android and Windows devices.</li><li>Company Trip &amp; Teambuilding – Only by binding together as a single force will we remain strong and unconquerable.</li></ul>",https://www.jobstreet.com.my/en/job/associate-software-engineer-java-5266619
Senior Software Engineer (Java),3-Feb-23,"<p><strong>Job Responsibilities:</strong></p><ul><li>Enhance cryptocurrency exchage using Java to meet design requirements as required by projects.</li><li>Involvement in partial SDLC, including development and testing.</li><li>Collaborate in cross functional team of business analysis, project manager, software engineer, UI/UX designer</li><li>Perform research on investment in blockchain and cryptocurrency</li><li>Demonstrates solutions by developing and maintaining technical documentation, flow charts etc.</li><li>Prepare deployment and relevant documents</li></ul><p><strong>Job Requirement:</strong></p><ul><li>Well verse in Java JSP, javascript, html development</li><li>Added advantage if have experience in:- Blockchain, VueJS, SpringMVC, Spring, MyBatisDubbo, Zookeeper</li><li>self motivated and comfortable with rapid iteration</li><li>Demonstrate excellent problem solving and debugging skills</li><li>Able to work as part of an interdisciplinary, or on an individual level taking responsibility for self</li><li>Candidate must possess at least Higher Secondary/STPM/""A"" Level/Pre-U, Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post Graduate Diploma/Professional Degree in Engineering (Computer/Telecommunication) or equivalent.</li><li>Required language(s): English, Mandarin</li><li>At least 5 Year(s) of working experience in the related field is required for this position.</li><li>Preferably Senior Executive specialized in IT/Computer - Software or equivalent.</li><li>Preferable mandarin speaker.</li></ul>",https://www.jobstreet.com.my/en/job/senior-software-engineer-java-5265790
Java Developer,14 hours ago,<p>Hands on knowledge &amp; experience in the following:</p><p>o Git version control</p><p>o API </p><p>o Reactjs</p><p>o Nodejs</p><p>o Java spring boot</p><p>o MongoDB/MySQL/SQL Query</p><p>o SQL/NOSQL</p><p>o Web services</p><p>Additional knowledge &amp; experience in any of the following is a plus</p><p>o ELK</p><p>o Typescript</p><p>o Flutter</p><p>o Mobile hybrid frameworks</p><p>o Digital banking platform experience</p>,https://www.jobstreet.com.my/en/job/java-developer-5266860
Java Programmer,11 hours ago,"<p><strong>Roles and Responsibilities</strong></p><ul><li>Develops software solutions by studying requirements analysis and information needs; studying systems flow, and work processes;</li><li>Performs software design using software development fundamentals and processes, debug, test, and deploy software solutions.</li><li>Design, develop and maintain key modules using well known JAVA IDE, Web and Service Technologies, and Frameworks.</li><li>Implementation of SharePoint-based workflows as well as development of Business Intelligence dashboards.</li><li>Documents and demonstrates solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code.</li><li>Actively participate in product design reviews by providing creative and practical ideas and solutions in a teamwork environment.</li><li>Prepare test based applications for various Java Applications; create technical specifications and test plans</li><li>Monitor everyday activities of system and provide require support; providing technical support for web, desktop or mobile applications</li><li>Develop and Integrate Application with Payment Gateway Module and other backend system.</li><li>Responsible for any changes on User Interface and JSF; Develop reports using reporting tools such as Jasper Reports</li><li>Support and Maintain Database; Create and map database tables and calling from Java code</li><li>Responsible for Bugs fixing, functionalities and requirement changes, and recommend work around.</li><li>Any other duties as assigned by the management.</li><li>Support presales team to present the demo to potential clients</li></ul><p><strong>Requirements and qualifications</strong></p><ul><li>Experience programming in Java, SQL, PLSQL; Possessed web technologies experience in Servets, JSP and JSF; Distributed Technologies experiences in RMI, EJB2.0 or latest;</li><li>Experience with Web server: Tomcat 5.0, 6.0; Application Server: WebLogic 8.0, JBoss, WAS7; ID: My Eclipse, Eclipse</li><li>3 to 5 years of experience as a SharePoint Developer in the analysis, design, hands-on development and delivery of web-based applications.</li><li>Experience with Databases: Oracle, MS SQL, MySQL, and MongoDB.</li><li>Experience with Java Application Framework on Struts, Spring and Hibernate; </li><li>Degree in IT, Computer Science, MIS, or equivalent with programming experience</li><li>Must be motivated, independent and self-sufficient. Able to receive an assigned task and see it through to completion with minimal supervision.</li><li>Must have a strong programming background authoring well written, well documented, modular and clean code.</li><li>Must be well organized, a good communicator, able to effectively prioritize tasks, and manage your projects from concept to production.</li><li>Must be able to write thorough and concise functional and design specifications as well as easily readable end user documentation.</li><li>Must be well able to brainstorm with others, thrive in a collaborative team environment, multi task, and quickly adapt to change.</li><li>Must rely on project management experience and judgment to accomplish goals in a variety of tasks.</li><li>Must have excellent written and oral communication skills, and able to read and write in English.</li><li>Please indicate your <strong><u>expected salary</u></strong> when submitting your resume</li></ul><p>Work location :- Bandar Seri Begawan, Brunei Darussalam</p>",https://www.jobstreet.com.my/en/job/java-programmer-5252167
Java Developer,1-Feb-23,"<p><strong>Responsibilities</strong> </p><ul><li>Contribute in all phases of the development lifecycle</li><li>Write well designed, testable, efficient code</li><li>Ensure designs are in compliance with specifications</li><li>Prepare and produce releases of software components</li><li>Support continuous improvement by investigating alternatives and technologies and presenting these for architectural review</li></ul><p><strong>Requirements</strong></p><ul><li>Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma in Computer Science/Information Technology or equivalent.</li><li>At least 1 Year(s) of working experience in the related field is required for this position.</li><li>Required Skill(s): Java, JBoss, Apache Tomcat, Spring, Eclipse IDE, Java/J2EE</li><li>Preferably Entry Level specialized in IT/Computer - Software or equivalent.</li><li>Proven hands-on Software Development experience</li><li>Proven working experience in Java development</li><li>Hands on experience in designing and developing applications using Java EE platforms</li><li>Object Oriented analysis and design using common design patterns.</li><li>Profound insight of Java and JEE internals (Classloading, Memory Management, Transaction management etc)</li><li>Excellent knowledge of Relational Databases, SQL and ORM technologies (Spring or Hibernate)</li><li>Knowledge in Cloud Environment such as CD/CI, MicroServices, Container as a service is a plus.</li></ul>",https://www.jobstreet.com.my/en/job/java-developer-5250076
Senior Java Developer (Spring Boot) J40058,3-Feb-23,"<p><strong>Career opportunity to involve in a new development project with Singapore Government ministry (large scale implementation):</strong></p><ul><li>New development project using Spring Boot framework &amp; microservices technologies</li><li>Serve as a subject matter expert / advisor in Spring Boot</li><li>Cloud deployment exposure</li><li>Encourage work life balance with 5 days work week arrangement (hybrid)</li></ul><p><strong>Responsibilities:</strong></p><ol><li>Work across the back-end development process to develop solutions</li><li>Build and maintain high performance APIs accessible through mobile applications, web portals &amp; partner services</li><li>Deliver high-quality, secure, maintainable and testable code</li><li>Collaborate with a cross-functional team of developers &amp; designers to create services for public sector</li><li>Participate in Scrum ceremonies such as Spring Planning, Review &amp; Retrospective</li><li>Maintain continuous integration &amp; deployment pipelines to bring value to our users iteratively </li></ol><p><strong>Requirements:</strong></p><ul><li>min. Degree in Computer Science or any relevant discipline</li><li>min. 4 years working experience in software development (focusing back-end or full-stack development)</li><li>Hands-on programming skills such as Java / Kotlin</li><li>Experience in Gradle, JPA, Spring Security, Spring Batch, SQL, etc</li><li>Experience in creation/maintenance of RESTFul APIs </li><li>Experience in automation testing / unit testing</li></ul><p>If you are interest in this opportunity, submit your application now to <strong>spvn(at)scientecpersonnel.com</strong> by indicating<strong> Job ID J40058 </strong>to fasten the process</p><p>Ng Kee Hung (Vickus) - R2091423</p><p>ScienTec Consulting Pte Ltd – 11C5781</p>",https://www.jobstreet.com.my/en/job/senior-java-developer-spring-boot-j40058-10402407/origin/sg
Java Software Engineer,3-Feb-23,"<p><strong>Are you able to create database schemas that represent and support business processes?Can you speak in Mandarin to liaise with our customers in China?Are you Familiar with concepts of MVC and RESTful &amp; continuous integration?</strong> </p><p><strong>In addition to your competitive salary, What do we provide to you for you to succeed?</strong></p><ul><li>You will be remunerated with <strong>annual bonus &amp; yearly salary increment</strong></li><li>We all fall sick sometimes. Worry not, We offer 1<strong>00% paid Medical </strong>for YOU!</li><li>We value work life balance. So you will have a good time in our <strong>Annual Dinner &amp; Weekly activities</strong></li></ul><p><strong>You will play an important role in, but not limited to?</strong></p><ul><li>Ensure the best possible performance, quality, and responsiveness of the applications</li><li>Help maintain code quality, organization, and automatization</li><li>API integration using XML, Json etc</li></ul><p><strong>To be successful in this role, you will need to have?</strong></p><ul><li>Fresh graduates are welcome</li><li>A candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post Graduate Diploma/Professional Degree in Computer Science/Information Technology or equivalent.</li><li>Preferably candidate<strong> specialized in IT/Computer - Software</strong> or equivalent and have an Experience with Spring MVC frameworks with Good knowledge on Redis, MongoDB &amp; PostgreSQL</li><li>Must have <strong>Good understanding of the syntax of Java and its nuances</strong>, fundamental design principles behind a scalable application and object-oriented programming</li><li>Proficient understanding of code versioning tools and software project management tools e.g. SVN &amp; Maven</li></ul><p><strong>Extra points when we assess your application if you</strong></p><ul><li>Skills for <strong>writing reusable Java libraries</strong> that may be used in expressive ways</li><li>Knack for<strong> writing clean, readable Java code</strong></li><li>Implementation of <strong>automated testing platforms and unit tests</strong></li><li>Required language(s): know read and write in <strong>MANDARIN (IS A MUST)</strong></li><li>Candidate must be <strong>able to travel when require. etc. local or oversea.</strong></li></ul><p><strong>As A Successful Software Engineer you must have skills such as:</strong></p><ul><li>Java</li><li>Spring MVC Framework</li><li>Tomcat</li><li>Maven</li><li>MongoDB</li><li>Database &amp; SQL</li><li>REST Web services</li><li>junit / unit test</li><li>mybatis / hibernate</li><li>nosql database (advantages)</li></ul><p> <strong>Are you ready to make that career shift? Let’s talk. Click that ‘Apply Now’ button and you are one step closer to a great career or lease call us to arrange an interview for u!</strong></p>",https://www.jobstreet.com.my/en/job/java-software-engineer-5265584
