jobTitle,postedDate,jobDescription,jobUrl
Software Developer,2-Feb-23,"<p>You will be part of a productive team responsible for the development and maintenance of one or more of our current software products. You will work within an enterprise environment with state-of-art technologies. The opportunity to work with overseas clients and will develop your international client exposure. </p><p><u>Responsibilities:</u></p><p>·        Produce clean, efficient code based on specifications</p><p>·        Integrate software components and third-party programs</p><p>·        Verify and deploy applications and systems</p><p>·        Troubleshoot, debug, and upgrade existing software</p><p>·        Gather and evaluate user feedback</p><p>·        Recommend and execute improvements.</p><p>·        Create technical documentation.</p><p><u>Requirements</u></p><p>·        BSc/BA in Computer Science, IT or a related field.</p><p>·        Familiarity with Agile development methodologies</p><p>·        Familiar with software design and development</p><p>·        Proficient in development languages (Java) and frameworks/systems (Spring, Git)</p><p>·        Experience with databases and Object-Relational Mapping (ORM) frameworks (JPA)</p><p>·        Ability to learn new languages and technologies</p><p>·        Excellent communication skills</p><p>·        Resourcefulness and troubleshooting aptitude</p><p>·        Experience as a Software Developer or similar roles is an added advantage.</p><p>·        Required years of experience 2 year<strong>. </strong><strong>Fresh graduates are encouraged to apply.</strong></p>",https://www.jobstreet.com.my/en/job/software-developer-5264671
Software Developer - Web / Mobile / Interactive (Work From Home),2-Feb-23,"<p>Note that this is a remote work (from home) position.</p><p>The ideal candidate will be responsible for developing high-quality applications. They will also be responsible for designing and implementing testable and scalable code. </p><p>Responsibilities</p><ul><li>Develop web, mobile and interactive applications</li><li>Analyze and maintain existing software applications</li><li>Design highly scalable, testable code</li><li>Discover and fix programming bugs</li><li>Manage and meet project deadlines</li></ul><p>Qualifications</p><ul><li>Development experience with programming languages such as C#, ASP.NET</li><li>Fluent in scripting HTML, CSS and JavaScript.</li><li>SQL database or relational database skills</li></ul><p>Interested candidates are invited to apply online with a comprehensive resume, via the <strong>APPLY NOW</strong> button below.</p><p>We regret that only shortlisted candidates will be notified.</p><p>Thank you for applying.</p>",https://www.jobstreet.com.my/en/job/software-developer-web-mobile-interactive-work-from-home-10397683/origin/sg
Software Engineer,1-Feb-23,"<p><strong>This is What You Will do in This Role:</strong></p><p>Be part of a team designing, documenting, developing and delivering software products, specifically responsible for the following as appropriated by the Team Leader or Project Manager for that project:</p><ul><li>Developing software modules using Python/ Java</li><li>Unit Test specification using test driven development (TDD)</li><li>Writing complex SQL Server queries and stored procedures with high performance</li><li>Functional and Interface Specifications</li><li>Integration of software components into Dematic warehouse systems</li><li>Attending site during software commissioning phases to ensure that integration testing and site acceptance testing is completed</li><li>Site Test Specification/Reports</li><li style=""margin-left:30px"">Take a leading role in software documentation, development, configuration and testing on assigned projects</li><li style=""margin-left:30px"">Participate in reviews (document, design, functionality and code reviews)</li><li style=""margin-left:30px"">Agree time schedules for work with Team Leaders and Project Managers and meet these Actively contribute to the improvement of software development processes</li><li style=""margin-left:30px"">Training customers and key users on installed applications</li></ul><p><strong>What We are Looking For:</strong></p><ul><li>Bachelor degree qualifications in Software or Computer Engineering</li><li>Minimum 2 years of Python/ Java programming experience</li><li>Extensive experience using languages, design techniques and tools as used in IT Development</li><li>2 years of experience developing software in a similar application domain, or a domain that presents similar problems to IT Development</li><li>Experience using languages, design techniques and tools as used in IT Development</li><li>Knowledge of relational databases (Oracle, MSSQL)</li><li>Enthusiasm for software development and innovation</li><li>Strong time management and organization skills</li><li>Superior written and verbal communication skills</li><li>Ability to manage multiple projects simultaneously</li></ul><p><strong>Benefits:</strong></p><ul><li>Training will be provided</li></ul>",https://www.jobstreet.com.my/en/job/software-engineer-5263496
Senior Software Developer (C# .Net),6 hours ago,"<p><strong>About Us:</strong></p><p>Our mission is to elevate leading brands through unforgettable digital connections with their customers. Sitecore delivers a composable digital experience platform that empowers the world’s smartest and largest brands to build lifelong relationships with their customers. A highly decorated industry leader, Sitecore is the leading company bringing together content, commerce, and data into one connected platform that delivers millions of digital experiences every day. Thousands of blue-chip companies including American Express, Porsche, Starbucks, L’Oréal, and Volvo Cars rely on Sitecore to provide more engaging, personalized experiences for their customers. Learn more at Sitecore.com.</p><p>Sitecore’s foundation is our diverse group of passionate, smart, innovative, and collaborative individuals located across four continents and over 25 countries. Having a wide range of perspectives, experiences, and skills is what makes us the company we are today. The Sitecore values are what drive and unite us across the globe.</p><p><strong>About the Role:</strong></p><p>Sitecore is experiencing spectacular growth all over the world. To build on Sitecore’s success and growth, we are looking for a skilled Senior Software Developer to work as part of our Product Development department. You will help in designing and building scaled, multi-tenant and high-performance product features while working with other experienced engineering team members in delivering high quality releases, improving solution robustness and performance/scalability.</p><p><strong>What you’ll Do:</strong></p><ul><li>Develop high-quality codes on features, bug fixes and hotfixes according to Sitecore guidelines.</li><li>Build and maintain CI/CD pipeline for continuous solution delivery to staging and production environments.</li><li>Actively demonstrate software engineering best practices throughout product development and maintenance.</li><li>Maintain close collaboration and effective communication with Development Manager, Lead Developer, Lead QA, team members and other stakeholders.</li><li>Understand the business requirements and design software solution to ensure the requirements are met. Knowledge and adherence to the Agile/Scrum work principles.</li></ul><p><strong>What you need to Succeed:</strong></p><ul><li>Excellent experience in object-oriented programming and scripting language: C#.NET, and PowerShell.</li><li>Good experience in version control system: Git and branching strategy.</li><li>Good experience in database: SQL Server and NoSQL storages.</li><li>Good experience in DevOps and CI/CD development environments and best practices.</li><li>Good experience in implementing unit test and integration test: NUnit, XUnit.</li><li>Good experience in using development tools: Visual Studio, VSCode, Resharper.</li><li>Good knowledge in programming principles: SOLID, DRY, KISS, YAGNI, clean code &amp; refactoring.</li><li>Good knowledge in evolutionary architecture: Microservices, Fitness Function, Antipatterns.</li><li>Experience with cloud-based solutions (Microsoft azure).</li></ul><p><strong>Additional Skills that Could set you apart:</strong></p><ul><li>Proactive attitude and solution minded.</li><li>Outside of the box thinker with strong critical thinking skills.</li><li>Experience in Kubernetes is a plus.</li><li>Experience in SpecFlow and Postman is a plus.</li><li>Working experience in a SaaS based company or project is a plus.</li></ul><p><strong>Why you should click ‘Apply’:</strong></p><ul><li>We are passionate about new technologies and growing! We are tapping into an exciting $30B market opportunity that is still very much in its infancy and feel. It’s never been a better time to join Sitecore as we look to grow by 30% YoY. Growth for us means growth for you and your career.</li><li>Great team and company culture! You can find out more about our company culture, a typical day in the Engineering team, and our commitment to creating a diverse and inclusive workplace, on our YouTube Channel. Thanks to the work of every employee globally, Sitecore has been recognized for award-winning Culture by Comparably.</li></ul>",https://www.jobstreet.com.my/en/job/senior-software-developer-c-.net-5266199
Senior Software Developer,2-Feb-23,"<p><strong>About Us</strong></p><p>Episub is a small company/team owned and run by a software engineer. We're located in Victoria with a focus on Melbourne. Among other things, we develop software for the aged care sector, working on products to help aged care companies automate their processes and provide better care to their clients.</p><p>Some of the technologies that we work with:</p><ul><li>Go for back-end services</li><li>React or HTMX/HTML/CSS for the front-end</li><li>PostgreSQL for the database</li><li>Docker containers for deployment on Linux hosts</li><li>Kubernetes in the cloud for hosting</li><li>GCP and Azure for cloud</li></ul><p><strong>About You</strong></p><ul><li> 5+ years experience working professionally as a developer</li><li>3+ years working in another static typed language (C/C++, Typescript, Java, Rust, etc) OR 1+ years working as a Go software developer</li><li>Understand SQL and able to competently write SQL (Postgres preferred but not required)</li><li>Experienced working with the web and its underlying technologies (HTML/CSS)</li><li>Capable of taking a task from idea to completion and deployment</li><li>Comfortable with Linux, Docker, and git</li><li>Able to navigate the Go ecosystem, and manage tooling around Go projects</li></ul><p><strong>Responsibilities</strong></p><ul><li> Communicating directly with clients around timelines, features, and testing</li><li>Work as part of a small team</li><li>Take responsibility for the back end as well as writing some HTML/CSS, building features, fixing bugs, updating, and maintaining packages</li><li>Take a new feature from idea to deployment</li><li>Ensuring the repeatability of development environment through appropriate Docker configurations (testing and production)</li></ul><p><strong>Benefits</strong></p><ul><li>Opportunities for salary increases as you grow</li><li>Remote working focused</li><li>Flexible working hours</li><li>Small team where you may play a significant role in decision making</li><li>In many cases, direct contact with the client to make sure you’re delivering the right solutions</li><li>Deliver valued features quickly</li><li>Opportunities to learn new skills as part of your day to day work</li></ul><p><strong>Work Remotely</strong></p><ul><li> Remote or office work is available as you prefer, but if working remotely we may require you to visit the office from time to time.</li></ul><p><strong>Job Types</strong>: Full-time, Permanent</p><p><strong>Salary</strong>: RM15,000.00 - RM18,000.00 per month</p><p><strong>Benefits:</strong></p><ul><li> Flexible schedule</li><li>Health insurance</li><li>Maternity leave</li><li>Professional development</li></ul><p><strong>Schedule:</strong></p><ul><li>Day shift</li><li>Fixed shift</li><li>Flexible hours</li><li>Monday to Friday</li></ul>",https://www.jobstreet.com.my/en/job/senior-software-developer-5258169
(Senior) Software Engineer / Fullstack Developer,1-Feb-23,"<p>Job Description</p><ul><li>Responsible for the full life cycles of software development of enterprise payment solutions,, from research and analysis to code architect (security, performance, scalability etc), design and execution (coding, testing, benchmarking, deployment)</li><li>Involve in multiple areas in software development such as front end clients (mobile, web, client apps), libraries/SDKs/plug-ins, middleware, APIs, backend, database, 3rd party integrations, reporting &amp; analytics, etc</li><li>Map business requirements to system architecture and system module design</li><li>Involve in project/product/system customization, integration and certification</li><li>System monitoring, maintenance, support and troubleshooting</li><li>Collaborate with team members, peers design/code reviews, daily stand up meetings</li><li>Work under guidance and mentorship from technical lead/manager</li><li>Prepare and conduct technical workshops</li><li>R&amp;D on latest technology stack</li><li>Write technical documents such as design documents, API/SDK documents, user manuals, etc.</li></ul><p>Job Requirement</p><ul><li>Bachelor degree in Computer Science, Software Engineering or relevant field.</li><li>Minimum 3 years related working experience (Senior), fresh graduates are encouraged to apply</li><li>Strong knowledge of common algorithms and data structures</li><li>Familiar with cryptography (symmetric/asymmetric, hash, signatures)</li><li>Proficiency in Linux OS and Linux commands</li><li>Proficiency in one or more of the following Cloud Computing (AliCloud, AWS, Google Cloud, Azure)</li><li>Proficiency in JavaScript/TypeScript, HTML5, CSS</li><li>Proficiency in one or more of the following Object Oriented languages: C++/C#, Go-Lang, Java, PHP, Rust</li><li>Proficiency in NodeJS, NPM, GIT repositories, open source tools &amp; technologies</li><li>Proficiency in Database (MySQL, PostgreSQL, MongoDB, MSSQL, etc).</li><li>Reading and writing skills in English.</li><li>A good understanding of the latest technology trends. </li><li>Work under minimum supervision, strong sense of responsibility, initiative, and commitment.</li></ul><p>Preferred / Added Advantages</p><ul><li>Transactional System Experience (E-commerce, Payment, Banking, etc)</li><li>Proficiency in VueJS, ReactJS, AngularJS</li><li>Proficiency in Key Value Databases (Redis, LevelDB, etc)</li><li>Proficiency in RabbitMQ, Kafka, websocket, etc</li><li>Proficiency in Docker Container Technologies, Kubernetes</li><li>Proficiency in Big Data Analytics</li><li>DevOps Experience (CI/CD, Coverage Test)</li><li>Experience working with open-source projects and community activities</li></ul><p>Personal Attributes</p><ul><li>Exceptional analytical reasoning, troubleshooting, problem-solving, critical thinking, and creative thinking skills. </li><li>Curiosity, open-mindedness, and an unfailingly positive attitude.</li><li>Clear and professional written and verbal communication skills.</li><li>Highly capable of executing in a fast-paced, virtual, changing environment.</li><li>Humble attitude and disciplined work ethic.</li><li>Extremely self-driven and able to execute in a diligent manner.</li><li>Highly organized and detail-oriented.</li></ul>",https://www.jobstreet.com.my/en/job/senior-software-engineer-fullstack-developer-5234766
Software Engineer - Backend Developer,31-Jan-23,"<ul><li>Responsible to involve all aspects of the software life cycle including gathering requirements for the business, analysis of existing systems/functionality, design and implementation.</li><li>Design, develop, and maintain web applications, testing for the system.</li><li>Maintain existing web application and back-end application.</li><li>Identify and solve complex problems using all available methods and resources.</li><li>Performs complex data processing and analysis regularly to provide informative report for decision making.</li><li>Work closely with different teams on system integration.</li><li>Handle other ad-hoc tasks as assigned.</li></ul><p><strong>Job Requirements</strong></p><ul><li>Candidate must possess at least a Bachelor’s Degree in Computer Science/Information Technology or equivalent</li><li>At least 1 years’ experience in programming language - .NET core / Python / JavaScript / React / React Native / C++ / C# / Java / VUE (either one)</li><li>Knowledge .Net Core 5.0 framework is a definite advantage.</li><li>Self-motivated, eager to learn, responsible, able to work in a team.</li><li>Proficiency in Mysql.</li><li>Good communication and analytical skills.</li><li>Candidates fluent in mandarin preferred as role requires candidate to deal with mandarin speaking clients.</li></ul><p><strong>What do we provide you to succeed in this role:</strong></p><ul><li>Attractive remuneration and package will be commensurate with experience and qualification</li><li>An attractive compensation packages</li><li>Flexi work-life hours - 5 working days.</li><li>Opportunities for growth and advancement awaits the successful candidate.</li><li>Your Medical Claims Are on Us</li></ul><p><strong>Other Benefits</strong></p><ul><li>Festival celebration &amp; gift</li><li>Afternoon teas &amp; soft drink, snack</li><li>so on and so forth</li></ul>",https://www.jobstreet.com.my/en/job/software-engineer-backend-developer-5261710
Software Developer,2-Feb-23,"<p>We are looking for four (4) talented software developers who are well versed with front-end and back-end web development. If you're someone who would have more than 1-2 years of experience as a software developer, and would not mind spending your time reading code, experimenting with code, writing bug free code, and caring about your craft, let's join us! </p><p><strong>Your responsibilities</strong> in Merimen, other than raiding our well stocked pantries for your breakfast needs, will be as follows:</p><ul><li>Responsible for the development, enhancement, testing, implementation and maintenance of the products and services. </li><li>Learn to architect and craft great solutions to challenging problems,</li><li>Build modules that amplify the value of our core insurance solutions engine,</li><li>Visualize and prototype intuitive, responsive front-end UIs, </li><li>Achieve mastery of web development for B2C/B2B e-commerce, and the insurance industry.</li><li>A one month internal training program will bring you up to speed with the relevant web and database technologies and insurance knowledge.</li></ul><p><strong>Our ideal candidate will have some of the following skills:</strong></p><ul><li>Required skills: Javascript, HTML, CSS, PHP, Laravel or Coldfusion</li><li>Database - MSSQL, PostgreSQL, MySQL, Oracle, MongoDB, SQLite</li><li>Knowledge in Jquery, NodeJS, Bootstrap, and mobile-responsive skills is a plus</li><li>Experience in REST/SOAP APIs with JSON/XML</li><li>Strong fundamental principles of website development, programming and application design</li><li>Good understanding of web browser compatibility modes, and resourcefulness to work around them</li><li>A keen interest to learn!</li><li>Fresh graduates are encouraged to apply!</li></ul><p>If you have many of the strengths listed above, we would like to speak with you.</p><p><strong>​What you will get when you join us:</strong></p><ul><li>Insurance for yourself/spouse &amp; family (income protection/health/life).</li><li>Optical and dental reimbursement.</li><li>15 days annual leaves.</li><li>Fair work life balance – 9am to 6pm.</li><li>Fun &amp; cozy workplace &amp; colleagues.</li><li>Career Advancement Opportunities.</li></ul><p>Our cloud-based insurance products are used by many local and multi-national insurance companies. If we hire you, you will be at the heart of the product development, and at the forefront of web development technologies. As the HQ and development centre, there is plenty of scope for your career growth.</p><p>So, what are you waiting for? Click on the ‘<strong>Apply Now</strong>’ button and let’s talk soon!</p>",https://www.jobstreet.com.my/en/job/software-developer-5264976
Software Developer/Programmer,8 hours ago,"<p>As a fast-evolving stock-broking company in Malaysia, we are looking for competent, efficient and dynamic team players to join our IT team.</p><p>We are expanding our IT development team &amp; looking for self-driven individual or fresh graduates with the ability to develop our software to be at the forefront of our stockbroking peers with innovative and user friendly solutions. Please refer to the job responsibilities and requirement for specifics details about the position.</p><p>(Fresh Graduates are Encouraged to Apply!)</p><p><strong>Responsibilities</strong></p><ul><li>To recommend and execute improvements by gather and evaluate user feedback.</li><li>Work with team to design and develop software solutions in accordance to requirements gathered. The activities include studying and creating functional specification documents, conferring with users and internal team members, understand system flow, detailed work processes and problem solving.</li><li>Document down solutions, including flowcharts, layouts, diagrams, charts, code comments and clear codes.</li><li>To integrate software components and 3rd party applications as necessary.</li><li>Support testing, troubleshooting, and debugging of existing software applications solutions.</li><li>Design and deliver end-user training and training materials; provide technical support as necessary.</li><li>Observe good coding practices as defined by the company or generally accepted industry standard.</li><li>Able to follow-up and follow-through tasks on hand.</li><li>Able to handle and master assigned tasks, plan and deliver assigned tasks on time. Take full ownership of assigned tasks and assumed responsibility to ensure good quality and successful outcome.</li><li>Work collaboratively with others to achieve agreed goals.</li><li>Adhere to SDLC on all CRs, enhancements, bugs and issues fix made in systems.</li></ul><p><strong>Requirements</strong></p><ul><li>Diploma / Degree in Computer Science, Information Systems or equivalent.</li><li>Knowledge in banking / stock broking will be advantaged (Fresh Grad is encouraged to apply).</li><li>Strong technical skills in one or more of the following: ASP.NET, C#, PHP, HTML/CSS, Ajax/jQuery, Java, Front End Framework.</li><li>Experience with MS SQL/MySQL databases.</li><li>Possess experience in Web service/API integration (SOAP, REST, JSON, XML etc), development using web technologies and building web &amp; native apps. </li><li>Ability to update knowledge by studying latest development tools, programming techniques computing equipment, and industry knowledge.</li><li>Ability to work under pressure with minimal supervision with good time-management skills to meet tight deadlines.</li><li>Strong analytical &amp; problem solving skills, creative, hardworking, modest and good teamwork.</li><li>Strong project documentation &amp; communication skills.</li><li>Experience in MSVS, Team Foundation Server, Azure DevOps, Crystal Reports &amp; Reporting Services will be advantageous.</li></ul>",https://www.jobstreet.com.my/en/job/software-developer-programmer-5266001
Java Software Engineer,18 hours ago,"<p>iZeno was founded in 2003 to provide enterprises with custom-built technology solutions they need to keep their business running seamlessly. Logicalis Asia, part of the Logicalis Group, a leading international IT solutions and managed services provider, has acquired a majority stake in iZeno, a company specializing in digital transformation, application modernization, DevOps, customer experience and hybrid cloud solutions.</p><p>With a team of 120+ in-house innovators, we have delivered over 500 Enterprise Solutions, implemented, and optimized to enable smarter insights. Our team draws on industry experiences in accomplishing a portfolio of mission-critical applications, integrating Cloud, CRM, Data Analytics, and other leading technologies with our clients’ existing IT frameworks.</p><p>With leading presence in the region, headquartered in Singapore and operation in Malaysia, Indonesia, Thailand and Philippines, no project is too complex for us, and our team is always ready for a new challenge.</p><p><strong>The Role:</strong></p><ul><li>Executing delivery of both client and internal project</li><li>Follow through the entire Software Development Life Cycle</li><li>Interpret systems specifications to develop, maintain and support application implementation.</li><li>Provide technical expertise in identifying, evaluating and implementing systems and procedures to meet user requirements.</li><li>Configure system settings and options and execute acceptance testing.</li><li>Analysis, development and implementation using JAVA and Spring Boot.</li></ul><p><strong>What we are looking for:</strong></p><ul><li>3 years’ experience in a relevant role.</li><li>Ability to interact and communicate effectively and openly with all levels of management, users and vendors.</li><li>Familiar with JAVA and Spring Boot Framework.</li><li>Willing to pick up and learn new software and technologies.</li><li>Strong documentation and solution design skills</li><li>Analytical with good problem-solving skills</li><li>Experience with integration project</li><li>Familiarity with Apache Camel, RedHat (Fuse, AMQ), Containers, and DevOps will be advantageous.</li></ul><p><strong>What we are offering:</strong></p><ul><li>An exciting job with latest technology</li><li>Continuous training &amp; development of soft and hard skills</li><li>A competitive salary commensurate with your profile</li><li>A package of benefits including healthcare insurance</li><li>Hybrid working</li><li>An awesome team of colleagues &amp; regular team building</li><li>The ability to work with the world’s leading companies in technology and</li><li>An environment where we embrace openness, transparency and grab every opportunity to have fun, while always doing what is right for our customers and partners.</li></ul>",https://www.jobstreet.com.my/en/job/java-software-engineer-5255134
