jobTitle,postedDate,jobDescription,jobUrl
Database Administrator,2-Feb-23,"<p><strong>Job Responsibilities:</strong></p><ul><li>Determines database structural requirements by analyzing client operations, applications, and programming; reviewing objectives with clients; evaluating current systems;</li><li>Develops database solutions by designing proposed systems; defining database physical structure and functional capabilities, security, back-up, and recovery specifications.</li><li>Maintains database performance by identifying and resolving production and application development problems; calculating optimum values for parameters; evaluating, integrating, and installing new releases; completing maintenance; answering user questions.</li><li>Provides database support by coding utilities, responding to user questions, and resolving problems.</li><li>Updates job knowledge by participating in educational opportunities; reading professional publications; maintaining personal networks; and participating in professional organisations.</li><li>To be responsible for MySQL database daily management, including database security planning, database clusters, upgrade planning, permission configuration, backup, performance optimization, log analysis, data migration, recovery specifications, analysis, as well as solving unexpected incidents.</li><li>To be responsible for MongoDB performance optimization and adjustment, MongoDB construction and maintenance, as well as MongoDB upgrade, back-up, recovery and data migration.</li><li>To evaluate, integrate, and install new releases, including complete maintenance and to answer user inquiries.</li><li>To perform capacity planning and architecture design for the database according to the business development trends in order to improve data disaster recovery.</li><li>To assess database implementation procedures to ensure they comply with internal and external regulations.</li><li>To prepare accurate database design and architecture reports for teams and management.</li><li>To monitor the system performance by performing regular tests and troubleshooting.</li></ul><p><strong>Job Requirement :</strong></p><ul><li>Candidates must possess at least a Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Computer Science/Information Technology or equivalent.</li><li>Preferably candidates who are proficient/familiar with MySQL and MONGODB database operating mechanism/architecture, including performance optimization and adjustment.</li><li>Proficiency in writing debugging procedures, functions and SQL statements. </li><li>Candidate who is experienced in AWS / Microsoft Azure is a plus point. </li><li>Preferably candidates with strong troubleshooting skills, have good technical sense and ability in document integration.</li><li>Preferably candidates who are eager to learn new technology. </li><li>Prefer candidates who are fluent in mandarin as the role requires candidates to deal with mandarin speaking clients.</li></ul><p><strong>职责</strong>：</p><p>* 从设计到实施、持续管理和支持，全面负责支持数据库基础架构 </p><p>* 担任数据库团队成员，负责管理和支持 IT 数据库系统、服务可用性和容量 </p><p>* 进行数据库系统维护，包括故障排除、性能监控和调优 </p><p>* 设计DB架构和执行定时备份方案</p><p>* 审查现有的数据库基础设施并管理增强/改进计划 </p><p>* 提供数据库系统的调查、诊断测试和解决方案</p><p><strong>要求</strong>：</p><p>* 拥有计算机科学/信息技术学位或同等学历，在大型组织中拥有超过3年的数据库管理经验 </p><p>* 拥有MySQL、MONGODB数据库的管理经验 </p><p>* 在 AWS / Microsoft Azure 服务方面的实践经验是额外的优势</p><p>* 精通数据库设计和解决数据库问题</p><p>* 能够与不同级别的同事和供应商沟通</p><p>* 能够管理数据库系统项目</p><p>* 愿意学习新的 IT 技术</p><p>* 优先考虑普通话流利的候选人，因为该职位要求候选人与会说普通话的客户打交道。</p><p> <strong>Benefits of this role:</strong></p><ul><li>13th Months Salary (upon Company Declaration)</li><li>Project Incentive (upon Company Declaration based on project performance)</li><li>Transport, Meal, Birthday Allowances (upon Confirmation)</li><li>Medical + Dental claim</li><li>Sports Activities (Badminton &amp; Basketball),</li><li>Team Building activities</li><li>Training and certification sponsored by company (Selected employees).</li><li>Rewards and recognition: Long Service Award / Best Performer Award / Role Model Awards etc</li><li>Smart casual attire</li><li>Yearly annual dinner</li></ul>",https://www.jobstreet.com.my/en/job/database-administrator-5264045
Software Developer (MS SQL and Store Procedures),31-Jan-23,"<p>Our company is looking for a Software Developer who is capable of building applications and integration services. Your primary role is to develop customization for financial system and customer communication management applications, configure the systems and provide user support. Further, you will have to work smoothly with the entire team working on various levels of management.</p><p>You should be able to write the functional code, develop, customize, configure and have the eye to spot problems instantly. Your end goal should be to design, develop and maintain a software system.</p><p><strong>Main Job Responsibilities</strong></p><ol><li>Study, analyze and prepare requirement and technical specifications based on user’s requests to develop customized reports or enhanced application program</li><li>Provide level 1 and 2 application support to PeopleSoft Financial and OpenText Exstream pertaining to software functionality, gap analysis, database tuning, product performance analysis, bug fixing.</li><li>Collaborate with business users, vendors and other team members to provide effective IT services/support and quality deliveries.</li><li>Active involvement in UAT/production support to ensure system availability and stability.</li><li>Evaluate emerging technology and competitive solutions in tandem with business and company’s IT plans.</li><li>Ensure unit’s conformance to System Development Standard as defined by the Department. This includes understanding and using approved programming methodologies.</li><li>Attend to training as planned and fulfilled the minimum training hours as required.</li><li>Other duties as required by the management</li></ol><p>TECHNICAL SKILLS</p><ul><li> Minimum 3 years of working experience in software development and application support</li><li>Good programming skills and experience in object oriented programming</li><li>Wiling to learn propriety tool and language.</li><li>Ability to resolve technical issue.</li><li>Experienced in MS SQL Server Databases and Store Procedures</li><li>Experienced in scripting like batch script and powershell</li><li>Experienced in web development technologies like HTML, CSS, Javascript, XML</li><li>Experienced in reporting tools like Crystal Report, Jasper.</li><li>Exposure to Peoplesoft Financials, Exstream, Dynamic 365, Camra/Antares,</li><li>Having insurance business knowledge would be a bonus.</li></ul>",https://www.jobstreet.com.my/en/job/software-developer-ms-sql-and-store-procedures-5261937
ERP Specialist (Oracle Cloud),30-Jan-23,"<p><strong>Employer Background</strong></p><p>Precast Concrete Products and Prefabricated Bathroom Units Manufacturer</p><p><strong>Position Title</strong></p><p>Application Specialist</p><p><strong>Job Requirements:</strong></p><ul><li>Support and troubleshoot <strong>Oracle Fusion Cloud ERP Modules such as Manufacturing, Costing and Finance.</strong> Oracle Transaction BI Reports and BI Publisher Reports.</li><li>Analyse user needs and develop software solutions that support day to day solutions, including Complex BI reports with the aim of optimizing operational efficiency</li><li>Identify opportunities for system enhancements that will deliver enhanced functionality and/or simplify users’ daily operational process.</li><li>Configure and test changes to system including reports, security access, and workflow</li><li>Perform/coordinate configuration changes to the production environment</li><li>Act as first point of contact with our vendors for the resolution of functionality and performance issues</li><li>Resolve functional and system errors as identified by Business Partners, including determining cause of incorrect data entry and infrastructure/database issues</li><li>Coordinate with source data providers (i.e. in-house Software Engineers or third parties) to isolate problems</li><li>Coordinate activity between various business functional teams, IT and 3rd party support team to drive open action items to closure</li><li>Work with other IT teams to resolve infrastructure related problems (i.e. Server, Network, Database) where appropriate</li><li>Plan, develop and implement large-scale projects from conception to completion.</li><li>Participate and coordinate disaster recovery exercise</li><li>Any other job function assigned and new responsibilities may be added as and when necessary from time to time. </li></ul><p><strong>Preferred Qualifications:</strong></p><ul><li>Diploma or Degree in any discipline</li><li><strong>Minimum 7 years’ experience in Manufacturing Industry supporting ERP (Finance, Costing, Manufacturing modules)</strong>; <strong>Oracle Fusion Cloud experience is an advantage.</strong></li><li>Experience with Reporting Tool such as Oracle Transaction BI, BI Publisher is an advantage</li><li>Experience in software administration, testing and evaluating commercial off the shelf programs is an advantage.</li><li>Good oral and written communication, analytical and problem solving skills</li><li>Attention to detail, patience and a positive customer centric attitude</li><li>Experience in troubleshooting and facilitating of production issues with testers and 3rd party support team to drive towards root cause identification and resolution</li><li>Experience with drafting and executing integration test, prepare end-user training material, train end users, coordinate UAT and monitor any configuration/code fix where applicable.</li><li>Provide deployment and post deployment support. Complete all documentation as per company guidelines.</li><li>Responsible for preparing and delivering the Deployment/Release Documents.</li><li>Ability to maintain confidentiality with sensitive information is required. </li></ul>",https://www.jobstreet.com.my/en/job/erp-specialist-oracle-cloud-5260763
Senior Software Developer (C# .Net),22 hours ago,"<p><strong>About Us:</strong></p><p>Our mission is to elevate leading brands through unforgettable digital connections with their customers. Sitecore delivers a composable digital experience platform that empowers the world’s smartest and largest brands to build lifelong relationships with their customers. A highly decorated industry leader, Sitecore is the leading company bringing together content, commerce, and data into one connected platform that delivers millions of digital experiences every day. Thousands of blue-chip companies including American Express, Porsche, Starbucks, L’Oréal, and Volvo Cars rely on Sitecore to provide more engaging, personalized experiences for their customers. Learn more at Sitecore.com.</p><p>Sitecore’s foundation is our diverse group of passionate, smart, innovative, and collaborative individuals located across four continents and over 25 countries. Having a wide range of perspectives, experiences, and skills is what makes us the company we are today. The Sitecore values are what drive and unite us across the globe.</p><p><strong>About the Role:</strong></p><p>Sitecore is experiencing spectacular growth all over the world. To build on Sitecore’s success and growth, we are looking for a skilled Senior Software Developer to work as part of our Product Development department. You will help in designing and building scaled, multi-tenant and high-performance product features while working with other experienced engineering team members in delivering high quality releases, improving solution robustness and performance/scalability.</p><p><strong>What you’ll Do:</strong></p><ul><li>Develop high-quality codes on features, bug fixes and hotfixes according to Sitecore guidelines.</li><li>Build and maintain CI/CD pipeline for continuous solution delivery to staging and production environments.</li><li>Actively demonstrate software engineering best practices throughout product development and maintenance.</li><li>Maintain close collaboration and effective communication with Development Manager, Lead Developer, Lead QA, team members and other stakeholders.</li><li>Understand the business requirements and design software solution to ensure the requirements are met. Knowledge and adherence to the Agile/Scrum work principles.</li></ul><p><strong>What you need to Succeed:</strong></p><ul><li>Excellent experience in object-oriented programming and scripting language: C#.NET, and PowerShell.</li><li>Good experience in version control system: Git and branching strategy.</li><li>Good experience in database: SQL Server and NoSQL storages.</li><li>Good experience in DevOps and CI/CD development environments and best practices.</li><li>Good experience in implementing unit test and integration test: NUnit, XUnit.</li><li>Good experience in using development tools: Visual Studio, VSCode, Resharper.</li><li>Good knowledge in programming principles: SOLID, DRY, KISS, YAGNI, clean code &amp; refactoring.</li><li>Good knowledge in evolutionary architecture: Microservices, Fitness Function, Antipatterns.</li><li>Experience with cloud-based solutions (Microsoft azure).</li></ul><p><strong>Additional Skills that Could set you apart:</strong></p><ul><li>Proactive attitude and solution minded.</li><li>Outside of the box thinker with strong critical thinking skills.</li><li>Experience in Kubernetes is a plus.</li><li>Experience in SpecFlow and Postman is a plus.</li><li>Working experience in a SaaS based company or project is a plus.</li></ul><p><strong>Why you should click ‘Apply’:</strong></p><ul><li>We are passionate about new technologies and growing! We are tapping into an exciting $30B market opportunity that is still very much in its infancy and feel. It’s never been a better time to join Sitecore as we look to grow by 30% YoY. Growth for us means growth for you and your career.</li><li>Great team and company culture! You can find out more about our company culture, a typical day in the Engineering team, and our commitment to creating a diverse and inclusive workplace, on our YouTube Channel. Thanks to the work of every employee globally, Sitecore has been recognized for award-winning Culture by Comparably.</li></ul>",https://www.jobstreet.com.my/en/job/senior-software-developer-c-.net-5266199
"Software Engineer / Java Developer ( MNC , Semiconductor , JAVA , Oracle SQL ) - URGENT HIRING!!!",14-Jan-23,"<p><strong>Responsibilities</strong>:</p><ul><li>Design, develop, maintain and continuous improvements of assigned Computer Integrated Manufacturing (CIM) applications and components</li><li>Provide 24/7 Level 2 &amp; 3 support for the proper operation of Production lines</li><li>Gather requirements, design, develop and deploy new versions of CIM applications especially Equipment Manager automation solutions</li><li>Responsible for documentation of requirements and coordination of enhancements in the assigned area</li><li>Plan, coordinate, and conduct training for assigned applications</li><li>Work with the other IT teams to achieve the common goal of better system response time and system availability</li><li>Work with other departments for productivity enhancements, error or cost reductions and other improvement projects</li></ul><p><strong>Requirements</strong>:</p><ul><li>Diploma in Computer Science, Engineering, or equivalent fields with minimum 2 years of working experience in Equipment Manager automation solutions would be considered</li><li>Experience in Java development, SEMI Equipment Communication Standard (SECS), Oracle SQL and/or Tibco is an added advantage</li></ul><p><strong>HOW TO APPLY:</strong></p><p><strong>Interested applicants, please click on “Apply Now” and provide the below details in your resume.</strong></p><p><strong>We regret only shortlisted candidates will be notified.</strong></p><p><strong>Important Note: Trust Recruit Pte Ltd is committed to safeguarding your personal data in accordance with the Personal Data Protection Act (PDPA).</strong></p><p><strong>Please read our privacy statement on our corporate website www.trustrecruit.com.sg.</strong></p><p><strong>Trust Recruit Pte Ltd      </strong></p><p><strong>EA License No: 19C9950</strong></p><p><strong>EA Personnel: Tan Jia Cheng</strong></p><p><strong>EA Personnel Reg No: R22110254</strong></p>",https://www.jobstreet.com.my/en/job/software-engineer-java-developer-mnc-semiconductor-java-oracle-sql-urgent-hiring!!!-10346373/origin/sg
Urgent // Senior Games Programmer ( Game / C / C++ / Java / SQL / MNC),8-Jan-23,"<p><strong>Highlights:</strong></p><ul><li><strong>Japanese MNC</strong></li><li><strong>Great career progression</strong></li></ul><p><strong>Responsibilities:</strong></p><ul><li>Develop and support the architecture, design and programming for social games target at the Global market.</li><li>Write high quality and performance driven codes</li><li>Estimate project schedules / cost, anticipate and prepare for changes and obstacles.</li><li>Collaborate with Game Designers, devise plans to ensure player satisfaction and high quality standards</li><li>Lead and guide Game Programmers in their respective duties.</li></ul><p><strong>Requirements:</strong></p><ul><li>Min 3 years of relevant working experience in mobile gaming and/or apps development</li><li>Strong knowledge in C / C++ / Java / Javascript (JQuery) / PHP / HTML5 / Experience working with Development Engine (Unity and/or Unreal)</li><li>Experience working with Database Management Systems (mySQL or noSQL)</li><li>Experience working with server and network architecture and scripting</li></ul><p><strong>HOW TO APPLY:</strong></p><p>Interested applicants please send your latest resume in <strong>MS WORD</strong> format to <strong>ref27(at)trustrecruit.com.sg</strong> or click on <strong>“Apply Now”</strong> and provide the below details in your resume.</p><ol><li>Current salary (breakdown)</li><li>Expected salary</li><li>Notice period</li><li>Reason of leaving</li></ol><p>We regret only shortlisted candidates will be notified.</p><p>Important Note: Trust Recruit Pte Ltd is committed to safeguarding your personal data in accordance with the Personal Data Protection Act (PDPA).</p><p>Please read our privacy statement on our corporate website www.trustrecruit.com.sg.</p><p>Trust Recruit Pte Ltd    </p><p>EA License No: 19C9950</p><p>EA Personnel: Tan Yee Chean (Chester)</p><p>EA Personnel Reg No: R22110448</p>",https://www.jobstreet.com.my/en/job/urgent-senior-games-programmer-game-c-c-java-sql-mnc-10322242/origin/sg
BI Developer,5-Jan-23,"<p><strong>Responsibilities:</strong></p><p>• Communicate with nontechnical business users to determine specific business requirements for </p><p>reports and business intelligence solutions</p><p>• Define and Manage SAP BI/BW and Qlik sense deliverables;</p><p>• Formulate Key SAP BI/BW and Qlik sense technical requirements;</p><p>• Performs technical troubleshooting, code debugging, and problem solving</p><p>• Do the As-is analysis of the data warehouse and create future model solutions;</p><p>• Design, Develop, test and implement presented and approved solutions;</p><p>• Prepare test scenario’s and scripts to be used through the application testing cycle;</p><p>• Support application, integration and user acceptance testing;</p><p>• Support incident management and Change request for SAP/BW and Qlik sense systems.</p><p>• Support data analytic relevant Project initiatives</p><p><strong>Requirements:</strong></p><p>• Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional </p><p>Degree or Master's Degree in Engineering (Computer/Telecommunication), Computer </p><p>Science/Information Technology or equivalent;</p><p>• Minimum 3-5 years experience in technical development in Qlik sense </p><p>• SAP working experience, with exposure to SAP BW 7.4 and above and integration with POSDM </p><p>and ECC will be an advantage </p><p>• Knowledge of Standard BW extractor, SAP BI Content, and Basic ABAP will be an advantage </p><p>• Results-oriented and ability to support team objectives and goals;</p><p>• Retail working experience would be an advantage;</p><p>• Good English communication skills, written and verbal are essential.</p><p>• Outstanding inter-personal communication skills are essential;</p><p>• Self-motivated; able to work within a project based environment</p><p>• Ability to work in a team environment</p>",https://www.jobstreet.com.my/en/job/bi-developer-5207562
Senior Software Developer,2-Feb-23,"<p><strong>About Us</strong></p><p>Episub is a small company/team owned and run by a software engineer. We're located in Victoria with a focus on Melbourne. Among other things, we develop software for the aged care sector, working on products to help aged care companies automate their processes and provide better care to their clients.</p><p>Some of the technologies that we work with:</p><ul><li>Go for back-end services</li><li>React or HTMX/HTML/CSS for the front-end</li><li>PostgreSQL for the database</li><li>Docker containers for deployment on Linux hosts</li><li>Kubernetes in the cloud for hosting</li><li>GCP and Azure for cloud</li></ul><p><strong>About You</strong></p><ul><li> 5+ years experience working professionally as a developer</li><li>3+ years working in another static typed language (C/C++, Typescript, Java, Rust, etc) OR 1+ years working as a Go software developer</li><li>Understand SQL and able to competently write SQL (Postgres preferred but not required)</li><li>Experienced working with the web and its underlying technologies (HTML/CSS)</li><li>Capable of taking a task from idea to completion and deployment</li><li>Comfortable with Linux, Docker, and git</li><li>Able to navigate the Go ecosystem, and manage tooling around Go projects</li></ul><p><strong>Responsibilities</strong></p><ul><li> Communicating directly with clients around timelines, features, and testing</li><li>Work as part of a small team</li><li>Take responsibility for the back end as well as writing some HTML/CSS, building features, fixing bugs, updating, and maintaining packages</li><li>Take a new feature from idea to deployment</li><li>Ensuring the repeatability of development environment through appropriate Docker configurations (testing and production)</li></ul><p><strong>Benefits</strong></p><ul><li>Opportunities for salary increases as you grow</li><li>Remote working focused</li><li>Flexible working hours</li><li>Small team where you may play a significant role in decision making</li><li>In many cases, direct contact with the client to make sure you’re delivering the right solutions</li><li>Deliver valued features quickly</li><li>Opportunities to learn new skills as part of your day to day work</li></ul><p><strong>Work Remotely</strong></p><ul><li> Remote or office work is available as you prefer, but if working remotely we may require you to visit the office from time to time.</li></ul><p><strong>Job Types</strong>: Full-time, Permanent</p><p><strong>Salary</strong>: RM15,000.00 - RM18,000.00 per month</p><p><strong>Benefits:</strong></p><ul><li> Flexible schedule</li><li>Health insurance</li><li>Maternity leave</li><li>Professional development</li></ul><p><strong>Schedule:</strong></p><ul><li>Day shift</li><li>Fixed shift</li><li>Flexible hours</li><li>Monday to Friday</li></ul>",https://www.jobstreet.com.my/en/job/senior-software-developer-5258169
Software Developer/Programmer,3-Feb-23,"<p>As a fast-evolving stock-broking company in Malaysia, we are looking for competent, efficient and dynamic team players to join our IT team.</p><p>We are expanding our IT development team &amp; looking for self-driven individual or fresh graduates with the ability to develop our software to be at the forefront of our stockbroking peers with innovative and user friendly solutions. Please refer to the job responsibilities and requirement for specifics details about the position.</p><p>(Fresh Graduates are Encouraged to Apply!)</p><p><strong>Responsibilities</strong></p><ul><li>To recommend and execute improvements by gather and evaluate user feedback.</li><li>Work with team to design and develop software solutions in accordance to requirements gathered. The activities include studying and creating functional specification documents, conferring with users and internal team members, understand system flow, detailed work processes and problem solving.</li><li>Document down solutions, including flowcharts, layouts, diagrams, charts, code comments and clear codes.</li><li>To integrate software components and 3rd party applications as necessary.</li><li>Support testing, troubleshooting, and debugging of existing software applications solutions.</li><li>Design and deliver end-user training and training materials; provide technical support as necessary.</li><li>Observe good coding practices as defined by the company or generally accepted industry standard.</li><li>Able to follow-up and follow-through tasks on hand.</li><li>Able to handle and master assigned tasks, plan and deliver assigned tasks on time. Take full ownership of assigned tasks and assumed responsibility to ensure good quality and successful outcome.</li><li>Work collaboratively with others to achieve agreed goals.</li><li>Adhere to SDLC on all CRs, enhancements, bugs and issues fix made in systems.</li></ul><p><strong>Requirements</strong></p><ul><li>Diploma / Degree in Computer Science, Information Systems or equivalent.</li><li>Knowledge in banking / stock broking will be advantaged (Fresh Grad is encouraged to apply).</li><li>Strong technical skills in one or more of the following: ASP.NET, C#, PHP, HTML/CSS, Ajax/jQuery, Java, Front End Framework.</li><li>Experience with MS SQL/MySQL databases.</li><li>Possess experience in Web service/API integration (SOAP, REST, JSON, XML etc), development using web technologies and building web &amp; native apps. </li><li>Ability to update knowledge by studying latest development tools, programming techniques computing equipment, and industry knowledge.</li><li>Ability to work under pressure with minimal supervision with good time-management skills to meet tight deadlines.</li><li>Strong analytical &amp; problem solving skills, creative, hardworking, modest and good teamwork.</li><li>Strong project documentation &amp; communication skills.</li><li>Experience in MSVS, Team Foundation Server, Azure DevOps, Crystal Reports &amp; Reporting Services will be advantageous.</li></ul>",https://www.jobstreet.com.my/en/job/software-developer-programmer-5266001
Software Developer (.NET),2-Feb-23,"<p>We are looking for exceptional and highly motivated Software Developer (.NET) with a strong track record of designing and developing multi-tiered web applications that are high quality, scalable, and reliable.</p><p><strong>You will play an important role, such as:</strong></p><ul><li>Be a key member of core development team</li><li>Contribute to the application design, development and support effort</li><li>Analysing program performance during execution while using various programming languages and techniques</li><li>Identifying potential process improvement areas and suggests options and recommends approaches</li></ul><p><strong>To succeed in this role, we will need you to have:</strong></p><ul><li>1-3 years’ experience is required for the Junior .Net Developer position and 3+ years’ experience for the Senior .Net Developer position</li><li>At least Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Computer Science/Information Technology, Engineering (Computer/Telecommunication), Science &amp; Technology or equivalent.</li><li>Good experience in C#, .Net, MS SQL development environment</li></ul><p><strong>How this career will benefit you?</strong></p><ul><li>A conducive environment to work and grow</li><li>Training will be provided to help you up skill yourself</li><li>Excellent year on year salary increment (average min 10%)</li></ul><p><strong>Other benefits you might be interested:</strong></p><ul><li>Sign on bonus</li><li>Flexible working hours</li><li>Travel allowance</li><li>RM1000 certification allowance annually</li><li>Annual bonus</li><li>Insurance coverage</li><li>Hybrid working arrangement</li></ul><p>Are you ready to make that career shift &amp; grow a great portfolio with us? Click the ‘<strong>Apply Now</strong>’ button and we will get in touch with you soon.</p>",https://www.jobstreet.com.my/en/job/software-developer-.net-5263967
