jobTitle,postedDate,jobDescription,jobUrl
System Analyst,3-Feb-23,"<p><strong><u>Job Responsibilities</u></strong></p><ul><li>Functions may include gathering requirements around functionality and translating those requirements into simple but effective web &amp; mobile solutions and designing mobile user interfaces.</li><li>Support the entire application lifecycle (concept, design, test, release and support).</li><li>Produce fully functional mobile applications writing clean code.</li><li>Gather specific requirements and suggest solutions.</li><li>Design, plan and document data lifecycle in the modules.</li><li>Write unit and UI tests to identify malfunctions.</li><li>Understand entire Solution in the project and its core component in depth.</li><li>Troubleshoot and debug to optimize performance.</li><li>Design interfaces to improve user experience.</li><li>Liaise with Product development team to plan new features.</li><li>Manages user expectation on the requirement.</li></ul><p><strong><u>Job Requirements</u></strong></p><ul><li>Possess at least a Bachelor’s Degree in Computer Science /Computer Engineering/Networking System.</li><li>Minimum 5 years’ experiences in Mobile Application (IOS/Android/WinMobile) development are essential.</li><li>Excellent knowledge in information architecture, human computer interaction and mobile usability design principles.</li><li>In-depth knowledge of at least one programming language like Swift and Java.</li><li>A track record of delivering successful consumer products.</li><li>Intelligent, self-motivated, fast learner and able to work independently and efficiently to meet deadlines.</li><li>Ability to read, analyse, and interpret technical procedures, write reports and procedure manuals. Ability to effectively present information and respond to questions from managers, clients and partners.</li><li>Constant self-update with latest or current function features that is in Web and Mobile domain, understand tricks and hacks in functionality evolves through time.</li><li>Experience in delivering and executing Change Management plan.</li><li>Experience in delivering project in enterprise level and service oriented solution.</li><li>Experience in handling and delivering project for Government.</li><li>Understand and experienced in security function/features and data protection solution designing.</li><li>Possess excellent communication in Bahasa and English (oral and written), interpersonal, presentation, negotiation and problem solving skills between user and internal team.</li><li>Performs other related duties as assigned or requested.</li></ul>",https://www.jobstreet.com.my/en/job/system-analyst-5265938
System Analyst,28-Jan-23,"<p><strong>Roles and Responsibilities</strong></p><ul><li>Perform user requirement study and documentation.</li><li>Perform solution design and documentation, e.g. screen prototyping, database design and etc.</li><li>Work closely with JEE/.NET developer to translate design to coding object.</li><li>Produce test plan, test scripts and perform solution testing.</li><li>Implement JEE/.NET customized solution and related hosting products.</li><li>Produce user guide and conduct end user training.</li><li>Produce technical documentation.</li></ul><p><strong>Support &amp; Maintenance Project</strong></p><ul><li>Perform solution impact study and produce change documentation.</li><li>Monitor and track defects in the defect management system to comply with support SLA.</li><li>Perform related solution design and documentation, e.g. screen prototyping, database design and etc.</li><li>Work closely with JEE/.NET developer to translate design to coding object.</li><li>Produce test plan, test scripts and perform solution testing.</li><li>Implement JEE/.NET solution and related hosting products.</li><li>Update user guide and conduct end user training.</li><li>Update technical documentation.</li></ul><p><strong>Requirements</strong></p><ul><li>Minimum Bachelor's Degree in Software Engineering, Computer Science/Information Technology or equivalent.</li><li>Well verse with Waterfall SDLC methodology. Added advantage if have knowledge on Agile methodology.</li><li>Technical experience with web backend, UI/UX development, mobile development, databases, and user support.</li><li>Good background in database design and developing SQL objects in Microsoft SQL Server.</li><li>Experience developing multi-user / n-tier / object oriented applications using JAVA/C#.NET of large scale enterprise application solutions.</li><li>Experience of minimum 8 to 10 years.</li></ul><p>Experience developing web-based applications with JQuery or any JavaScript UI/UX framework</p><p><strong>Benefits</strong></p><p>-Medical claims</p><p>-Optical &amp; Dental Claims</p><p>-Attendance Bonus</p>",https://www.jobstreet.com.my/en/job/system-analyst-5246102
SYSTEM ANALYST (KL Principal Office),2-Feb-23,"<p><strong><u>Responsibilities:</u></strong></p><ul><li>To provide support, improvement and enhancement to back office system</li></ul><p><strong><u>Requirements:</u></strong></p><ul><li>Candidate must possess at least a Bachelor’s Degree, Post Graduate Diploma, Professional Degree in Computer Science / Information Technology or its equivalent from an institution recognised by the government of Malaysia</li><li>Preferably candidate with 2 years of relevant experience, fresh graduate may also be considered</li><li>Strong proficiency in C++, C# and SQL with fair knowledge of the language specification</li><li>End user oriented, positive thinker, self-motivated, good problem-solving skill and disciplined, with ability to complete assigned tasks with minimal oversight in a professional and timely manner</li></ul>",https://www.jobstreet.com.my/en/job/system-analyst-kl-principal-office-5264445
Business Analyst,20 hours ago,"<p><strong>Job Descriptions</strong></p><ul><li>Elicit requirements using interviews, document analysis, requirements workshops, surveys, site visits, business process descriptions, use cases, scenarios, business analysis; task and workflow analysis</li><li>Proactively communicate and collaborate with external and internal customers to analyze information needs and functional requirements and deliver the following artifacts as needed: (Functional requirements - Business Requirements Document, Use Cases, Specs and Interface designs)</li><li>Successfully engage in multiple initiatives simultaneously</li><li>Work independently with users to define concepts and under direction of superior</li><li>Drive and challenge business units on their assumptions of how they will successfully execute their plans</li><li>Serves as the conduit between the customer community (internal and external customers) and the software development team through which requirements flow</li><li>Develop requirements specifications according to standard templates, using natural language</li><li>Collaborate with developers and subject matter experts to establish the technical vision and analyze trade-offs between usability and performance needs</li><li>Be the liaison between the business units, technology teams and support teams</li><li>Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.</li></ul><p><strong>Job Requirements</strong></p><ul><li>Candidate must possess at least a Bachelor's Degree, Professional Degree in Computer Science/Information Technology, Engineering (Computer), Business Studies/Management or equivalent</li><li>2 to 3 year(s) of working experience as a Functional or Business Analyst is required for this position</li><li>Fresh graduate or 1 year working experience welcome to apply.</li><li>Customer interfacing experience – customer presentation, drive and challenge business units on their assumptions of how they will successfully execute their plans</li><li>Excellent communication skills (written and verbal) and able to interact professionally with a diverse group, executives, managers and subject matter experts</li><li>Strong analytical and product management skills required, including a thorough understanding of how to interpret customer business needs and translate them into application and operational requirements</li><li>Bilingual in English and Mandarin as required to communicate and collaborate with external and internal English and Mandarin speaking customers to analyze information needs and functional requirements and deliver the artifacts as needed.</li></ul><p>Interested candidates, kindly email detailed resumes to us via clicking on Apply Now button below with indicating availability, current and expected salary. All profiles will be handled with strictest confidentiality.</p><p>Only shortlisted candidates will be notified.</p><p>Thank you.</p>",https://www.jobstreet.com.my/en/job/business-analyst-5266547
Digital Business System Analyst Executive,2-Feb-23,"<p><strong><u>Job Responsibilities:</u></strong></p><ul><li>Understand digital business needs, gather requirements, and write solution designs and user stories for end-to-end implementation</li><li>Collaborate with cross-functional teams of business analysts, software engineers, architects, project managers, product owners, designers, and test engineers to analyze, design, and develop innovative solutions to address business needs</li><li>Plan, control and realize solutions end-to-end by focusing on user centricity, simplicity, scalability, quality assurance, proper documentation, and business impact</li><li>Develop POCs with the team and deploy to pilot markets to prove feasibility and access business impact</li><li>Key contributor to the Business Analyst cohort to ensure continuous development of BA skillsets and career growth</li><li>Support/troubleshoot issues reported by global users and work with service providers to implement long-term solutions</li><li>Understanding on digital ecosystems, development frameworks, agile methodology and good knowledge on web applications</li></ul><p><strong><u>Job Requirements:</u></strong></p><ul><li>Bachelor Degree holder or professional qualification Computer Science, Information Technology and Multimedia</li><li>At least 2 years in Digital Business System Analyst position</li><li>Strong analytical, problem-solving, and organizational skills</li><li>Interest in understanding how the business works and the underlying processes</li><li>Familiar with Agile methodologies and have the Agile mindset</li><li>High level of attention to detail, including a proven ability to manage multiple and competing priorities simultaneously.</li><li>Must have excellent interpersonal skills and are adept at building relationships with different stakeholders</li><li>Must have exceptional verbal &amp; written communication skills.</li></ul><p>Please be informed only shortlisted candidates will be notified.</p>",https://www.jobstreet.com.my/en/job/digital-business-system-analyst-executive-5265092
Business Systems Analyst,9 hours ago,"<p><strong>Responsibilities</strong></p><p>·        Formulate and define scope of system and objectives.</p><p>·        Confer with organizational units involved to determine requirements.</p><p>·        Oversee large, complex, more important projects or more than one project, including planning, assigning, monitoring and reviewing progress and accuracy of work, evaluating results.</p><p>·        Devise sample input data to test accuracy of program.</p><p>·        Observe or runs test of program using sample or actual data.</p><p>·        Conduct inquiries pertaining to the development of new information systems to meet current and projected business needs.</p><p>·        Write functional specifications of user needs for application development, enhancements, and testing.</p><p>·        Analyze user requirements, procedures, and problems to improve existing systems.</p><p>·        Prepare functional, systems and program specifications.</p><p>·        Prepare project plans and implementation schedules.</p><p>·        Confer with organizational units involved to determine requirements.</p><p>·        Maintain and develop documentation for responsible area.</p><p>·        Maintain a thorough knowledge and in-depth field experience regarding emerging or job technologies required to fulfill the job, this could include formal or self paced professional development.</p><p>·        Prepare project plans and schedules.</p><p>·        Provide status updates of assigned projects.</p><p>·        Recommend/conduct training.</p><p>·        Maintain positive relations with all employees encouraging them to suggest ways of improving IT systems.</p><p>·        Serve as escalation point for troubleshooting issues.</p><p>·        Maintain a good working relationship with customers and vendors.</p><p>·        Ensure 100% adherence to all IT and department policy, processes and procedures.</p><p>·        Participate in the exchange of ideas and information within the department.</p><p>·        Ask questions; encourage input from team members.</p><p>·        Provide regular updates to appropriate managers.</p><p>·        Identify creative ways to reduce cost by streamlining processes and systems (i.e. modification of responsibilities or consolidation of tasks, elimination of non-value added processes, or complete re-engineering of processes and systems).</p><p>·        Drive continuous improvement through trend reporting analysis and metrics management.</p><p>·        Assure that procedures and work instructions are efficient and not redundant.</p><p>·        Offer new ideas and suggestions for improvement. Identify and implement new practices and processes that are “best in field”.</p><p>·        Demonstrate a commitment to customer service; anticipate, meet and exceed expectations by solving problems quickly and effectively; making customer issues a priority.</p><p>·        Confer with reporting manager on complex or unusual situations.</p><p>·        Establish new measurement systems if/where possible.</p><p><strong>Knowledge Requirements</strong></p><p>·        <strong>Bachelor's Degree</strong> required. </p><p>·        Degree in Computer Science or Management Information Systems preferred.</p><p>·        Minimum 6 years work experience in a related position.</p><p>·        Or an equivalent combination of education, training or experience.</p><p>        Thorough knowledge and in-depth field experience regarding emerging or job technologies required to fulfill the job</p><p>·        Strong communications and customer service skills</p><p>·        Ability to interpret a variety of instructions furnished in written, oral, diagram or schedule form.</p><p>·        Ability to effectively present information in one-on-one and small group situations to customers, clients, and other employees of the organization.</p><p>·        Proficiency in use of personal computers, Microsoft Office products (Excel, Word and PowerPoint) and e-mail skills required.</p><p>·        Knowledge in programming language is a must.</p><p>·        Knowledge in Networking and Server Configuration</p><p>·        Ability to identify and implement opportunities for business improvement.</p><p>·        Ability to document and apply business requirement guidelines to team projects.</p><p>Proficiency in cross-team and client collaboration</p>",https://www.jobstreet.com.my/en/job/business-systems-analyst-5251941
Senior System Analyst,3-Feb-23,"<ul><li>Meet and coordinate with internal and external stakeholders to establish project scope, system goals, and requirements.</li><li>Develop, analyze, prioritize, and organize requirement specifications, data mapping, diagrams, and flowcharts for developers and testers to follow.</li><li>Define and coordinate the execution of testing procedures, and develop test cases to serve the overall quality assurance process.</li><li>Translate highly technical specifications into clear non-technical requirements.</li><li>Experience with API, MySQL, PHP, HTML, CSS, JavaScript.</li><li>Working experience with LAMP stack (Linux, Apache, MySQL, PHP) is essential.</li><li>Working knowledge of a wide variety of programming languages.</li></ul><p>Job requirements:</p><ul><li>Minimum 6 years of relevant working experience</li><li>Good time management in planning meeting project datelines</li><li>Know computer language                                                            </li><li>Write computer programs                                                            </li><li>Update computer programs                                                        </li><li>Test software program                                                  </li><li>Collaborate with other programmers    </li></ul>",https://www.jobstreet.com.my/en/job/senior-system-analyst-5265616
Business Analyst,20 hours ago,"<p><strong>Job Purpose</strong></p><ol><li>Drive identification of requirements across business units and identify substandard systems processes through evaluation of real-time data</li><li>Serve as a thought leader for technical business processes, developing forward-thinking systems prototypes that promote increased efficiency and productivity on multiple levels</li><li>Create and implement precise management plans for every project, with attention to transparent communication at all levels</li><li> Perform, evaluate, and communicate thorough quality assurance at every stage of systems development</li><li>Determine and develop user requirements for systems in production to ensure maximum usability  </li></ol><p><strong>Responsibilities</strong></p><ul><li>Gathering and evaluating user requirements.</li><li>Collaborate with the Technology delivery team to develop new or improve current application solutions based on user requirements gathered.</li><li>Ensure incremental delivery, team collaboration, and continual planning are in place to deliver the application to the business.</li><li>Illustrate design ideas or application flow using storyboards, process flows, and sitemaps (UI/UX design) aligned to the business process.</li><li>Ensure actions are planned and carried out to meet performance objectives in resolving end user problems.</li><li>Work with developer and business owner to conduct user application testing (UAT).</li><li>Keep track of application feedback/bug and ensure the issue is resolved.</li><li>Regular update with the delivery team on project status and milestones. </li><li>Provide and maintain written documentation of business system manual and procedures.</li><li>Help to developing new training material and help improving current ones and assist with organizing and preparing training sessions Provide meaningful analysis of business processes around everyday problems encountered by group companies. Manage multiple stakeholders' engagements to facilitate business process analysis sessions, and develop technology solutions for these teams</li><li>Provide consulting and coaching around best practices and drive user adoption rate to enhance user experience</li><li>Identify project issues/risks and present alternatives to alleviate or resolve them</li><li>Systems and operations support 2/3rd level– evaluation and validation of processes and procedures</li><li>Assist with testing new software or process releases and update.</li></ul><p><strong>Technology Skillset</strong></p><ul><li>Experience in ERP, CRM or DMS platform</li><li>Well-versed with UI/UX design flow, business process mapping and data analysis for online/offline customer and marketing data</li><li>Experience in Power BI tool a plus</li><li>Process mapping tools - ProMap, LucidChart</li><li>Knowledge of project management software for incident tracking and project management </li><li>Experience in conducting design thinking workshops</li><li>Practical knowledge in business analysis concepts and techniques outlined in the globally recognized International Institute of Business Analysis BABOK Guide.</li></ul><p><strong>Qualification</strong></p><ol><li>Degree/Diploma in Information Technology, Computer Engineering or equivalent</li><li>Information Technology Infrastructure Library (ITIL)</li><li>BABOK Certification</li><li>3-5 years working experience in supporting ERP, CRM, DMS systems</li><li>Background in business process design, ERP, CRM, DMS implementations with good analytical skill</li></ol>",https://www.jobstreet.com.my/en/job/business-analyst-5266428
URGENT !! / Software Engineer / System Analyst (Java / SQL),2 hours ago,"<ul><li><strong>5 Days / MNC</strong></li><li><strong>Great career progression</strong></li><li><strong>Great remuneration and benefits</strong></li></ul><p>Job Description</p><ul><li>Design, develop, maintain and continuous improvements of assigned Computer Integrated Manufacturing (CIM) applications and components</li><li>Provide 24/7 Level 2 &amp; 3 support for the proper operation of Production lines</li><li>Gather requirements, design, develop and deploy new versions of CIM applications especially Equipment Manager automation solutions</li><li>Responsible for documentation of requirements and coordination of enhancements in the assigned area</li><li>Plan, coordinate, and conduct training for assigned applications</li><li>Work with the other IT teams to achieve the common goal of better system response time and system availability</li><li>Work with other departments for productivity enhancements, error or cost reductions and other improvement projects</li></ul><p>Requirements:</p><ul><li>Degree in Computer Science, Computer Engineering, or related fields</li><li>Diploma in Computer Science, Engineering, or equivalent fields with minimum 2 years of working experience in Equipment Manager automation solutions would be considered</li><li>Experience in Java development, SEMI Equipment Communication Standard (SECS), Oracle SQL and/or Tibco is an added advantage</li><li>Successful candidate will have opportunity to work in our new facility and to be trained and worked overseas for a periods</li></ul><p><strong>HOW TO APPLY:</strong></p><p>Interested applicants please send your latest resume to <strong>ref27(at)trustrecruit.com.sg </strong>or click on <strong>“Apply Now” </strong>and provide the below details in your resume.</p><ol><li> Current salary (breakdown)</li><li>Expected salary</li><li>Notice period</li><li>Reason of leaving</li></ol><p>We regret only shortlisted candidates will be notified.</p><p><strong>Important Note:</strong> Trust Recruit Pte Ltd is committed to safeguarding your personal data in accordance with the Personal Data Protection Act (PDPA).</p><p>Please read our privacy statement on our corporate website www.trustrecruit.com.sg.</p><p>Trust Recruit Pte Ltd    </p><p>EA License No: 19C9950</p><p>EA Personnel: Tan Yee Chean (Chester)</p><p>EA Personnel Reg No: R22110448</p>",https://www.jobstreet.com.my/en/job/urgent-!!-software-engineer-system-analyst-java-sql-10406781/origin/sg
IT System Analyst (.Net C#),1-Feb-23,"<p><strong>Responsibilities</strong><strong>:</strong></p><ul><li>Gather requirements from end users.</li><li>Document functional and technical specification.</li><li>Provide L1 &amp; L2 end-user support.</li><li>Communicate with client's IT team on issues and enhancements.</li><li>Debug and troubleshoot issues.</li><li>Provide operational support, ongoing maintenance and enhancement.</li></ul><p><strong>Requirements</strong></p><ul><li>Min. 3 years of work experience.</li><li>Knows ASP.NET C# Programming.</li><li>Diploma/Degree in Information Technology or Computer Science.</li><li>Able to communication in English, for speak/listen/read/write.</li><li>Working experience in healthcare domain, HL7/FHIR, DICOM is a plus.</li><li>Great communication skills (verbal and written).</li><li>Must have willingness to learn new technologies.</li><li>Excellent problem solving and analytical thinking skills.</li></ul>",https://www.jobstreet.com.my/en/job/it-system-analyst-.net-c-5263365
