jobTitle,postedDate,jobDescription,jobUrl
SAP Technical Consultant,30-Jan-23,"<ul><li>You will be working in client project(s) as technical support with other consultants.</li><li>You will mainly support on client’s change request and technical issues with strong ABAP development skills.</li><li>You will support with complex ABAP programming, testing, troubleshooting, debugging of ABAP related issues in the SAP project implementation, customization, integration, migration projects.</li><li>You will need to understand the basic project business requirements and goals to the project.</li><li>You will need to work closely with internal SAP functional consultants and multiple teams from client.</li><li>You will need to work in tight deadlines and able to work together with multiple teams from clients from different business background.</li></ul><p><strong>Job Requirement</strong></p><ul><li>Strong understanding of SAP ABAP development concepts and skills and SAP architecture.</li><li>Prefer SAP Fiori/UI5 knowledge.</li><li>Prefer SAP solutions functional modules knowledge.</li><li>Prefer programming language knowledge C++ and Java plus.</li><li>SAP certification is added advantage.</li><li>Travel to support clients worldwide based on the project requirements.</li></ul><p><strong>Personal Characteristics</strong></p><ul><li>Fluent in English.</li><li>Able to work in multinational team.</li><li>Able to possess very good communication skills and able to handle the clients with excellent problem-solving skills.</li><li>Willing to learn and proactive to contribute in the teamwork.</li><li>Able to work professionally in both client sites and with internal team.</li><li>Able to start in short notice period.</li></ul><p><strong>Other Benefits</strong></p><ul><li>Medical, Dental &amp; Travel insurance</li><li>Allowance</li><li>Bonus</li><li>Travelling opportunity</li><li>Learning opportunity</li></ul>",https://www.jobstreet.com.my/en/job/sap-technical-consultant-5260394
Senior Consultant - Workday HCM Functional - MY,10 hours ago,"<p><strong>What impact will you make</strong></p><p>At Deloitte, we offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clients, people and community. Deloitte offers you a highly inclusive, collaborative workplace and unrivalled opportunities to realize your full potential. We are always looking for people with the relentless energy to push themselves further, and to find new avenues and unique ways to reach our shared goals.</p><p><strong>Work you will do</strong></p><p>Deloitte is the largest Workday consultancy in the world with the largest number of practitioners, number of Workday implementations and client qualifications. Through organic growth and recent acquisitions, our Workday practice has grown to more than 1,050 Workday-certified and dedicated consultants globally.</p><p>Deloitte Southeast Asia is rapidly growing their Workday practice to meet increasing client demands in the Asia-Pacific region. We want YOU to join our team and take advantage of these massive opportunities and grow your career!</p><ul><li>Requirements gathering; configuring of Workday solution, demonstrating the configurations through the development of prototype systems, and assist the client in testing</li><li>Work with the client to help convert legacy data into Workday</li><li>Assist the integration consulting team in helping to configure and test integrations</li><li>Understand Workday’s medium enterprise implementation methodology and use it on all engagements</li><li>Help mentor new consultants</li><li>Help to ensure the client is reference able once in production</li><li>Participate in update training and other events to help share your implementation best practices and product knowledge with other consultants</li></ul><p><strong>Enough about us, let's talk about you</strong></p><p>If you are someone with:</p><ul><li>Minimum 6 years of working experience in HR technology deployment or supporting HRIS systems. An exposure to Workday would be an advantage.</li><li>Good understanding of Workday or other HR technology implementation approach, phases, activities and deliverables</li><li>Experience in process design/ blueprinting workshops with key client stakeholders, compiling functional design documents and doing system configuration</li><li>Domain knowledge and understanding of the HR function, HR processes, Technology and associated leading practices, would be preferred.</li><li>Good understanding of HRIS data model, security configuration and reporting</li><li>Strong understanding of relationship between Core HCM and other HR modules</li><li>Ability to manage communications with key stakeholders and guide a client through decision making</li><li>Understanding of the HR function, HR processes and associated leading practices would be preferred.</li></ul><p><strong>Next Steps</strong></p><p>So what are you waiting for? Join the winning team now.</p>",https://www.jobstreet.com.my/en/job/senior-consultant-workday-hcm-functional-my-5255961
Technical Sales Consultant,31-Jan-23,"<p>We are looking for Technical Sales Consultant to join our team.</p><p>The Responsibilities:</p><ul><li>Provides sales support throughout the sales cycle. This support is specific to the development and implementation of complex products, applications or solutions within a product or industry segment.</li><li>Uses in-depth product and/or industry knowledge to provide sales presentations and product demonstrations.</li><li>Applies industry, technical and AVEVA knowledge to interpret client's requirements and needs and identify and recommend integrated solutions, products, and services. Could include consultation and/or product capability assessment and validation with prospective users.</li><li>May participate in quote preparation, specification responses, technical definition, or coordinating the pricing of the job with the responsible individuals.</li><li>May prepare detailed product specifications for the development and implementation of company products, applications, or solutions.</li></ul><p>The Requirements:</p><ul><li>Maintains knowledge of assigned products, industries, and accounts. Knows and is known by key clients and often participates in key internal and external forums and societies.</li><li>Maintains good understanding of current client business drivers and how AVEVA solutions provide value and solve the client's business needs within the particular industry.</li><li>Self-starter with the ability and willingness to understand complex products and business processes;</li><li>Fluent English – written and oral;</li><li>Strong expertise in Monitoring &amp; Control solutions, such as SCADA Systems, HMIs, and Historians. Knowledge of formerly Wonderware portfolio is a plus.</li><li>Experience in sales support activity. Clear understanding and support of sales process</li><li>Excellent time management skills with the ability to prioritize and allocate resources so as to ensure achievement of revenue objectives.</li><li>Charismatic personality</li></ul><p>The Benefits.</p><ul><li>Attractive remuneration and package will be commensurate with experience and qualification.</li><li>Work Life Balance</li><li>Medical Claims</li><li>Medical Insurance</li><li>Fixed Monthly Allowance</li><li>Mileage Claim</li><li>Travelling Allowance</li><li>Annual Event</li><li>Annual Bonus</li><li>Performance Bonus</li></ul><p>For more information on our company, please visit us at IAM – Wonderware Solutions are now AVEVA Solutions (iamgroup.com.my)</p><p>If this sound like a perfect job for you, let's join our team!</p>",https://www.jobstreet.com.my/en/job/technical-sales-consultant-5261444
CRM Lead Technical Consultant,31-Jan-23,"<p><strong>CRM Lead Technical Consultant</strong></p><p>We are currently expanding our CRM consulting team with people who share our passion for implementing, customizing, and supporting high quality business solutions for our clients. </p><p>You will be leading projects involving multiple stakeholder teams across the business, IT, offshore partners and independent 3rd party providers. This role involves managing the concrete project schedules, requirement compliance and management with senior business stakeholders</p><p>The ideal candidate will have previous experience with CRM systems particularly Microsoft Dynamics CRM. As well as a strong business analytical background and great technical skills, taking a hands-on approach to troubleshooting and data clean-up as necessary.</p><p><strong>Academic Requirement</strong></p><p><strong>·      </strong>Bachelor’s degree or higher in MIS or related technical fields</p><p><strong>·   </strong>Minimum 3 to 5 years of the following experience</p><p><strong>Technical Requirements</strong></p><p>·      Able to configure Active Directory Federation Services (ADFS), Active Directory Rights Management Service, Active Directory Certificate Service &amp;Active Directory Security and Delegation.</p><p>·      Ability to apply security principles to Office 365</p><p>·      Experience with Azure Active Directory Premium, including SSO configuration for SaaS applications</p><p>·      Design and planning experience in environments with heavy users</p><p>·      Strong experience with group policy administration</p><p>·      Excellent communication and problem-solving skills to make recommendations to clients dealing with various needs</p><p>·      Proven expertise in designing and architecting domain consolidation projects</p><p>·      Design and architect a global Active Directory Infrastructure, including, the design and implementation of and Group Policy, domain consolidation for large-scale organizations</p><p>·      Problem-solving problem solving to find creative solutions to problems in the environment on a broad scale</p><p>·      Plan and execute Active Directory Domain level upgrades</p><p>·      Plan and design Group Policy Objects as requested to ensure compliance with company policies for servers and user end-point devices</p><p>·      Troubleshoot and resolve Active Directory, GPO, Active Directory Federated Services, and password/identity management systems</p><p>·      Assist in the management and support of internal and external DNS systems. Assist in the management and support of internal DHCP architecture and scope</p><p>·      Experience managing Microsoft Windows desktop and server environments using tools such as Active Directory, Group Policy, and PowerShell DSC</p><p>·      Proficiency with SQL Server supporting related to supporting Dynamics CRM client-server and 3-tier architecture applications</p><p>·      Work with stakeholders and other technical teams to collect business and technical requirements and design / deliver enterprise-level solutions</p><p>·      Create and update technical documentation of operating procedures as needed</p><p>·      Maintain standards for installation of infrastructure software/hardware installations</p><p>·      Serve as a technical expert for Tier 1/2/3 support groups</p><p>·      Oversee the architecture and design of the global backup and recovery of Active Directory.</p><p>·      Collaborate and communicates with architects with internal departments and vendor partners.</p><p>·      Own and lead discussions in business and technical information technology solution implementations, upgrades, enhancement, and conversions. Recommends solutions as appropriate</p><p>·      Work with external vendors, ensuring adherence to SLA and delivery schedule.</p><p>·      Experience in dealing with Web API, .net portals and Microsoft technologies (features of Dynamics 365 and Power Platform)</p><p>·      Hands on knowledge on SSRS reports, SSIS, SQL server, SFTP clients, AWS and Azure cloud hosting services</p><p>·      In-depth knowledge in CRM JavaScript, plug-ins, CRM SDK, custom workflows, and ribbon customization.</p><p>·      Knowledge and experience in implementing Canvas Apps, and Model Driven Apps</p><p>·      knowledge in working with C#, CRM SDK and JavaScript</p><p>·      Able to set up of MS CRM on-premises or on Cloud</p><p><strong>Essential Soft Skills</strong></p><p>Ability to interact with clients, gathered requirements, performed feasibility study, project management and documentation</p><p>·      Develop confidence in abilities to interact with client personnel</p><p>·      Provide clients with professional quality service. Earn respect of our clients through demonstration of adaptability, tact, commitment, resourcefulness, and proactive communications</p><p> <strong>Certifications</strong></p><p>·      Certification in MS Dynamics CRM</p><p>·      SQL Server</p><p>Candidates must be open to be based in either Singapore or Malaysia.</p><p><strong>S &amp; I Systems</strong>, established in 1998, is a leading service provider offering end-to-end IT services. We lead digital transformations for clients by modernising their mainstream IT and deploying digital solutions at scale to drive growth and performance.</p><p>Wholly owned by <strong>TeleChoice</strong>, incorporated in Singapore on 28 April 1998 (a part of <strong>ST TeleMedia</strong> – strategic investor in communications, media, data centres and infrastructure technology businesses across Asia, Europe and the US), a regional diversified provider of innovative info-communications products and services and public listed on SGX on 25 June 2004, S &amp; I Systems has been instrumental in helping businesses uncover new models and deliver better business outcomes.</p><p>Through our key service pillars around cloud, applications, analytics and managed services, we have helped Fortune 500 clients in Asia to optimise and modernise their IT to produce better business outcomes. Together with our ecosystems of valued partners and S&amp;I’s two decades of proven skill sets and methodology, we are confident to help businesses and governments thrive in the digital world.</p>",https://www.jobstreet.com.my/en/job/crm-lead-technical-consultant-10390311/origin/sg
Functional Consultant,1-Feb-23,"<ul><li>Master the business functions and features based on product suites</li><li>Conduct business functional analysis with end users to capture client's requirements during presales or gap analysis during project requirement study.</li><li>Working with technical, project and sales team to produce customization effort and delivery timeline</li><li>Collaborate with product team or principals to stay in touch on feature release roadmap</li><li>Learn and do functional tests on new product releases</li><li>Aware of the complementary and competing product offerings</li><li>Lead quality testing for end-to-end solution functions, including configured out-of-the-box, customized, or integrated functions</li><li>Involve in presentation, demo, training</li><li>Provide functional advisory to other team members from sales, project, support, training and product development</li></ul><p><strong>Requirements:</strong></p><ul><li>Candidate must possess at least Bachelor's Degree/Post Graduate Diploma/Professional Degree in Computer Science/Information Technology or equivalent.</li><li>Required language(s): English</li><li>At least 2 Year(s) of working experience in the related field is required for this position (Functional Consultant), junior post is available as Functional Specialist</li><li>Required Skill(s): inter-personal skill, presentations and demonstrations, business process analysis, information system technology, communication skill with good command of English.</li><li>Having experience is any of the follow domain will be added advantage:</li><li style=""margin-left:30px"">Procurement or document management</li><li style=""margin-left:30px"">Microsoft solution platform (if any)</li><li style=""margin-left:30px"">Software development background or industry </li></ul>",https://www.jobstreet.com.my/en/job/functional-consultant-5262840
Functional Consultant,2-Feb-23,"<p><strong>Job Profile (Roles &amp; Responsibilities)</strong></p><ul><li>Techno Functional role as Application Consultant in implementation &amp; Support of ETP solution</li><li>Conduct and document requirement study.</li><li>Configuration &amp; set up of the ETP Solution.</li><li>Perform End User Training, Support in Roll out.</li><li>Support to the customer during the implementation, go live and post go live phase.</li><li>Work on Customisation project involving design and solutioning. Testing of application and delivery</li><li>Verify and provide resolution of customer support issues/incidents.</li></ul><p><strong>Work experience</strong></p><ul><li>He/she should have worked on POS and/or ERP software and must be genuinely technically functional, with some development experience preferred.</li><li>Have knowledge of POS hardware and peripherals like printers, scanners, card readers (preferred)</li><li>Should have understanding of Supply Chain process and local statutory requirements.</li><li>Should be able to write and validate database queries, execute profiler and Microsoft tools.</li><li>IT/ ERP Implementation experience: 5-8 years</li></ul>",https://www.jobstreet.com.my/en/job/functional-consultant-10398646/origin/sg
ERP Functional Consultant (Dynamics AX),2-Feb-23,"<p><strong>Job Summary:</strong></p><p>We are looking for an experienced Dynamics AX Functional Consultant to be part of Logicalis Asia ERP Team. This role will be involved in successful implementation and roll-out of Microsoft Dynamics AX in Logicalis Malaysia, and successful upgrade and roll-out of Microsoft Dynamics AX in Logicalis Asia. This role will give onsite support in various activities of ERP implementation project such as users training, user acceptance test (UAT), Go-Live and month-end closing support in Logicalis Malaysia.</p><p>Conference meeting with project manager and ERP team who are based in Singapore, analysing project objectives, ongoing support/training and documenting Dynamics AX process, creating customer workflows, maintaining user roles, and troubleshoot applications errors, will be some actions to be performed.</p><p>This role will be part of internal regional ERP support team and will get numerous learning opportunities in both technical competency and skill in business process to increase professional knowledge and acquire a good understanding about IT services industry.</p><p><strong>Job Responsibilities:</strong></p><ul><li>Manage daily user support/maintenance of Dynamics AX instance, and improvement in functionalities for Logicalis Asia; Hong Kong, Singapore, Taiwan, Indonesia.</li><li>Support users from different business functions in doing ERP project activities to meet project objectives, business requirements, and company goals.</li><li>Communicate with project managers, users, and other business functions to ensure successful implementation in Logicalis Asia.</li><li>Provide system administration support of Dynamics AX environment; especially related to customized applications, user permissions, custom objects and workflow.</li><li>Write document and provide training for newly developed functionality.</li><li>Test stability and functionality of the application.</li></ul><p><strong>Qualifications:</strong></p><ul><li>2-3 years in Microsoft Dynamic AX2012</li><li>Knowledge in D365 F&amp;O will be advantage</li><li>Involved in at least one full-cycle Dynamics AX implementation project</li><li>Knowledge in finance and accounting process</li><li>Knowledge in service industry business process</li><li>Good communication skills</li><li>Ability to converse in other language besides English is an added advantage to support users from Hong Kong and Taiwan</li></ul>",https://www.jobstreet.com.my/en/job/erp-functional-consultant-dynamics-ax-5250241
ERP Consultant,31-Jan-23,"<p><strong>Responsibilities:</strong></p><ul><li>Analyze processes and provide solutions based on <strong>Sage 300 Cloud &amp; SAP Business One for SAP HANA</strong></li><li>Learn the process of validating proposed solutions with the team and prepare documentation</li><li>Map business processes using best practices in ERP solutions</li><li>Prepare to serve and think out of the box during problem solving</li><li>Perform task based on proposed methodology</li><li>Deliver task and document all work in accordance to defined standard and processes.</li></ul><p><strong>Requirements:</strong></p><ul><li>Bachelor's Degree/Professional Degree in Computer Science/Information Technology, Finance/Accountancy/Banking or equivalent.</li><li>Knowledge in business processes such as financial management &amp; supply chain management</li><li>Working experience in the related field will be an added advantage</li><li>Interested in the area of using IT in business processes such as AI, ML, IoT &amp; etc</li><li>Team player with good interpersonal skills and positive characteristic. </li></ul>",https://www.jobstreet.com.my/en/job/erp-consultant-5248568
Technical Pre-Sales,10 hours ago,"<p>Our company is looking for talent to support our expanding Sales Team. This individual will fill up the position of Technical Pre-Sales and will have the opportunity to grow personally and advance their career.</p><p><strong>Responsibilities :</strong></p><ul><li>Provide presales functional support to prospective and existing clients</li><li>Provide precise solutions tailored to client’s requirements</li><li>Provide support for potential opportunities for sales closure</li><li>Prepare technical specification proposal</li></ul><p><strong>Requirements :</strong></p><ul><li>Minimum Diploma in Information Technology, or relevant field</li><li>Minimum 3 years of hands-on experience in the ICT field i.e Structured Cabling &amp; Network Infrastructure, Computer &amp; Peripheral, Security Solutions (CCTV, Door Access)</li></ul><p><strong> Benefits :</strong></p><ul><li>KWSP</li><li>SOCSO</li><li>Medical Claim</li><li>Mileage Claim</li><li>Allowances</li><li>Performance Bonus</li><li>Yearly Increment</li><li>Company Retreat</li></ul>",https://www.jobstreet.com.my/en/job/technical-pre-sales-5253739
IT Consultant,2-Feb-23,"<p><strong><u>About Us</u></strong></p><p>ONEPIP, founded in 2012, is a foreign exchange and payments financial technology company with subsidiaries in Singapore, Hong Kong and Kuala Lumpur. Licensed as a Major Payment Institution by the Money Authority of Singapore (MAS), it operates the ONEPIP Exchange and BidAsk platforms for various client segments based in the Asia-Pacific region.</p><p><strong><u>About The Role</u></strong></p><p>You will be the driver of money across the world. We are part of an exclusive team that is licensed for remittance in Singapore, Hong Kong, and Malaysia. What we do makes trade happen and is an integral part of global commerce. You play a part to make this happen by working on systems that are cross boundaries, dynamic, and high-performance. Not many people have the opportunity to work with money. We like you to be one of them because your work connects people, companies, and countries. It makes the world go round. </p><p>We are looking for one such talented <strong>IT Consultant</strong> who is highly dependable, motivated, and dynamic. As a fintech, we operate and continue to enhance OPX App/ OPX Web/ OPX Trader / BidAsk, various payments and settlement platforms that cater to all kinds of foreign exchange payment functions we developed from zilch to the robust high availability system it is today. </p><p>All our in-house developed systems provide opportunities for innovation, enhancement, and problem-solving. It is necessary to work closely with the team as the development of this infrastructure presents many technical challenges in the areas of large data computation with high-performance computing. You are required to deliver quality source code, create technical documents, and work with peers on end-to-end testing for quality assurance procedures. The focus is on improving system quality, enhancing applications, and maintaining and improving existing codebases.  When needed, you will perform R&amp;D on new technology and can make recommendations for future product development.</p><p><strong>Requirements:                                                                    </strong></p><ul><li>Candidate must possess at least Bachelor’s Degree/Post Graduate Diploma / Professional Degree in Computer Science/Information Technology or equivalent.</li><li>At least 8-10 Years of working experience in the related field is required for this position</li><li>Minimum 4-5 Years of experience in complete software development life cycle (SDLC) for web application design, development, and maintenance.</li><li>Knowledge of algorithms and data structures</li><li>Strong analytical and reasoning skills with an ability to visualize processes and outcomes</li><li>Proficiency in troubleshooting software issues and debugging a large codebase</li><li>Good English written and verbal communication skills.</li><li>Provide leadership to the technical team to deliver tasks and meet deadlines</li><li>Experience with managing development team will be advantageous</li></ul><ul><li>Required skills:</li><li>C#</li><li>ASP.NET (MVC 5)</li><li>Bootstrap CSS 3 above</li><li>HTML</li><li>Javascript (JQuery,Angular,AngularJS),</li><li>.Net SOAP,</li><li>.Net Restful Web API Services.</li></ul><ul><li>Good to have skills:</li><li>.Net Framework 4.0 above</li><li>.Net Core Framework 3.1 above</li><li>Entity Framework 6</li><li>SQL Database 2017 above</li><li>Cloud Services (AWS)</li></ul><p>We regret that only shortlisted candidates will be notified.</p>",https://www.jobstreet.com.my/en/job/it-consultant-10397573/origin/sg
