jobTitle,postedDate,jobDescription,jobUrl
Senior Web Designer (UI/UX Only),11 hours ago,"<p>Have a love for websites? Always curious? Looking for a playground to unleash your ideas? Great! I Concept is what you're probably looking for.</p><ul><li>Conceptualise ideas, concepts and strategies.</li><li>Build and develop <strong>powerful</strong> user interface (UI) and user experience (UX) with responsiveness in mind.</li><li>Develop user flows, wireframes, prototypes and mockups.</li><li>Integrate creative techniques into websites to improve usability and aesthetics.</li><li>Clearly and persuasively communicate design strategies and creative rationales.</li></ul><p><strong>Job Requirement</strong></p><ul><li>At least 4 years of working experience in web design, graphic design or similarly.</li><li>Diploma/Degree in Art, Design, Creative Multimedia, Advertising or similarly.</li><li>Proficient in Figma, Illustrator, Photoshop and/or other design software.</li><li>Always willing to guide junior designers as and when required.</li><li>Other design skills, knowledge or experiences <em>(eg. ATL/BTL, animation, motion graphics, video storyboard, digital imaging, etc.)</em> is an added advantage.</li></ul>",https://www.jobstreet.com.my/en/job/senior-web-designer-ui-ux-only-5252703
UI/UX Designer,31-Jan-23,"<p>The design team within our Product &amp; Technology department aims to improve the overall user experience in the FeedMe ecosystem. We as the core of design will work closely with the engineering team to implement a consistent user interface, end-to-end user experience, and detailed design guidelines across multiple FeedMe products. We also work together with customer success and the sales team to develop a comprehensive user persona and user intentions.</p><p>What you'll do:</p><ul><li>Help define the user model, interface, and design system for FeedMe products and features.</li><li>Develop high-level and/or detailed storyboards, mockups, and prototypes to effectively communicate interaction and design ideas.</li><li>Collaborate with product managers, engineers, researchers, writers, and cross-functional stakeholders to understand requirements, and provide creative, thoughtful solutions.</li><li>Evaluate the usability of new and existing products, making constructive </li></ul><p>What you need for the role:</p><ul><li>2+ years of UI/UX design experience for applications with heavy-interaction</li><li>Experience working with Designers, Researchers, Engineers, Content Strategists, and Product Managers throughout the design process; creating user flows, and wireframes, and building user interface mockups and prototypes</li><li>Good to have:</li><li style=""margin-left:30px"">Experience designing across multiple platforms (Android, iOS, and the Web)</li><li style=""margin-left:30px"">Experience using Figma as design tool</li></ul><p>What we have for you:</p><ul><li>Competitive salary package and benefits.</li><li>Hybrid-mode work arrangement</li><li>Smart casual dress code practice.</li><li>Career development, intensive training, and progression opportunities</li></ul>",https://www.jobstreet.com.my/en/job/ui-ux-designer-5261757
"AVP, User Experience (UX) Designer",2-Feb-23,"<p><strong>Job Purpose:</strong></p><p>Responsible for facilitating user experience design and requirements alignment with all stakeholders. Possesses strong interests and capabilities in the design and development of engaging user experiences for the intended audience/user. The role requires strong problem solving skills and independent self-direction, coupled with an aptitude for team collaboration and open communication. The role provides both highly analytical as well as highly creative ideas to a design engagement as well as to have extensive experience in a fast-paced and innovative development environment. A thorough understanding of contemporary user-centered design methodologies is a must.</p><p><strong>Key Responsibilities:</strong></p><ul><li>Drive creation of experience maps, concept storyboards &amp; functional wireframes</li><li>Work with product owners &amp; other stakeholders to innovate on business user experience</li><li>Research on interaction design and technology trends</li><li>Plan &amp; lead business ideation workshops</li><li>Provide guidance on UX trends &amp; issues</li><li>Create &amp; deliver quality UX across multiple platforms web, mobile &amp; tablet</li><li>Create artifacts to document information architecture, wireframes, UX design requirements &amp; interaction design specifications</li><li>Building interactive prototypes</li><li>Participating in UX research &amp; usability sessions</li><li>Facilitate design workshops with both business and support units to develop frictionless user experience cum business outcome</li><li>Review and improve based on post market release feedback</li></ul><p><strong>Requirements:</strong></p><p><u>Skills</u>             </p><ul><li>Possesses ability to visualize customer journey and prototyping</li><li>Having skills in prototyping tools like Axure or similar tools is a must</li><li>Good problem solving and analytical skills</li><li>Proficient in design and development of user experiences design and engagement</li><li>A team player with good interpersonal communication skills and writing skills</li><li>Result oriented and able to work independently</li></ul><u>Knowledge</u><ul><li>Application of contemporary user-centered design</li><li>Good knowledge in banking products, competitor offerings and market needs</li><li>Proficiency in user experience design principle, conceptualization, prototype, user engagement and mobility</li><li>Implementation knowledge in Agile/Lean and/or mobility preferred</li></ul><u>Experience</u><ul><li>Degree holder in related fields</li><li>Three or more years of user experience design experience for software, Web applications which leverage emergent technologies, consumer electronics and/or mobile devices</li><li>At least 3 years in relevant business, technology and/or digital commerce</li></ul>",https://www.jobstreet.com.my/en/job/avp-user-experience-ux-designer-5265297
UIUX Designer,31-Jan-23,"<p>We are looking for individuals with passion and UI/UX design expertise to help us improve the delivery of our Astoria Solutions’ innovative digital solutions.</p><p>The UI/UX designer will be part of our agile team to continuously deliver intuitive user friendly designs that improve user experience and ease customer pain points.</p><p><strong> <u>Responsibilities:</u></strong></p><ul><li>Work closely with Product Managers and key stakeholders to gain a deep understanding of customer’s requirements</li><li>Produce artifacts such as wireframes and rapid prototypes within technical parameters</li><li>Validate and iterate on UX design proposals and present to stakeholders</li><li>Engage in driving cross-platform responsive design from initial concept through execution of front-end development activities</li><li>Embrace and apply Design Thinking principles with agile methods</li><li>Keeping up to date with design trends and UI developments</li><li>Where applicable, develop client-side/frontend UI elements</li><li>T-shaped UI/UX designer: excellent design skills but can also carry out necessary technical discussions and mentoring with Engineers and Designers.</li></ul><p><strong><u>Requirements:</u></strong></p><ul><li>Bachelor’s degree in computer science, engineering, or a related field.</li><li>Experience in a similar role would be advantageous.</li><li>At least 3+ years’ relevant experience in design</li><li>At least 1+ years’ experience as a frontend developer</li><li>Familiar with agile software development practices</li><li>A creative thinker with experience in UX definition and UI design</li><li>Keen eye for design and aesthetics</li><li>Excellent interpersonal, communication, negotiation and collaboration skills and presentation skills</li><li>Comfortable working in the office</li></ul>",https://www.jobstreet.com.my/en/job/uiux-designer-5262164
UI/UX Designer,31-Jan-23,"<p>UI/UX Designer</p><p>QBeep Intelligent Systems Sdn. Bhd.</p><p>Kuala Lumpur</p><p>Job Highlights</p><ul><li>Career advancement opportunities</li><li>5 day a week and medical Benefit</li><li>Casual wear and friendly working environment</li></ul><p>We are looking for talented designer experienced in create Website, Web-App and Mobile Application, if you are looking for a work life balance and friendly working environment, this is the place for you.</p><p>Job Description</p><ul><li>Bring user-centered design (UCD) process methods to digital solutions from concept to launch</li><li>Produce artifacts such as wireframes and rapid prototypes within technical parameters</li><li>Create Website, Web-App, and Mobile Application interfaces</li><li>Validate and iterate on UX design proposals and present them to stakeholders</li><li>Communicate creative ideas to stakeholders in the form of visual design and illustration</li><li>Maintain consistent brand image in the form of UI</li><li>Engage in driving cross-platform responsive design from initial concept through execution of front-end development activities</li><li>Embrace and apply Design Thinking principles with agile methods</li><li>Identifying and troubleshooting UX problems</li><li>Keeping up-to-date with design trends and UI developments</li><li>Where applicable, develop client-side/frontend UI elements</li><li>Collaborate with project teams and our clients to understand client business requirements for digital strategy and advocate for the customer by developing intuitive interactions and easy-to-use interfaces</li></ul><p>Qualification</p><ul><li>Bachelor’s degree in computer science, engineering, Art/Design/Creative Multimedia, Advertising/Media, or a related field.</li><li>Experience in a similar role would be advantageous.</li><li>At least 1+ years of relevant experience in design</li><li>Experience and knowledge in using Adobe Photoshop, Adobe Illustrator, Adobe XD, Adobe inDesign Figma or Sketches, and other design applications.</li><li>Added advantage if you can develop web responsive design into a working template (Bootstrap, JQuery, HTML, CSS, and JavaScript).</li><li>Strong leadership, organizational skills, interpersonal skills, presentation skills, and being able to manage requirements from different stakeholders.</li><li>Self-motivated, strong-minded, independent, confident and responsible</li><li>Preferred Languages for written and spoken languages are English and Bahasa Melayu.</li></ul><p>Additional Information</p><ul><li>Career level: Executive</li><li>Years of Experience: 1-2 years</li><li>Job Type: Full-Time</li><li>Qualification: bachelor or postgraduate degree in Computer Science/Engineering</li><li>Job Specializations: Computer/Information Technology, IT-Software</li></ul>",https://www.jobstreet.com.my/en/job/ui-ux-designer-5250704
UI UX Designer,30-Jan-23,"<ul><li>A Bachelor’s degree in Graphic Design, Interaction Design, Visual Communication, Multimedia, or the equivalent</li><li>Proven UI and UX experience with a portfolio, featuring examples of your design work</li><li>Ability to conduct end-to-end UX research, including usability testing, and A/B testing</li><li>Experience in interpreting complex concepts and processes to develop intuitive and logical user flows and usage scenarios</li><li>Extensive experience in creating interactive UI elements for web and mobile apps</li><li>Proficiency in designing intuitive and cohesive screens, pages, and visual elements that work as intended</li><li>Proficiency in Photoshop, Illustrator, Sketch, and other design and wireframing software</li><li>Knowledge of HTML, CSS, and JavaScript for rapid prototyping of websites and apps</li><li>Excellent spoken and written English communication skills</li><li>Willing to work in Cyberjaya.</li></ul><p><strong>Job Responsibility:</strong></p><ul><li>Take broad, conceptual ideas and turn them into something useful and valuable for our clients.</li><li>Translate concepts into wireframes, mockups, and prototypes that lead to intuitive user experience.</li><li>Help to define the user model and user interface for new and existing products and features.</li><li>Create user personas, define user task flows and UI specifications, and run A/B tests to understand users’ behavior and needs.</li><li>Identify design problems and devise elegant solutions.</li><li>Gauge the usability of new and existing products and make constructive suggestions for change.</li><li>Take a user-centered design approach and rapidly test and iterate your designs.</li><li>Give and solicit feedback from team members to continually raise the bar for quality.</li><li>Work closely with other teams throughout the development of new products or features.</li><li>Give our products a distinct and consistent visual identity and ensure that it serves the needs of the end-user.</li><li>Keep up with the latest trends and techniques in design, UI, and UX.</li></ul>",https://www.jobstreet.com.my/en/job/ui-ux-designer-5260101
Digital Designer (UIUX / 3D / Graphic) - internship & full time,30-Jan-23,"<p>You will join our IT team which is always buzzing with new ideas and incentive to innovate. Consisting of IT specialists who have diverse skills in website and mobile development, the team members also bring with them cross-market experience, having worked on projects locally and also across the other markets in the Group. If you are hungry for new experiences and you cannot wait to think of the next best way to achieve our mission statement, “To help investors around the world invest globally and profitably”, this is the place for you.</p><p><strong><u>JOB DESCRIPTION</u></strong></p><ul><li>Communicate and collaborate efficiently with Front-end and Production Teams in completing the projects.</li><li>UI/UX Design &amp; maintain wireframes, mockups &amp; specifications for user experience across all digital assets (mobile, web, app, etc.)</li><li>For 3D designer, create and deploy scalable, 3D immersive web projects as well as other types of web applications utilizing the latest technologies and frameworks (i.e. Babylon.js, Three.js, or similar WebGL)</li><li>Involved in <strong>ThreeJS </strong>(https://threejs.org) projects, training and course will be provided</li><li>Multi-task and thrive in a fast-paced, results driven organization</li><li><strong>Opportunity given to involve different projects</strong> and design like UI/UX, 3D design, Graphic design and so on, tasks will be assigned based on your skills and interests.</li></ul><p><strong><u>JOB REQUIREMENTS</u></strong></p><ul><li><strong>Attitude is everything.</strong> As long as you are willing to learn, take up challenges and responsibilities, the stage is for you to shine.</li><li>At least 1 year(s) of working experience in the related field is required for this position.</li><li>Willing and excited to learn and explore new technologies.</li><li>Experience in designing digital products. (websites, mobile app and systems)</li><li>Highly efficient in prototyping and design softwares – <strong>Figma,</strong> <strong>Adobe XD, Illustrator and Photoshop</strong> mainly.</li><li>Pleasant personality, self-motivated, able to work independently and also a team player.</li><li>Experience in Fintech industry is a plus.</li><li>Self-motivated nature and the ability to work autonomously with minimal supervision.</li><li>Primary Language: Mandarin (As require to liaise with Mandarin/Cantonese Speaking Clients due to work nature)</li><li>Candidate will be required to show <strong>portfolio</strong></li></ul><p><strong><u>INTERNSHIPS</u></strong></p><p>OverWatch is looking for passionate candidates to join our trainee program, 3-6 month incubator program gives you a holistic learning experience and builds your career experience in fintech industry. If you’re exceptional at embracing our company values, you’ll get an immediate job offer from OverWatch at the end of the program.</p><p><strong>Who are encouraged to apply</strong></p><ul><li>Highly passionate on UIUX design, 3D design and related art work.</li><li>Highly responsible, self-disciplined, self-managed, and self-motivated.</li><li>Creative, willing to push boundaries and challenge conventional thinking. Dare to make mistakes and learn from it.</li><li>Passionate on Financial Technologies, has a strong willingness to learn it quickly.</li></ul>",https://www.jobstreet.com.my/en/job/digital-designer-uiux-3d-graphic-internship-full-time-5260335
Product UI/UX Designer,31-Jan-23,"<p><strong><em>Are you driven, results-oriented and a team player?</em></strong></p><p>vimigo Technologies holds a strong track record with technology projects and has successfully built multiple apps and maintained it for 4 years and counting, which is used by over 500 companies. Getting a great product right is tough. It involves thoughtful choices about design, deep knowledge of the market, and making use of the right technologies. </p><p>Here at vimigo Technologies, we are a team of dedicated professionals with experience in bootstrapping a new product from the conception stage to supporting and actively monitoring one with mass adoption.  It is in such a team that you learn the most, perform your best work, improve the fastest, and have the most fun. </p><p>As an Amazon Web Service (AWS) Cloud Technology Partner for the past 4 years who is also consulting, we understand the importance of aligning our philosophy with the client’s objectives. Stringent Quality Assurance Testing (QAT) and User Acceptance Testing (UAT) among other testing practices that we do are essential to our promise of quality delivery.</p><p>Our responsibilities continue beyond just developing a product. Growth and sustainability involve continuous cross-functional efforts — roadmap management, ongoing development, operational support, expert technical consulting, user acquisition, retention optimization, team-building, and more.</p><p><strong><em>If this is a journey you’d like to embark on, keep reading!</em></strong></p><p><strong>About this job:</strong></p><p>SME is a strong backbone of the economy and our vision is to provide them with a platform to run a successful and sustainable business. We are looking for a Senior Product Ui/Ux Designer who is passionate about seeing their work impact our customers and our business on a hyper-focused team. </p><p>In this role, you will be focusing on designing the user experience and information architecture for improving existing features, addressing customer pain points and introducing new features. You should be excited to think about designs end to end from user research, user flows, wireframes, and prototypes. You’ll be able to form and lead a team on the fit and finish of our product, setting the bar on quality for our company. </p><p>You don’t need to be an expert or know everything about our industry (even we don’t!). Hence, Junior Ui/Ux is also welcome to apply! A little heads up, the work is challenging, fast-paced, and always on the bleeding edge. So, we’re looking for someone with a curious mind, a strong drive to make things happen, and a passion to keep improving yourself.</p><p><strong>What you’ll do:</strong></p><ul><li>Plan and lead research activities to help improve the overall user experience design of all projects. </li><li>Work closely with various teams to develop roles by understanding business goals and analyzing existing data.</li><li>Lead the design team to provide highly innovative and intuitive web and mobile applications.</li><li>Transform conceptual ideas into wire-framing, mock-ups, user-flows and prototyping; then validate with internal stakeholders and customers.</li><li>Reiterate designs to achieve designs aligned with the user and business feedback.</li><li>Discuss and provide key direction to UI/UX Designers in bringing UX to reality.</li><li>Provide &amp; lead UX and UI design for our solutions, from envisioning to implementation.</li><li>Provide hands-on mentorship to the design team.</li><li>Keep up to date with the UI/UX trends, proactively knowledge sharing with respective teams.</li><li>Collaborate with Project Management, Designer teams, Content Team, and Developers to bring projects and initiatives to fruition.</li><li>Familiar with problem-solving methodology e.g., design thinking, lean UX, and agile methodologies.</li><li>Brand guardian for our corporate marketing initiatives and materials.</li></ul><p><strong>What you’ll need:</strong></p><ul><li>Candidates must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Digital/Creative/Graphics/Multimedia Design discipline.</li><li>Min. 2 years of working experience in web/mobile startups with expertise in user experience design and UI development for web and mobile platforms.</li><li>Proven portfolio of design projects.</li><li>Up-to-date knowledge of design software like Adobe Illustrator and Photoshop.</li><li>Ability to work in a fast-paced environment and meet deadlines under pressure.</li><li>Self-motivated and able to work independently with minimal supervision.</li><li>Excellent interpersonal relationship, expression and interaction skills.</li></ul><p><strong>Company Awards:</strong></p><ul><li>Top 10 finalist of Create Alibaba Cloud Startup Contest 2019</li><li>AWS Cloud Partner</li><li>Featured in major media like Astro, Sinchew, The Star, Chinapress, Top10 CEO</li><li>Trusted by more than 3000 SMEs all over Malaysia and expanding regionally</li></ul><p>==========================================================</p><p><strong>Cool Perks - Best in Class Benefits</strong></p><p>Performance reward, health &amp; holiday incentives, transportation allowance, gadgets allowance and MORE!</p><p><strong>Cool Office Space</strong></p><p>Ergonomic seat and multiple monitors to ensure your workplace comfort, thinking corner with bean bags to encourage creative thinking, lounge areas and cold beverages all at your disposal to do your best work yet.</p><p><strong>Remote Working </strong><strong>(Temporary due to COVID-19)</strong></p><p>A working style that allows you to work outside of a traditional office, have the flexibility to design your days, your own workspace and at the same time execute your works and surpass your goals professionally. </p><p><strong>Transport Convenience</strong></p><p>It's always convenient to reach our office, regardless of whether you are driving, taking the bus, MRT or LRT.</p><p><strong>Learning Opportunities</strong></p><p>Growth is part of our culture. We pride ourselves in giving our people the autonomy to excel in their roles and many avenues to develop their skills.</p><p><strong>Catered Foods and Drinks</strong></p><p>Enjoy unlimited supplies of snacks and drinks catered on the regular.</p><p><strong>FUN, FUN &amp; FUN</strong></p><p>Happy Fridays, birthday celebrations, seasonal celebrations, monthly team outings and more to bond as #vimigoteam</p><p><strong>Apply Now!</strong></p><p>Hey, thanks for reaching the end of this job advertisement. It shows that you are really interested in this job, let’s apply now and we are looking forward to meeting you up soon!</p><p><strong>For more info:</strong></p><p>Search Facebook/Youtube/ LinkedIn: VIMIGO</p><p>Phillip Choong (CTO &amp; CEO of vimigo Technologies)</p><p>Shane Mun (CEO of vimigo)</p><p>Websites:</p><p>sales.vimigoapp.com</p><p>www.vimigoapp.com</p><p>www.vimigotech.com</p>",https://www.jobstreet.com.my/en/job/product-ui-ux-designer-5262482
Senior UI / UX Designer,29-Jan-23,"<p><strong>Job Responsibilities</strong></p><ul><li>Developing and conceptualizing comprehensive UI/UX design for projects</li><li>Testing UI elements to ensure they work together well</li><li>Collaborating with the team to produce the best design for the client</li><li>Produce sketches, wireframes and UI guidelines for websites and mobile apps</li><li>Ensure designs are responsive</li></ul><p><strong>Job Requirements</strong></p><ul><li>Prior experience in UI/UX, and/or graphic design</li><li>At least 4 years of working experience in the related field is required for this position</li><li>Knowledge in using design tools such as Figma, Adobe Creative Suite and etc.</li><li>Demonstrate ability to communicate in both verbal and written communication</li><li>Demonstrate creative skills</li><li>Possessing a portfolio of previous works would be desirable</li><li>Good planning, problem solving, organization skills and strong communication skills</li><li>Basic understanding of information technology and business concepts</li><li>Exposure in mobile applications and websites behaviors including user experience is desirable</li><li>Required language(s) : English</li></ul><p><strong>Benefits of this role:</strong></p><ul><li>Reasonable annual leave entitlement</li><li>Training provided</li><li>Transportation allowance</li><li>Fitness Allowance</li><li>Dental &amp; Optical</li><li>Heath screening/check up</li><li>Group insurance</li><li>Covid test kit provided by the Organization</li></ul>",https://www.jobstreet.com.my/en/job/senior-ui-ux-designer-5254062
Versatile software product manager with UI/UX FIGMA skills,1-Feb-23,"<p><strong>Now hiring - Software product manager for an EdTech SaaS software.</strong></p><p>We are hiring a software product manager to help take QuickSchools.com to the next level. If you have done this before, apply today. Thanks!</p><p><strong>Ideal candidate / what we're looking for</strong></p><ol><li>You have demonstrable software product management experience</li><li>Minimum of at least 5 years experience</li><li>Very strong understanding of business use cases</li><li>Very strong attention to detail</li><li>You have a solid foundation on software usability philosophies</li><li>You know how to build and measure success metrics in your creation</li><li>You're great at breaking down the product development requirements for smooth engineering implementation</li><li>You believe in UI/UX consistency in a software product.</li><li>You are proficient in producing wireframes and clickthru demos for the engineering team</li><li>You are on a mission to perfect your craft!</li></ol><p><strong>Bonus traits</strong></p><ol><li>Perfect command of the English language</li><li>Experience in EdTech</li><li>Possess actual experience / appreciation of software programming</li></ol><p>If the above describes you, we'd love to hear from you and start a conversation.</p><p>Thank you.</p>",https://www.jobstreet.com.my/en/job/versatile-software-product-manager-with-ui-ux-figma-skills-5250131
